# Configuration
#   Username: nwmr
#   Timestamp: 2025-10-03 08:01:23.216850308 -04:00
#   Application: spex v0.0.118
#   References: `N132962 15 keV` revision 477 - 2025-10-02 21:29:04 -04:00
# Configuration warnings
#   There are no suitable references for [Pb M₃-M₄ and 1 others; 0.0015>.
# Spectrum
#   GMIIIA K1070[0][all]['GMIIIA K1070[0][4].msa']
# Fit warnings
#   The k-ratio '[Pb M₁-M₃] = -0.497 ± 0.026' is more than 3σ negative.
# Quantification results
Name,Element,Z,A,C[z],U[C[z]],N[z],U[N[z]],A[z],U[A[z]]
GMIIIA K1070[0][all],O,8,15.999,0.34490,0.01441,0.34143,0.00951,0.59324,0.01040
GMIIIA K1070[0][all],Mg,12,24.305,0.07072,0.00375,0.07001,0.00360,0.08008,0.00438
GMIIIA K1070[0][all],Si,14,28.085,0.18942,0.00038,0.18751,0.00281,0.18560,0.00468
GMIIIA K1070[0][all],Ca,20,40.078,0.08830,0.00070,0.08741,0.00145,0.06063,0.00159
GMIIIA K1070[0][all],Zn,30,65.38,0.10362,0.00020,0.10257,0.00154,0.04361,0.00110
GMIIIA K1070[0][all],Ba,56,137.327,0.12621,0.00066,0.12495,0.00195,0.02529,0.00065
GMIIIA K1070[0][all],Pb,82,207.2,0.08698,0.00200,0.08611,0.00221,0.01155,0.00039
# Notes
#   Analytical total: 1.010 ± 0.015
#   Duane-Hunt: 15.18 keV
#   Residual written to GMIIIA K1070[0][4][residual].msa.
#   Plot output to 'GMIIIA K1070[0][4][quantify].pdf'
# Spectrum
#   GMIIIA K1070[1][all]['GMIIIA K1070[1][4].msa']
# Fit warnings
#   The k-ratio '[Pb M₁-M₃] = -0.457 ± 0.027' is more than 3σ negative.
# Quantification results
Name,Element,Z,A,C[z],U[C[z]],N[z],U[N[z]],A[z],U[A[z]]
GMIIIA K1070[1][all],O,8,15.999,0.34435,0.01442,0.34067,0.00952,0.59241,0.01043
GMIIIA K1070[1][all],Mg,12,24.305,0.07110,0.00377,0.07034,0.00361,0.08052,0.00440
GMIIIA K1070[1][all],Si,14,28.085,0.18961,0.00038,0.18758,0.00281,0.18582,0.00469
GMIIIA K1070[1][all],Ca,20,40.078,0.08886,0.00071,0.08791,0.00146,0.06103,0.00160
GMIIIA K1070[1][all],Zn,30,65.38,0.10252,0.00020,0.10143,0.00152,0.04316,0.00109
GMIIIA K1070[1][all],Ba,56,137.327,0.12692,0.00067,0.12556,0.00196,0.02544,0.00065
GMIIIA K1070[1][all],Pb,82,207.2,0.08743,0.00199,0.08650,0.00221,0.01161,0.00039
# Notes
#   Analytical total: 1.011 ± 0.015
#   Duane-Hunt: 15.13 keV
#   Residual written to GMIIIA K1070[1][4][residual].msa.
#   Plot output to 'GMIIIA K1070[1][4][quantify].pdf'
# Spectrum
#   GMIIIA K1070[2][all]['GMIIIA K1070[2][4].msa']
# Fit warnings
#   The k-ratio '[Pb M₁-M₃] = -0.493 ± 0.027' is more than 3σ negative.
# Quantification results
Name,Element,Z,A,C[z],U[C[z]],N[z],U[N[z]],A[z],U[A[z]]
GMIIIA K1070[2][all],O,8,15.999,0.34557,0.01452,0.34027,0.00954,0.59361,0.01045
GMIIIA K1070[2][all],Mg,12,24.305,0.07037,0.00373,0.06930,0.00356,0.07958,0.00436
GMIIIA K1070[2][all],Si,14,28.085,0.18914,0.00038,0.18624,0.00280,0.18508,0.00469
GMIIIA K1070[2][all],Ca,20,40.078,0.08859,0.00074,0.08723,0.00146,0.06075,0.00161
GMIIIA K1070[2][all],Zn,30,65.38,0.10342,0.00020,0.10183,0.00153,0.04347,0.00110
GMIIIA K1070[2][all],Ba,56,137.327,0.12646,0.00068,0.12452,0.00195,0.02531,0.00065
GMIIIA K1070[2][all],Pb,82,207.2,0.09202,0.00200,0.09061,0.00224,0.01221,0.00041
# Notes
#   Analytical total: 1.016 ± 0.015
#   Duane-Hunt: 15.06 keV
#   Residual written to GMIIIA K1070[2][4][residual].msa.
#   Plot output to 'GMIIIA K1070[2][4][quantify].pdf'
# Spectrum
#   GMIIIA K1070[3][all]['GMIIIA K1070[3][4].msa']
# Fit warnings
#   The k-ratio '[Pb M₁-M₃] = -0.446 ± 0.027' is more than 3σ negative.
# Quantification results
Name,Element,Z,A,C[z],U[C[z]],N[z],U[N[z]],A[z],U[A[z]]
GMIIIA K1070[3][all],O,8,15.999,0.34402,0.01440,0.33997,0.00951,0.59206,0.01043
GMIIIA K1070[3][all],Mg,12,24.305,0.07126,0.00378,0.07043,0.00362,0.08073,0.00442
GMIIIA K1070[3][all],Si,14,28.085,0.18959,0.00038,0.18736,0.00280,0.18587,0.00469
GMIIIA K1070[3][all],Ca,20,40.078,0.08837,0.00072,0.08733,0.00145,0.06071,0.00160
GMIIIA K1070[3][all],Zn,30,65.38,0.10296,0.00020,0.10175,0.00152,0.04336,0.00109
GMIIIA K1070[3][all],Ba,56,137.327,0.12713,0.00067,0.12564,0.00196,0.02549,0.00065
GMIIIA K1070[3][all],Pb,82,207.2,0.08855,0.00199,0.08751,0.00221,0.01177,0.00040
# Notes
#   Analytical total: 1.012 ± 0.015
#   Duane-Hunt: 15.19 keV
#   Residual written to GMIIIA K1070[3][4][residual].msa.
#   Plot output to 'GMIIIA K1070[3][4][quantify].pdf'
# Spectrum
#   GMIIIA K1070[4][all]['GMIIIA K1070[4][4].msa']
# Fit warnings
#   The k-ratio '[Pb M₁-M₃] = -0.506 ± 0.027' is more than 3σ negative.
# Quantification results
Name,Element,Z,A,C[z],U[C[z]],N[z],U[N[z]],A[z],U[A[z]]
GMIIIA K1070[4][all],O,8,15.999,0.34427,0.01443,0.34014,0.00952,0.59266,0.01043
GMIIIA K1070[4][all],Mg,12,24.305,0.07075,0.00374,0.06990,0.00358,0.08017,0.00437
GMIIIA K1070[4][all],Si,14,28.085,0.18939,0.00038,0.18711,0.00280,0.18573,0.00469
GMIIIA K1070[4][all],Ca,20,40.078,0.08847,0.00073,0.08741,0.00146,0.06080,0.00160
GMIIIA K1070[4][all],Zn,30,65.38,0.10300,0.00020,0.10176,0.00153,0.04339,0.00110
GMIIIA K1070[4][all],Ba,56,137.327,0.12572,0.00067,0.12421,0.00194,0.02521,0.00065
GMIIIA K1070[4][all],Pb,82,207.2,0.09056,0.00200,0.08947,0.00223,0.01204,0.00040
# Notes
#   Analytical total: 1.012 ± 0.015
#   Duane-Hunt: 14.97 keV
#   Residual written to GMIIIA K1070[4][4][residual].msa.
#   Plot output to 'GMIIIA K1070[4][4][quantify].pdf'
# Spectrum
#   GMIIIA K1070[5][all]['GMIIIA K1070[5][4].msa']
# Fit warnings
#   The k-ratio '[Pb M₁-M₃] = -0.412 ± 0.027' is more than 3σ negative.
# Quantification results
Name,Element,Z,A,C[z],U[C[z]],N[z],U[N[z]],A[z],U[A[z]]
GMIIIA K1070[5][all],O,8,15.999,0.34433,0.01439,0.34132,0.00951,0.59348,0.01040
GMIIIA K1070[5][all],Mg,12,24.305,0.07068,0.00371,0.07006,0.00357,0.08019,0.00436
GMIIIA K1070[5][all],Si,14,28.085,0.18900,0.00038,0.18735,0.00281,0.18557,0.00468
GMIIIA K1070[5][all],Ca,20,40.078,0.08847,0.00072,0.08770,0.00146,0.06087,0.00160
GMIIIA K1070[5][all],Zn,30,65.38,0.10130,0.00020,0.10042,0.00151,0.04273,0.00108
GMIIIA K1070[5][all],Ba,56,137.327,0.12618,0.00067,0.12508,0.00195,0.02534,0.00065
GMIIIA K1070[5][all],Pb,82,207.2,0.08886,0.00199,0.08808,0.00222,0.01183,0.00040
# Notes
#   Analytical total: 1.009 ± 0.015
#   Duane-Hunt: 15.06 keV
#   Residual written to GMIIIA K1070[5][4][residual].msa.
#   Plot output to 'GMIIIA K1070[5][4][quantify].pdf'
# Spectrum
#   GMIIIA K1070[6][all]['GMIIIA K1070[6][4].msa']
# Fit warnings
#   The k-ratio '[Pb M₁-M₃] = -0.374 ± 0.026' is more than 3σ negative.
# Quantification results
Name,Element,Z,A,C[z],U[C[z]],N[z],U[N[z]],A[z],U[A[z]]
GMIIIA K1070[6][all],O,8,15.999,0.34335,0.01428,0.34205,0.00948,0.59258,0.01036
GMIIIA K1070[6][all],Mg,12,24.305,0.07076,0.00373,0.07049,0.00360,0.08039,0.00438
GMIIIA K1070[6][all],Si,14,28.085,0.18968,0.00038,0.18896,0.00283,0.18649,0.00468
GMIIIA K1070[6][all],Ca,20,40.078,0.08822,0.00068,0.08789,0.00144,0.06078,0.00158
GMIIIA K1070[6][all],Zn,30,65.38,0.10277,0.00020,0.10238,0.00153,0.04340,0.00109
GMIIIA K1070[6][all],Ba,56,137.327,0.12543,0.00065,0.12495,0.00194,0.02522,0.00064
GMIIIA K1070[6][all],Pb,82,207.2,0.08360,0.00200,0.08328,0.00220,0.01114,0.00038
# Notes
#   Analytical total: 1.004 ± 0.015
#   Duane-Hunt: 14.99 keV
#   Residual written to GMIIIA K1070[6][4][residual].msa.
#   Plot output to 'GMIIIA K1070[6][4][quantify].pdf'
# Spectrum
#   GMIIIA K1070[7][all]['GMIIIA K1070[7][4].msa']
# Fit warnings
#   The k-ratio '[Pb M₁-M₃] = -0.427 ± 0.027' is more than 3σ negative.
# Quantification results
Name,Element,Z,A,C[z],U[C[z]],N[z],U[N[z]],A[z],U[A[z]]
GMIIIA K1070[7][all],O,8,15.999,0.34444,0.01440,0.34167,0.00952,0.59314,0.01040
GMIIIA K1070[7][all],Mg,12,24.305,0.07070,0.00373,0.07013,0.00358,0.08014,0.00436
GMIIIA K1070[7][all],Si,14,28.085,0.18941,0.00038,0.18789,0.00282,0.18581,0.00468
GMIIIA K1070[7][all],Ca,20,40.078,0.08873,0.00070,0.08802,0.00146,0.06100,0.00160
GMIIIA K1070[7][all],Zn,30,65.38,0.10245,0.00020,0.10163,0.00153,0.04317,0.00109
GMIIIA K1070[7][all],Ba,56,137.327,0.12560,0.00066,0.12459,0.00194,0.02520,0.00065
GMIIIA K1070[7][all],Pb,82,207.2,0.08677,0.00200,0.08608,0.00221,0.01154,0.00039
# Notes
#   Analytical total: 1.008 ± 0.015
#   Duane-Hunt: 15.03 keV
#   Residual written to GMIIIA K1070[7][4][residual].msa.
#   Plot output to 'GMIIIA K1070[7][4][quantify].pdf'
# Spectrum
#   GMIIIA K1070[8][all]['GMIIIA K1070[8][4].msa']
# Fit warnings
#   The k-ratio '[Pb M₁-M₃] = -0.438 ± 0.027' is more than 3σ negative.
# Quantification results
Name,Element,Z,A,C[z],U[C[z]],N[z],U[N[z]],A[z],U[A[z]]
GMIIIA K1070[8][all],O,8,15.999,0.34485,0.01442,0.34113,0.00952,0.59301,0.01041
GMIIIA K1070[8][all],Mg,12,24.305,0.07088,0.00376,0.07012,0.00360,0.08023,0.00439
GMIIIA K1070[8][all],Si,14,28.085,0.18951,0.00038,0.18746,0.00281,0.18564,0.00468
GMIIIA K1070[8][all],Ca,20,40.078,0.08841,0.00071,0.08746,0.00145,0.06069,0.00159
GMIIIA K1070[8][all],Zn,30,65.38,0.10335,0.00020,0.10223,0.00154,0.04349,0.00110
GMIIIA K1070[8][all],Ba,56,137.327,0.12623,0.00067,0.12487,0.00195,0.02529,0.00065
GMIIIA K1070[8][all],Pb,82,207.2,0.08768,0.00199,0.08673,0.00221,0.01164,0.00039
# Notes
#   Analytical total: 1.011 ± 0.015
#   Duane-Hunt: 15.08 keV
#   Residual written to GMIIIA K1070[8][4][residual].msa.
#   Plot output to 'GMIIIA K1070[8][4][quantify].pdf'
# Result Comparison
Name,O,Mg,Si,Ca,Zn,Ba,Pb,Σ
GMIIIA K1070[0][all],0.345 ± 0.014,0.0707 ± 0.0038,0.18942 ± 0.00038,0.08830 ± 0.00070,0.10362 ± 0.00020,0.12621 ± 0.00066,0.0870 ± 0.0020,1.010 ± 0.015
GMIIIA K1070[1][all],0.344 ± 0.014,0.0711 ± 0.0038,0.18961 ± 0.00038,0.08886 ± 0.00071,0.10252 ± 0.00020,0.12692 ± 0.00067,0.0874 ± 0.0020,1.011 ± 0.015
GMIIIA K1070[2][all],0.346 ± 0.015,0.0704 ± 0.0037,0.18914 ± 0.00038,0.08859 ± 0.00074,0.10342 ± 0.00020,0.12646 ± 0.00068,0.0920 ± 0.0020,1.016 ± 0.015
GMIIIA K1070[3][all],0.344 ± 0.014,0.0713 ± 0.0038,0.18959 ± 0.00038,0.08837 ± 0.00072,0.10296 ± 0.00020,0.12713 ± 0.00067,0.0886 ± 0.0020,1.012 ± 0.015
GMIIIA K1070[4][all],0.344 ± 0.014,0.0708 ± 0.0037,0.18939 ± 0.00038,0.08847 ± 0.00073,0.10300 ± 0.00020,0.12572 ± 0.00067,0.0906 ± 0.0020,1.012 ± 0.015
GMIIIA K1070[5][all],0.344 ± 0.014,0.0707 ± 0.0037,0.18900 ± 0.00038,0.08847 ± 0.00072,0.10130 ± 0.00020,0.12618 ± 0.00067,0.0889 ± 0.0020,1.009 ± 0.015
GMIIIA K1070[6][all],0.343 ± 0.014,0.0708 ± 0.0037,0.18968 ± 0.00038,0.08822 ± 0.00068,0.10277 ± 0.00020,0.12543 ± 0.00065,0.0836 ± 0.0020,1.004 ± 0.015
GMIIIA K1070[7][all],0.344 ± 0.014,0.0707 ± 0.0037,0.18941 ± 0.00038,0.08873 ± 0.00070,0.10245 ± 0.00020,0.12560 ± 0.00066,0.0868 ± 0.0020,1.008 ± 0.015
GMIIIA K1070[8][all],0.345 ± 0.014,0.0709 ± 0.0038,0.18951 ± 0.00038,0.08841 ± 0.00071,0.10335 ± 0.00020,0.12623 ± 0.00067,0.0877 ± 0.0020,1.011 ± 0.015
Mean,0.34445 ± 0.00062,0.07080 ± 0.00026,0.18942 ± 0.00022,0.08849 ± 0.00021,0.10282 ± 0.00069,0.12621 ± 0.00058,0.0881 ± 0.0024,1.0102 ± 0.0032
Nominal,0.3431,0.0754,0.187,0.0893,0.1004,0.112,0.0928,1
RDEV (%),0.4,-6.1,1.3,-0.9,2.4,12.7,-5.2,1
