# Configuration
#   Username: nwmr
#   Timestamp: 2025-10-02 14:38:18.361123790 -04:00
#   Application: spex v0.0.117
#   References: `N132962 15 keV` revision 476 - 2025-10-02 13:33:55 -04:00
# Configuration warnings
#   The Duane-Hunt (14.66 keV) for KCl standard for 'N132962' detector differs by more than 1 % from the beam energy (15.00 keV)!!
#   There are no suitable references for [K L₃-M₁ and 8 others; 0.8241>.
# Spectrum
#   MMM1 Albite[0][all]['MMM1 Albite[0][4].msa']
# Fit warnings
#    None
# Quantification results
Name,Element,Z,A,C[z],U[C[z]],N[z]],U[N[z]],A[z],U[A[z]]
MMM1 Albite[0][all],O,8,15.999,0.47493,0.03404,0.47799,0.01788,0.60627,0.01711
MMM1 Albite[0][all],Na,11,22.98976928,0.08578,0.00019,0.08633,0.00296,0.07620,0.00331
MMM1 Albite[0][all],Al,13,26.9815384,0.10335,0.00027,0.10402,0.00357,0.07823,0.00340
MMM1 Albite[0][all],Si,14,28.085,0.32795,0.00064,0.33006,0.01131,0.23848,0.01037
MMM1 Albite[0][all],K,19,39.0983,0.00075,0.00003,0.00075,0.00004,0.00039,0.00002
MMM1 Albite[0][all],Ca,20,40.078,0.00083,0.00003,0.00084,0.00004,0.00042,0.00002
# Notes
#   Analytical total: 0.994 ± 0.034
#   Duane-Hunt: 15.19 keV
#   Residual written to MMM1 Albite[0][4][residual].msa.
#   Plot output to 'MMM1 Albite[0][4][quantify].pdf'
# Spectrum
#   MMM1 Albite[1][all]['MMM1 Albite[1][4].msa']
# Fit warnings
#    None
# Quantification results
Name,Element,Z,A,C[z],U[C[z]],N[z]],U[N[z]],A[z],U[A[z]]
MMM1 Albite[1][all],O,8,15.999,0.47510,0.03406,0.47800,0.01789,0.60620,0.01712
MMM1 Albite[1][all],Na,11,22.98976928,0.08602,0.00019,0.08654,0.00297,0.07638,0.00332
MMM1 Albite[1][all],Al,13,26.9815384,0.10345,0.00028,0.10408,0.00358,0.07827,0.00341
MMM1 Albite[1][all],Si,14,28.085,0.32820,0.00064,0.33020,0.01133,0.23855,0.01037
MMM1 Albite[1][all],K,19,39.0983,0.00053,0.00003,0.00054,0.00004,0.00028,0.00002
MMM1 Albite[1][all],Ca,20,40.078,0.00064,0.00003,0.00064,0.00003,0.00032,0.00002
# Notes
#   Analytical total: 0.994 ± 0.034
#   Duane-Hunt: 15.20 keV
#   Residual written to MMM1 Albite[1][4][residual].msa.
#   Plot output to 'MMM1 Albite[1][4][quantify].pdf'
# Spectrum
#   MMM1 Albite[2][all]['MMM1 Albite[2][4].msa']
# Fit warnings
#    None
# Quantification results
Name,Element,Z,A,C[z],U[C[z]],N[z]],U[N[z]],A[z],U[A[z]]
MMM1 Albite[2][all],O,8,15.999,0.47610,0.03423,0.47853,0.01795,0.60657,0.01716
MMM1 Albite[2][all],Na,11,22.98976928,0.08652,0.00019,0.08697,0.00300,0.07671,0.00335
MMM1 Albite[2][all],Al,13,26.9815384,0.10273,0.00027,0.10325,0.00356,0.07761,0.00339
MMM1 Albite[2][all],Si,14,28.085,0.32915,0.00064,0.33083,0.01139,0.23889,0.01043
MMM1 Albite[2][all],K,19,39.0983,0.00020,0.00003,0.00020,0.00003,0.00011,0.00002
MMM1 Albite[2][all],Ca,20,40.078,0.00022,0.00003,0.00022,0.00003,0.00011,0.00001
# Notes
#   Analytical total: 0.995 ± 0.034
#   Duane-Hunt: 15.18 keV
#   Residual written to MMM1 Albite[2][4][residual].msa.
#   Plot output to 'MMM1 Albite[2][4][quantify].pdf'
# Spectrum
#   MMM1 Albite[3][all]['MMM1 Albite[3][4].msa']
# Fit warnings
#    None
# Quantification results
Name,Element,Z,A,C[z],U[C[z]],N[z]],U[N[z]],A[z],U[A[z]]
MMM1 Albite[3][all],O,8,15.999,0.47548,0.03406,0.47869,0.01788,0.60691,0.01709
MMM1 Albite[3][all],Na,11,22.98976928,0.08587,0.00019,0.08645,0.00297,0.07628,0.00332
MMM1 Albite[3][all],Al,13,26.9815384,0.10307,0.00027,0.10376,0.00357,0.07801,0.00340
MMM1 Albite[3][all],Si,14,28.085,0.32735,0.00064,0.32956,0.01131,0.23802,0.01036
MMM1 Albite[3][all],K,19,39.0983,0.00062,0.00003,0.00062,0.00004,0.00032,0.00002
MMM1 Albite[3][all],Ca,20,40.078,0.00091,0.00003,0.00091,0.00004,0.00046,0.00002
# Notes
#   Analytical total: 0.993 ± 0.034
#   Duane-Hunt: 15.19 keV
#   Residual written to MMM1 Albite[3][4][residual].msa.
#   Plot output to 'MMM1 Albite[3][4][quantify].pdf'
# Spectrum
#   MMM1 Albite[4][all]['MMM1 Albite[4][4].msa']
# Fit warnings
#    None
# Quantification results
Name,Element,Z,A,C[z],U[C[z]],N[z]],U[N[z]],A[z],U[A[z]]
