# Configuration
#   Username: Nicholas W. M. Ritchie
#   Timestamp: 2025-10-23 13:27:46
#   Application: spex version 0.0.121
#   References: `N132962 15 keV` revision 199 - 2025-10-23 13:24:40 -04:00
# Configuration warnings
#    None
# Spectrum
#   MMM1 Andradite[0][all]['MMM1 Andradite[0][4].msa']
# Fit warnings
#   Removing Ti from the fit and re-fitting (threshold = 0.0σ).
#   The k-ratio '[Mn L₃-M₅ + 13 others] = -0.01765 ± 0.00045' is more than 3σ negative.
# Quantification results
Name,Element,Z,A,C[z],U[C[z]],N[z],U[N[z]],A[z],U[A[z]]
MMM1 Andradite[0][all],O,8,15.999,0.38724,0.03605,0.38233,0.02199,0.59620,0.02241
MMM1 Andradite[0][all],Mg,12,24.305,0.00014,0.00003,0.00014,0.00003,0.00014,0.00003
MMM1 Andradite[0][all],Al,13,26.9815384,0.02626,0.00009,0.02593,0.00093,0.02398,0.00133
MMM1 Andradite[0][all],Si,14,28.085,0.17256,0.00035,0.17038,0.00607,0.15135,0.00840
MMM1 Andradite[0][all],Ca,20,40.078,0.23125,0.00014,0.22832,0.00813,0.14213,0.00789
MMM1 Andradite[0][all],Ti,22,47.867,0.00000,0.00003,0.00000,0.00003,0.00000,0.00002
MMM1 Andradite[0][all],Mn,25,54.938043,0.00318,0.00005,0.00314,0.00012,0.00143,0.00008
MMM1 Andradite[0][all],Fe,26,55.845,0.19220,0.00017,0.18977,0.00676,0.08478,0.00471
# Notes
#   Analytical total: 1.013 ± 0.036
#   Duane-Hunt: 15.17 keV
#   Residual written to MMM1 Andradite[0][4][residual].msa.
#   Plot output to 'MMM1 Andradite[0][4][quantify].pdf'
# Spectrum
#   MMM1 Andradite[1][all]['MMM1 Andradite[1][4].msa']
# Fit warnings
#   The k-ratio '[Mn L₃-M₅ + 13 others] = -0.01139 ± 0.00044' is more than 3σ negative.
# Quantification results
Name,Element,Z,A,C[z],U[C[z]],N[z],U[N[z]],A[z],U[A[z]]
MMM1 Andradite[1][all],O,8,15.999,0.38288,0.03544,0.38224,0.02186,0.59434,0.02232
MMM1 Andradite[1][all],Mg,12,24.305,0.00013,0.00003,0.00013,0.00003,0.00014,0.00003
MMM1 Andradite[1][all],Al,13,26.9815384,0.02999,0.00009,0.02994,0.00106,0.02760,0.00152
MMM1 Andradite[1][all],Si,14,28.085,0.17219,0.00034,0.17190,0.00609,0.15226,0.00838
MMM1 Andradite[1][all],Ca,20,40.078,0.23102,0.00014,0.23064,0.00816,0.14316,0.00788
MMM1 Andradite[1][all],Ti,22,47.867,0.00004,0.00004,0.00004,0.00004,0.00002,0.00002
MMM1 Andradite[1][all],Mn,25,54.938043,0.00321,0.00005,0.00321,0.00013,0.00145,0.00008
MMM1 Andradite[1][all],Fe,26,55.845,0.18221,0.00016,0.18191,0.00644,0.08103,0.00446
# Notes
#   Analytical total: 1.002 ± 0.035
#   Duane-Hunt: 15.20 keV
#   Residual written to MMM1 Andradite[1][4][residual].msa.
