# Configuration
#   Username: Nicholas W. M. Ritchie
#   Timestamp: 2025-10-23 13:27:46
#   Application: spex version 0.0.121
#   References: `N132962 15 keV` revision 199 - 2025-10-23 13:24:40 -04:00
# Configuration warnings
#   There are no suitable references for [Sr L₁-L₂ and 1 others; 0.0007>.
# Spectrum
#   MMM1 Anhydrite[0][all]['MMM1 Anhydrite[0][4].msa']
# Fit warnings
#    None
# Quantification results
Name,Element,Z,A,C[z],U[C[z]],N[z],U[N[z]],A[z],U[A[z]]
MMM1 Anhydrite[0][all],O,8,15.999,0.46771,0.03576,0.46796,0.01904,0.66519,0.01703
MMM1 Anhydrite[0][all],S,16,32.06,0.24135,0.00037,0.24149,0.00864,0.17130,0.00871
MMM1 Anhydrite[0][all],Ca,20,40.078,0.28599,0.00021,0.28615,0.01024,0.16237,0.00826
MMM1 Anhydrite[0][all],Sr,38,87.62,0.00440,0.00006,0.00440,0.00017,0.00114,0.00006
# Notes
#   Analytical total: 0.999 ± 0.036
#   Duane-Hunt: 14.94 keV
#   Residual written to MMM1 Anhydrite[0][4][residual].msa.
#   Plot output to 'MMM1 Anhydrite[0][4][quantify].pdf'
# Spectrum
#   MMM1 Anhydrite[1][all]['MMM1 Anhydrite[1][4].msa']
# Fit warnings
#    None
# Quantification results
Name,Element,Z,A,C[z],U[C[z]],N[z],U[N[z]],A[z],U[A[z]]
MMM1 Anhydrite[1][all],O,8,15.999,0.46664,0.03567,0.46759,0.01903,0.66489,0.01703
MMM1 Anhydrite[1][all],S,16,32.06,0.24050,0.00036,0.24099,0.00862,0.17101,0.00869
MMM1 Anhydrite[1][all],Ca,20,40.078,0.28656,0.00021,0.28715,0.01027,0.16299,0.00829
MMM1 Anhydrite[1][all],Sr,38,87.62,0.00427,0.00006,0.00427,0.00017,0.00111,0.00006
# Notes
#   Analytical total: 0.998 ± 0.036
#   Duane-Hunt: 15.20 keV
#   Residual written to MMM1 Anhydrite[1][4][residual].msa.
#   Plot output to 'MMM1 Anhydrite[1][4][quantify].pdf'
# Spectrum
#   MMM1 Anhydrite[2][all]['MMM1 Anhydrite[2][4].msa']
# Fit warnings
#    None
# Quantification results
Name,Element,Z,A,C[z],U[C[z]],N[z],U[N[z]],A[z],U[A[z]]
MMM1 Anhydrite[2][all],O,8,15.999,0.46597,0.03562,0.46699,0.01903,0.66435,0.01705
MMM1 Anhydrite[2][all],S,16,32.06,0.24082,0.00036,0.24135,0.00862,0.17134,0.00870
MMM1 Anhydrite[2][all],Ca,20,40.078,0.28673,0.00021,0.28736,0.01026,0.16319,0.00829
MMM1 Anhydrite[2][all],Sr,38,87.62,0.00429,0.00006,0.00430,0.00017,0.00112,0.00006
# Notes
#   Analytical total: 0.998 ± 0.036
#   Duane-Hunt: 15.07 keV
#   Residual written to MMM1 Anhydrite[2][4][residual].msa.
#   Plot output to 'MMM1 Anhydrite[2][4][quantify].pdf'
# Spectrum
#   MMM1 Anhydrite[3][all]['MMM1 Anhydrite[3][4].msa']
# Fit warnings
#    None
# Quantification results
Name,Element,Z,A,C[z],U[C[z]],N[z],U[N[z]],A[z],U[A[z]]
MMM1 Anhydrite[3][all],O,8,15.999,0.46854,0.03591,0.46808,0.01908,0.66527,0.01707
