# Configuration
#   Username: Nicholas W. M. Ritchie
#   Timestamp: 2025-10-23 13:27:46
#   Application: spex version 0.0.121
#   References: `N132962 15 keV` revision 199 - 2025-10-23 13:24:40 -04:00
# Configuration warnings
#    None
# Spectrum
#   MMM1 Arsenopyrite[0][all]['MMM1 Arsenopyrite[0][4].msa']
# Fit warnings
#    None
# Quantification results
Name,Element,Z,A,C[z],U[C[z]],N[z],U[N[z]],A[z],U[A[z]]
MMM1 Arsenopyrite[0][all],S,16,32.06,0.18485,0.00047,0.18418,0.00043,0.31413,0.00060
MMM1 Arsenopyrite[0][all],Fe,26,55.845,0.36370,0.00024,0.36239,0.00043,0.35482,0.00042
MMM1 Arsenopyrite[0][all],Co,27,58.933194,0.00061,0.00010,0.00061,0.00010,0.00056,0.00010
MMM1 Arsenopyrite[0][all],As,33,74.921595,0.45448,0.00101,0.45283,0.00060,0.33049,0.00056
# Notes
#   Analytical total: 1.0036 ± 0.0011
#   Duane-Hunt: 15.02 keV
#   Residual written to MMM1 Arsenopyrite[0][4][residual].msa.
#   Plot output to 'MMM1 Arsenopyrite[0][4][quantify].pdf'
# Spectrum
#   MMM1 Arsenopyrite[1][all]['MMM1 Arsenopyrite[1][4].msa']
# Fit warnings
#    None
# Quantification results
Name,Element,Z,A,C[z],U[C[z]],N[z],U[N[z]],A[z],U[A[z]]
MMM1 Arsenopyrite[1][all],S,16,32.06,0.18939,0.00048,0.18834,0.00044,0.31997,0.00061
MMM1 Arsenopyrite[1][all],Fe,26,55.845,0.36367,0.00024,0.36164,0.00043,0.35271,0.00041
MMM1 Arsenopyrite[1][all],Co,27,58.933194,0.00086,0.00010,0.00086,0.00010,0.00079,0.00010
MMM1 Arsenopyrite[1][all],As,33,74.921595,0.45168,0.00100,0.44916,0.00060,0.32653,0.00056
# Notes
#   Analytical total: 1.0056 ± 0.0011
#   Duane-Hunt: 15.01 keV
#   Residual written to MMM1 Arsenopyrite[1][4][residual].msa.
#   Plot output to 'MMM1 Arsenopyrite[1][4][quantify].pdf'
# Spectrum
#   MMM1 Arsenopyrite[2][all]['MMM1 Arsenopyrite[2][4].msa']
# Fit warnings
#    None
# Quantification results
Name,Element,Z,A,C[z],U[C[z]],N[z],U[N[z]],A[z],U[A[z]]
MMM1 Arsenopyrite[2][all],S,16,32.06,0.18501,0.00047,0.18487,0.00043,0.31512,0.00060
MMM1 Arsenopyrite[2][all],Fe,26,55.845,0.36229,0.00024,0.36201,0.00043,0.35424,0.00042
MMM1 Arsenopyrite[2][all],Co,27,58.933194,0.00069,0.00010,0.00069,0.00010,0.00064,0.00010
MMM1 Arsenopyrite[2][all],As,33,74.921595,0.45277,0.00101,0.45243,0.00060,0.33000,0.00056
# Notes
