# Configuration
#   Username: Nicholas W. M. Ritchie
#   Timestamp: 2025-10-23 13:27:47
#   Application: spex version 0.0.121
#   References: `N132962 15 keV` revision 199 - 2025-10-23 13:24:40 -04:00
# Configuration warnings
#    None
# Spectrum
#   MMM1 Benitoite[0][all]['MMM1 Benitoite[0][4].msa']
# Fit warnings
#    None
# Quantification results
Name,Element,Z,A,C[z],U[C[z]],N[z],U[N[z]],A[z],U[A[z]]
MMM1 Benitoite[0][all],O,8,15.999,0.33795,0.04274,0.33502,0.02818,0.63624,0.02927
MMM1 Benitoite[0][all],Na,11,22.98976928,0.00034,0.00004,0.00034,0.00005,0.00044,0.00007
MMM1 Benitoite[0][all],Si,14,28.085,0.19961,0.00063,0.19788,0.00840,0.21408,0.01723
MMM1 Benitoite[0][all],Ti,22,47.867,0.11212,0.00015,0.11115,0.00471,0.07055,0.00568
MMM1 Benitoite[0][all],Ba,56,137.327,0.35873,0.00077,0.35562,0.01508,0.07868,0.00633
# Notes
#   Analytical total: 1.009 ± 0.043
#   Duane-Hunt: 15.20 keV
#   Residual written to MMM1 Benitoite[0][4][residual].msa.
#   Plot output to 'MMM1 Benitoite[0][4][quantify].pdf'
# Spectrum
#   MMM1 Benitoite[1][all]['MMM1 Benitoite[1][4].msa']
# Fit warnings
#    None
# Quantification results
Name,Element,Z,A,C[z],U[C[z]],N[z],U[N[z]],A[z],U[A[z]]
MMM1 Benitoite[1][all],O,8,15.999,0.33771,0.04255,0.33486,0.02807,0.63607,0.02917
MMM1 Benitoite[1][all],Na,11,22.98976928,0.00041,0.00004,0.00041,0.00005,0.00054,0.00007
MMM1 Benitoite[1][all],Si,14,28.085,0.19980,0.00063,0.19811,0.00838,0.21437,0.01719
MMM1 Benitoite[1][all],Ti,22,47.867,0.11157,0.00015,0.11063,0.00467,0.07024,0.00563
MMM1 Benitoite[1][all],Ba,56,137.327,0.35902,0.00077,0.35599,0.01503,0.07878,0.00632
# Notes
#   Analytical total: 1.009 ± 0.043
#   Duane-Hunt: 15.05 keV
#   Residual written to MMM1 Benitoite[1][4][residual].msa.
#   Plot output to 'MMM1 Benitoite[1][4][quantify].pdf'
# Spectrum
#   MMM1 Benitoite[2][all]['MMM1 Benitoite[2][4].msa']
# Fit warnings
#    None
# Quantification results
Name,Element,Z,A,C[z],U[C[z]],N[z],U[N[z]],A[z],U[A[z]]
MMM1 Benitoite[2][all],O,8,15.999,0.33727,0.04240,0.33460,0.02799,0.63581,0.02912
MMM1 Benitoite[2][all],Na,11,22.98976928,0.00047,0.00004,0.00046,0.00005,0.00061,0.00008
MMM1 Benitoite[2][all],Si,14,28.085,0.19982,0.00063,0.19824,0.00836,0.21459,0.01716
MMM1 Benitoite[2][all],Ti,22,47.867,0.11127,0.00015,0.11039,0.00465,0.07011,0.00561
MMM1 Benitoite[2][all],Ba,56,137.327,0.35916,0.00077,0.35631,0.01500,0.07888,0.00631
# Notes
#   Analytical total: 1.008 ± 0.042
#   Duane-Hunt: 15.20 keV
#   Residual written to MMM1 Benitoite[2][4][residual].msa.
#   Plot output to 'MMM1 Benitoite[2][4][quantify].pdf'
# Spectrum
#   MMM1 Benitoite[3][all]['MMM1 Benitoite[3][4].msa']
# Fit warnings
#    None
# Quantification results
Name,Element,Z,A,C[z],U[C[z]],N[z],U[N[z]],A[z],U[A[z]]
MMM1 Benitoite[3][all],O,8,15.999,0.33540,0.04211,0.33382,0.02792,0.63510,0.02910
MMM1 Benitoite[3][all],Na,11,22.98976928,0.00020,0.00004,0.00020,0.00004,0.00026,0.00006
MMM1 Benitoite[3][all],Si,14,28.085,0.19947,0.00062,0.19854,0.00834,0.21517,0.01716
MMM1 Benitoite[3][all],Ti,22,47.867,0.11124,0.00015,0.11072,0.00464,0.07041,0.00561
MMM1 Benitoite[3][all],Ba,56,137.327,0.35841,0.00077,0.35672,0.01496,0.07907,0.00631
# Notes
#   Analytical total: 1.005 ± 0.042
#   Duane-Hunt: 15.02 keV
#   Residual written to MMM1 Benitoite[3][4][residual].msa.
#   Plot output to 'MMM1 Benitoite[3][4][quantify].pdf'
# Spectrum
#   MMM1 Benitoite[4][all]['MMM1 Benitoite[4][4].msa']
# Fit warnings
#    None
# Quantification results
Name,Element,Z,A,C[z],U[C[z]],N[z],U[N[z]],A[z],U[A[z]]
MMM1 Benitoite[4][all],O,8,15.999,0.33673,0.04229,0.33396,0.02794,0.63533,0.02910
MMM1 Benitoite[4][all],Na,11,22.98976928,0.00042,0.00004,0.00042,0.00005,0.00056,0.00007
MMM1 Benitoite[4][all],Si,14,28.085,0.19994,0.00063,0.19829,0.00833,0.21489,0.01715
MMM1 Benitoite[4][all],Ti,22,47.867,0.11112,0.00015,0.11020,0.00462,0.07007,0.00559
MMM1 Benitoite[4][all],Ba,56,137.327,0.36008,0.00077,0.35712,0.01499,0.07915,0.00632
# Notes
#   Analytical total: 1.008 ± 0.042
#   Duane-Hunt: 15.03 keV
#   Residual written to MMM1 Benitoite[4][4][residual].msa.
#   Plot output to 'MMM1 Benitoite[4][4][quantify].pdf'
# Spectrum
#   MMM1 Benitoite[5][all]['MMM1 Benitoite[5][4].msa']
# Fit warnings
#    None
# Quantification results
Name,Element,Z,A,C[z],U[C[z]],N[z],U[N[z]],A[z],U[A[z]]
MMM1 Benitoite[5][all],O,8,15.999,0.33824,0.04282,0.33504,0.02821,0.63601,0.02931
MMM1 Benitoite[5][all],Na,11,22.98976928,0.00045,0.00004,0.00044,0.00005,0.00058,0.00007
MMM1 Benitoite[5][all],Si,14,28.085,0.20006,0.00063,0.19817,0.00842,0.21430,0.01726
MMM1 Benitoite[5][all],Ti,22,47.867,0.11226,0.00015,0.11119,0.00472,0.07055,0.00568
MMM1 Benitoite[5][all],Ba,56,137.327,0.35857,0.00077,0.35516,0.01507,0.07855,0.00633
# Notes
#   Analytical total: 1.010 ± 0.043
#   Duane-Hunt: 14.99 keV
#   Residual written to MMM1 Benitoite[5][4][residual].msa.
#   Plot output to 'MMM1 Benitoite[5][4][quantify].pdf'
# Spectrum
#   MMM1 Benitoite[6][all]['MMM1 Benitoite[6][4].msa']
# Fit warnings
#    None
# Quantification results
Name,Element,Z,A,C[z],U[C[z]],N[z],U[N[z]],A[z],U[A[z]]
MMM1 Benitoite[6][all],O,8,15.999,0.33723,0.04252,0.33484,0.02809,0.63584,0.02920
MMM1 Benitoite[6][all],Na,11,22.98976928,0.00025,0.00004,0.00025,0.00004,0.00033,0.00006
MMM1 Benitoite[6][all],Si,14,28.085,0.19995,0.00063,0.19853,0.00840,0.21476,0.01723
MMM1 Benitoite[6][all],Ti,22,47.867,0.11177,0.00015,0.11098,0.00469,0.07044,0.00565
MMM1 Benitoite[6][all],Ba,56,137.327,0.35794,0.00077,0.35540,0.01502,0.07863,0.00631
# Notes
#   Analytical total: 1.007 ± 0.043
#   Duane-Hunt: 14.99 keV
#   Residual written to MMM1 Benitoite[6][4][residual].msa.
#   Plot output to 'MMM1 Benitoite[6][4][quantify].pdf'
# Spectrum
#   MMM1 Benitoite[7][all]['MMM1 Benitoite[7][4].msa']
# Fit warnings
#    None
# Quantification results
Name,Element,Z,A,C[z],U[C[z]],N[z],U[N[z]],A[z],U[A[z]]
MMM1 Benitoite[7][all],O,8,15.999,0.33652,0.04224,0.33422,0.02793,0.63568,0.02908
MMM1 Benitoite[7][all],Na,11,22.98976928,0.00025,0.00004,0.00025,0.00004,0.00033,0.00006
MMM1 Benitoite[7][all],Si,14,28.085,0.19955,0.00063,0.19819,0.00833,0.21473,0.01714
MMM1 Benitoite[7][all],Ti,22,47.867,0.11110,0.00015,0.11035,0.00463,0.07015,0.00560
MMM1 Benitoite[7][all],Ba,56,137.327,0.35945,0.00077,0.35700,0.01499,0.07911,0.00631
# Notes
#   Analytical total: 1.007 ± 0.042
#   Duane-Hunt: 15.05 keV
#   Residual written to MMM1 Benitoite[7][4][residual].msa.
#   Plot output to 'MMM1 Benitoite[7][4][quantify].pdf'
# Result Comparison
Name,O,Na,Si,Ti,Ba,Σ
MMM1 Benitoite[0][all],0.338 ± 0.043,0.000340 ± 0.000044,0.19961 ± 0.00063,0.11212 ± 0.00015,0.35873 ± 0.00077,1.009 ± 0.043
MMM1 Benitoite[1][all],0.338 ± 0.043,0.000412 ± 0.000044,0.19980 ± 0.00063,0.11157 ± 0.00015,0.35902 ± 0.00077,1.009 ± 0.043
MMM1 Benitoite[2][all],0.337 ± 0.042,0.000468 ± 0.000044,0.19982 ± 0.00063,0.11127 ± 0.00015,0.35916 ± 0.00077,1.008 ± 0.042
MMM1 Benitoite[3][all],0.335 ± 0.042,0.000197 ± 0.000044,0.19947 ± 0.00062,0.11124 ± 0.00015,0.35841 ± 0.00077,1.005 ± 0.042
MMM1 Benitoite[4][all],0.337 ± 0.042,0.000425 ± 0.000044,0.19994 ± 0.00063,0.11112 ± 0.00015,0.36008 ± 0.00077,1.008 ± 0.042
MMM1 Benitoite[5][all],0.338 ± 0.043,0.000446 ± 0.000044,0.20006 ± 0.00063,0.11226 ± 0.00015,0.35857 ± 0.00077,1.010 ± 0.043
MMM1 Benitoite[6][all],0.337 ± 0.043,0.000253 ± 0.000044,0.19995 ± 0.00063,0.11177 ± 0.00015,0.35794 ± 0.00077,1.007 ± 0.043
MMM1 Benitoite[7][all],0.337 ± 0.042,0.000252 ± 0.000044,0.19955 ± 0.00063,0.11110 ± 0.00015,0.35945 ± 0.00077,1.007 ± 0.042
Mean,0.33713 ± 0.00091,0.00035 ± 0.00010,0.19978 ± 0.00021,0.11156 ± 0.00045,0.35892 ± 0.00066,1.0077 ± 0.0015
Nominal,0.3548,0.0007,0.2119,0.1145,0.3129,1
RDEV (%),-5,-50.1,-5.7,-2.6,14.7,0.8
