# Configuration
#   Username: Nicholas W. M. Ritchie
#   Timestamp: 2025-10-23 13:27:47
#   Application: spex version 0.0.121
#   References: `N132962 15 keV` revision 199 - 2025-10-23 13:24:40 -04:00
# Configuration warnings
#   There are no suitable references for [Sr L₁-L₂ and 1 others; 0.0007>.
# Spectrum
#   MMM1 Celestite[0][all]['MMM1 Celestite[0][4].msa']
# Fit warnings
#    None
# Quantification results
Name,Element,Z,A,C[z],U[C[z]],N[z],U[N[z]],A[z],U[A[z]]
MMM1 Celestite[0][all],O,8,15.999,0.33730,0.02603,0.34003,0.01845,0.65693,0.02105
MMM1 Celestite[0][all],Si,14,28.085,0.00030,0.00006,0.00030,0.00006,0.00033,0.00007
MMM1 Celestite[0][all],S,16,32.06,0.17828,0.01858,0.17972,0.01607,0.17327,0.01732
MMM1 Celestite[0][all],Ca,20,40.078,0.00036,0.00003,0.00037,0.00004,0.00028,0.00003
MMM1 Celestite[0][all],Sr,38,87.62,0.47575,0.00056,0.47959,0.01546,0.16919,0.00911
# Notes
#   Analytical total: 0.992 ± 0.032
#   Duane-Hunt: 15.09 keV
#   Residual written to MMM1 Celestite[0][4][residual].msa.
#   Plot output to 'MMM1 Celestite[0][4][quantify].pdf'
# Spectrum
#   MMM1 Celestite[1][all]['MMM1 Celestite[1][4].msa']
# Fit warnings
#    None
# Quantification results
Name,Element,Z,A,C[z],U[C[z]],N[z],U[N[z]],A[z],U[A[z]]
MMM1 Celestite[1][all],O,8,15.999,0.33678,0.02596,0.33990,0.01843,0.65683,0.02103
MMM1 Celestite[1][all],Si,14,28.085,0.00031,0.00006,0.00031,0.00006,0.00034,0.00007
MMM1 Celestite[1][all],S,16,32.06,0.17794,0.01853,0.17959,0.01605,0.17319,0.01730
MMM1 Celestite[1][all],Ca,20,40.078,0.00046,0.00003,0.00047,0.00004,0.00036,0.00003
MMM1 Celestite[1][all],Sr,38,87.62,0.47533,0.00056,0.47973,0.01544,0.16928,0.00910
# Notes
#   Analytical total: 0.991 ± 0.032
#   Duane-Hunt: 14.94 keV
#   Residual written to MMM1 Celestite[1][4][residual].msa.
#   Plot output to 'MMM1 Celestite[1][4][quantify].pdf'
# Spectrum
#   MMM1 Celestite[2][all]['MMM1 Celestite[2][4].msa']
# Fit warnings
#   Removing Si from the fit and re-fitting (threshold = 0.0σ).
# Quantification results
Name,Element,Z,A,C[z],U[C[z]],N[z],U[N[z]],A[z],U[A[z]]
MMM1 Celestite[2][all],O,8,15.999,0.33700,0.02598,0.34000,0.01844,0.65699,0.02104
MMM1 Celestite[2][all],Si,14,28.085,0.00000,0.00006,0.00000,0.00006,0.00000,0.00007
MMM1 Celestite[2][all],S,16,32.06,0.17817,0.01856,0.17976,0.01606,0.17334,0.01732
MMM1 Celestite[2][all],Ca,20,40.078,0.00055,0.00003,0.00055,0.00004,0.00043,0.00003
MMM1 Celestite[2][all],Sr,38,87.62,0.47545,0.00056,0.47969,0.01545,0.16925,0.00910
# Notes
#   Analytical total: 0.991 ± 0.032
#   Duane-Hunt: 15.00 keV
#   Residual written to MMM1 Celestite[2][4][residual].msa.
#   Plot output to 'MMM1 Celestite[2][4][quantify].pdf'
# Spectrum
