# Configuration
#   Username: nwmr
#   Timestamp: 2025-10-02 14:38:21.698582965 -04:00
#   Application: spex v0.0.117
#   References: `N132962 15 keV` revision 476 - 2025-10-02 13:33:55 -04:00
# Configuration warnings
#    None
# Spectrum
#   MMM1 Chalcopyrite[0][all]['MMM1 Chalcopyrite[0][4].msa']
# Fit warnings
#    None
# Quantification results
Name,Element,Z,A,C[z],U[C[z]],N[z]],U[N[z]],A[z],U[A[z]]
MMM1 Chalcopyrite[0][all],S,16,32.06,0.34501,0.00056,0.34789,0.00039,0.49832,0.00043
MMM1 Chalcopyrite[0][all],Fe,26,55.845,0.30271,0.00018,0.30524,0.00023,0.25101,0.00024
MMM1 Chalcopyrite[0][all],Cu,29,63.54599999999999,0.34400,0.00029,0.34687,0.00028,0.25067,0.00026
# Notes
#   Analytical total: 0.99171 ± 0.00066
#   Duane-Hunt: 15.05 keV
#   Residual written to MMM1 Chalcopyrite[0][4][residual].msa.
#   Plot output to 'MMM1 Chalcopyrite[0][4][quantify].pdf'
# Spectrum
#   MMM1 Chalcopyrite[1][all]['MMM1 Chalcopyrite[1][4].msa']
# Fit warnings
#    None
# Quantification results
Name,Element,Z,A,C[z],U[C[z]],N[z]],U[N[z]],A[z],U[A[z]]
MMM1 Chalcopyrite[1][all],S,16,32.06,0.34469,0.00056,0.34786,0.00039,0.49826,0.00043
MMM1 Chalcopyrite[1][all],Fe,26,55.845,0.30291,0.00018,0.30569,0.00023,0.25137,0.00024
MMM1 Chalcopyrite[1][all],Cu,29,63.54599999999999,0.34329,0.00029,0.34645,0.00028,0.25036,0.00026
# Notes
#   Analytical total: 0.99090 ± 0.00065
#   Duane-Hunt: 14.96 keV
#   Residual written to MMM1 Chalcopyrite[1][4][residual].msa.
#   Plot output to 'MMM1 Chalcopyrite[1][4][quantify].pdf'
# Spectrum
#   MMM1 Chalcopyrite[2][all]['MMM1 Chalcopyrite[2][4].msa']
# Fit warnings
#    None
# Quantification results
Name,Element,Z,A,C[z],U[C[z]],N[z]],U[N[z]],A[z],U[A[z]]
MMM1 Chalcopyrite[2][all],S,16,32.06,0.34587,0.00056,0.34857,0.00039,0.49912,0.00043
