# Configuration
#   Username: Nicholas W. M. Ritchie
#   Timestamp: 2025-10-23 13:27:48
#   Application: spex version 0.0.121
#   References: `N132962 15 keV` revision 199 - 2025-10-23 13:24:40 -04:00
# Configuration warnings
#    None
# Spectrum
#   MMM1 Chromite[0][all]['MMM1 Chromite[0][4].msa']
# Fit warnings
#   The k-ratio '[Ti L₃-M₅ + 13 others] = -0.01024 ± 0.00059' is more than 3σ negative.
# Quantification results
Name,Element,Z,A,C[z],U[C[z]],N[z],U[N[z]],A[z],U[A[z]]
MMM1 Chromite[0][all],O,8,15.999,0.34741,0.01875,0.34793,0.01225,0.56526,0.01327
MMM1 Chromite[0][all],Mg,12,24.305,0.09621,0.00034,0.09635,0.00184,0.10304,0.00316
MMM1 Chromite[0][all],Al,13,26.9815384,0.12302,0.00038,0.12321,0.00234,0.11869,0.00364
MMM1 Chromite[0][all],Si,14,28.085,0.00140,0.00003,0.00140,0.00004,0.00130,0.00005
MMM1 Chromite[0][all],Ti,22,47.867,0.00065,0.00003,0.00065,0.00004,0.00035,0.00002
MMM1 Chromite[0][all],V,23,50.9415,0.00139,0.00004,0.00139,0.00005,0.00071,0.00003
MMM1 Chromite[0][all],Cr,24,51.9961,0.31950,0.00057,0.31999,0.00603,0.15996,0.00489
MMM1 Chromite[0][all],Fe,26,55.845,0.10675,0.00028,0.10692,0.00203,0.04976,0.00152
MMM1 Chromite[0][all],Ni,28,58.6934,0.00166,0.00007,0.00166,0.00008,0.00073,0.00004
MMM1 Chromite[0][all],Zn,30,65.38,0.00050,0.00011,0.00050,0.00011,0.00020,0.00004
# Notes
#   Analytical total: 0.998 ± 0.019
#   Duane-Hunt: 15.06 keV
#   Residual written to MMM1 Chromite[0][4][residual].msa.
#   Plot output to 'MMM1 Chromite[0][4][quantify].pdf'
# Spectrum
#   MMM1 Chromite[1][all]['MMM1 Chromite[1][4].msa']
# Fit warnings
#   The k-ratio '[Ti L₃-M₅ + 13 others] = -0.01054 ± 0.00059' is more than 3σ negative.
# Quantification results
Name,Element,Z,A,C[z],U[C[z]],N[z],U[N[z]],A[z],U[A[z]]
MMM1 Chromite[1][all],O,8,15.999,0.34574,0.01863,0.34785,0.01223,0.56524,0.01325
MMM1 Chromite[1][all],Mg,12,24.305,0.09597,0.00034,0.09655,0.00184,0.10328,0.00316
MMM1 Chromite[1][all],Al,13,26.9815384,0.12238,0.00038,0.12313,0.00233,0.11864,0.00363
MMM1 Chromite[1][all],Si,14,28.085,0.00103,0.00003,0.00104,0.00003,0.00096,0.00004
MMM1 Chromite[1][all],Ti,22,47.867,0.00045,0.00003,0.00045,0.00003,0.00025,0.00002
MMM1 Chromite[1][all],V,23,50.9415,0.00118,0.00004,0.00119,0.00005,0.00061,0.00003
MMM1 Chromite[1][all],Cr,24,51.9961,0.31775,0.00057,0.31968,0.00601,0.15984,0.00488
MMM1 Chromite[1][all],Fe,26,55.845,0.10760,0.00028,0.10826,0.00205,0.05040,0.00154
MMM1 Chromite[1][all],Ni,28,58.6934,0.00131,0.00007,0.00132,0.00007,0.00058,0.00004
MMM1 Chromite[1][all],Zn,30,65.38,0.00052,0.00011,0.00053,0.00011,0.00021,0.00004
# Notes
#   Analytical total: 0.994 ± 0.019
#   Duane-Hunt: 15.20 keV
#   Residual written to MMM1 Chromite[1][4][residual].msa.
#   Plot output to 'MMM1 Chromite[1][4][quantify].pdf'
# Spectrum
#   MMM1 Chromite[2][all]['MMM1 Chromite[2][4].msa']
# Fit warnings
#   The k-ratio '[Ti L₃-M₅ + 13 others] = -0.01184 ± 0.00059' is more than 3σ negative.
# Quantification results
Name,Element,Z,A,C[z],U[C[z]],N[z],U[N[z]],A[z],U[A[z]]
MMM1 Chromite[2][all],O,8,15.999,0.34574,0.01865,0.34856,0.01225,0.56589,0.01326
MMM1 Chromite[2][all],Mg,12,24.305,0.09575,0.00034,0.09653,0.00184,0.10316,0.00317
MMM1 Chromite[2][all],Al,13,26.9815384,0.12218,0.00037,0.12318,0.00234,0.11858,0.00363
MMM1 Chromite[2][all],Si,14,28.085,0.00117,0.00003,0.00118,0.00004,0.00109,0.00004
MMM1 Chromite[2][all],Ti,22,47.867,0.00046,0.00003,0.00047,0.00003,0.00025,0.00002
MMM1 Chromite[2][all],V,23,50.9415,0.00132,0.00004,0.00133,0.00005,0.00068,0.00003
MMM1 Chromite[2][all],Cr,24,51.9961,0.31583,0.00057,0.31841,0.00600,0.15906,0.00486
MMM1 Chromite[2][all],Fe,26,55.845,0.10808,0.00028,0.10896,0.00207,0.05068,0.00155
MMM1 Chromite[2][all],Ni,28,58.6934,0.00138,0.00007,0.00139,0.00008,0.00061,0.00004
MMM1 Chromite[2][all],Zn,30,65.38,0.00000,0.00009,0.00000,0.00009,0.00000,0.00004
# Notes
#   Analytical total: 0.992 ± 0.019
#   Duane-Hunt: 15.19 keV
#   Residual written to MMM1 Chromite[2][4][residual].msa.
#   Plot output to 'MMM1 Chromite[2][4][quantify].pdf'
# Spectrum
#   MMM1 Chromite[3][all]['MMM1 Chromite[3][4].msa']
# Fit warnings
#   The k-ratio '[Ti L₃-M₅ + 13 others] = -0.00880 ± 0.00059' is more than 3σ negative.
# Quantification results
Name,Element,Z,A,C[z],U[C[z]],N[z],U[N[z]],A[z],U[A[z]]
MMM1 Chromite[3][all],O,8,15.999,0.34725,0.01870,0.34862,0.01223,0.56568,0.01324
MMM1 Chromite[3][all],Mg,12,24.305,0.09651,0.00034,0.09689,0.00185,0.10349,0.00317
MMM1 Chromite[3][all],Al,13,26.9815384,0.12329,0.00038,0.12378,0.00235,0.11909,0.00364
MMM1 Chromite[3][all],Si,14,28.085,0.00098,0.00003,0.00098,0.00003,0.00091,0.00004
MMM1 Chromite[3][all],Ti,22,47.867,0.00060,0.00003,0.00060,0.00004,0.00033,0.00002
MMM1 Chromite[3][all],V,23,50.9415,0.00127,0.00004,0.00128,0.00005,0.00065,0.00003
MMM1 Chromite[3][all],Cr,24,51.9961,0.31901,0.00057,0.32027,0.00603,0.15990,0.00488
MMM1 Chromite[3][all],Fe,26,55.845,0.10515,0.00027,0.10557,0.00200,0.04907,0.00150
MMM1 Chromite[3][all],Ni,28,58.6934,0.00160,0.00007,0.00160,0.00008,0.00071,0.00004
MMM1 Chromite[3][all],Zn,30,65.38,0.00040,0.00011,0.00040,0.00011,0.00016,0.00004
# Notes
#   Analytical total: 0.996 ± 0.019
#   Duane-Hunt: 15.20 keV
#   Residual written to MMM1 Chromite[3][4][residual].msa.
#   Plot output to 'MMM1 Chromite[3][4][quantify].pdf'
# Spectrum
#   MMM1 Chromite[4][all]['MMM1 Chromite[4][4].msa']
# Fit warnings
#   The k-ratio '[Ti L₃-M₅ + 13 others] = -0.01266 ± 0.00060' is more than 3σ negative.
# Quantification results
Name,Element,Z,A,C[z],U[C[z]],N[z],U[N[z]],A[z],U[A[z]]
MMM1 Chromite[4][all],O,8,15.999,0.34745,0.01932,0.34846,0.01262,0.57067,0.01362
MMM1 Chromite[4][all],Mg,12,24.305,0.09141,0.00033,0.09168,0.00180,0.09883,0.00315
MMM1 Chromite[4][all],Al,13,26.9815384,0.10991,0.00034,0.11023,0.00216,0.10704,0.00341
MMM1 Chromite[4][all],Si,14,28.085,0.00280,0.00003,0.00280,0.00006,0.00262,0.00009
MMM1 Chromite[4][all],Ti,22,47.867,0.00047,0.00003,0.00047,0.00003,0.00026,0.00002
MMM1 Chromite[4][all],V,23,50.9415,0.00140,0.00004,0.00140,0.00005,0.00072,0.00003
MMM1 Chromite[4][all],Cr,24,51.9961,0.31979,0.00057,0.32072,0.00623,0.16161,0.00513
MMM1 Chromite[4][all],Fe,26,55.845,0.12266,0.00031,0.12302,0.00240,0.05772,0.00184
MMM1 Chromite[4][all],Ni,28,58.6934,0.00114,0.00007,0.00115,0.00007,0.00051,0.00004
MMM1 Chromite[4][all],Zn,30,65.38,0.00007,0.00011,0.00007,0.00011,0.00003,0.00004
# Notes
#   Analytical total: 0.997 ± 0.019
#   Duane-Hunt: 15.17 keV
#   Residual written to MMM1 Chromite[4][4][residual].msa.
#   Plot output to 'MMM1 Chromite[4][4][quantify].pdf'
# Spectrum
#   MMM1 Chromite[5][all]['MMM1 Chromite[5][4].msa']
# Fit warnings
