# Configuration
#   Username: nwmr
#   Timestamp: 2025-10-02 14:38:22.693553816 -04:00
#   Application: spex v0.0.117
#   References: `N132962 15 keV` revision 476 - 2025-10-02 13:33:55 -04:00
# Configuration warnings
#    None
# Spectrum
#   MMM1 Cr2O3[0][all]['MMM1 Cr2O3[0][4].msa']
# Fit warnings
#    None
# Quantification results
Name,Element,Z,A,C[z],U[C[z]],N[z]],U[N[z]],A[z],U[A[z]]
MMM1 Cr2O3[0][all],O,8,15.999,0.34307,0.01615,0.33518,0.01049,0.62100,0.01108
MMM1 Cr2O3[0][all],Cr,24,51.9961,0.68047,0.00025,0.66482,0.01049,0.37900,0.01108
# Notes
#   Analytical total: 1.024 ± 0.016
#   Duane-Hunt: 15.01 keV
#   Residual written to MMM1 Cr2O3[0][4][residual].msa.
#   Plot output to 'MMM1 Cr2O3[0][4][quantify].pdf'
# Spectrum
#   MMM1 Cr2O3[1][all]['MMM1 Cr2O3[1][4].msa']
# Fit warnings
#    None
# Quantification results
Name,Element,Z,A,C[z],U[C[z]],N[z]],U[N[z]],A[z],U[A[z]]
MMM1 Cr2O3[1][all],O,8,15.999,0.34184,0.01608,0.33445,0.01047,0.62023,0.01108
MMM1 Cr2O3[1][all],Cr,24,51.9961,0.68026,0.00025,0.66555,0.01047,0.37977,0.01108
# Notes
#   Analytical total: 1.022 ± 0.016
#   Duane-Hunt: 15.01 keV
#   Residual written to MMM1 Cr2O3[1][4][residual].msa.
#   Plot output to 'MMM1 Cr2O3[1][4][quantify].pdf'
# Spectrum
#   MMM1 Cr2O3[2][all]['MMM1 Cr2O3[2][4].msa']
# Fit warnings
#    None
# Quantification results
Name,Element,Z,A,C[z],U[C[z]],N[z]],U[N[z]],A[z],U[A[z]]
MMM1 Cr2O3[2][all],O,8,15.999,0.34321,0.01617,0.33504,0.01050,0.62085,0.01109
MMM1 Cr2O3[2][all],Cr,24,51.9961,0.68117,0.00025,0.66496,0.01050,0.37915,0.01109
# Notes
#   Analytical total: 1.024 ± 0.016
#   Duane-Hunt: 15.01 keV
#   Residual written to MMM1 Cr2O3[2][4][residual].msa.
#   Plot output to 'MMM1 Cr2O3[2][4][quantify].pdf'
# Spectrum
#   MMM1 Cr2O3[3][all]['MMM1 Cr2O3[3][4].msa']
# Fit warnings
#    None
# Quantification results
Name,Element,Z,A,C[z],U[C[z]],N[z]],U[N[z]],A[z],U[A[z]]
MMM1 Cr2O3[3][all],O,8,15.999,0.33998,0.01596,0.33361,0.01044,0.61934,0.01107
MMM1 Cr2O3[3][all],Cr,24,51.9961,0.67912,0.00025,0.66639,0.01044,0.38066,0.01107
# Notes
#   Analytical total: 1.019 ± 0.016
#   Duane-Hunt: 15.01 keV
#   Residual written to MMM1 Cr2O3[3][4][residual].msa.
#   Plot output to 'MMM1 Cr2O3[3][4][quantify].pdf'
# Spectrum
#   MMM1 Cr2O3[4][all]['MMM1 Cr2O3[4][4].msa']
# Fit warnings
#    None
# Quantification results
Name,Element,Z,A,C[z],U[C[z]],N[z]],U[N[z]],A[z],U[A[z]]
MMM1 Cr2O3[4][all],O,8,15.999,0.34210,0.01609,0.33472,0.01047,0.62051,0.01107
