# Configuration
#   Username: Nicholas W. M. Ritchie
#   Timestamp: 2025-10-23 13:27:48
#   Application: spex version 0.0.121
#   References: `N132962 15 keV` revision 199 - 2025-10-23 13:24:40 -04:00
# Configuration warnings
#   There are no suitable references for [Pb M₃-M₄ and 1 others; 0.0015>.
# Spectrum
#   MMM1 Crocoite[0][all]['MMM1 Crocoite[0][4].msa']
# Fit warnings
#    None
# Quantification results
Name,Element,Z,A,C[z],U[C[z]],N[z],U[N[z]],A[z],U[A[z]]
MMM1 Crocoite[0][all],O,8,15.999,0.18500,0.01611,0.18966,0.01340,0.65634,0.01965
MMM1 Crocoite[0][all],Si,14,28.085,0.00035,0.00003,0.00036,0.00003,0.00071,0.00008
MMM1 Crocoite[0][all],Cr,24,51.9961,0.15472,0.00020,0.15862,0.00269,0.16890,0.00966
MMM1 Crocoite[0][all],Pb,82,207.2,0.63532,0.00359,0.65135,0.01083,0.17405,0.00998
# Notes
#   Analytical total: 0.975 ± 0.017
#   Duane-Hunt: 14.99 keV
#   Residual written to MMM1 Crocoite[0][4][residual].msa.
#   Plot output to 'MMM1 Crocoite[0][4][quantify].pdf'
# Spectrum
#   MMM1 Crocoite[1][all]['MMM1 Crocoite[1][4].msa']
# Fit warnings
#    None
# Quantification results
Name,Element,Z,A,C[z],U[C[z]],N[z],U[N[z]],A[z],U[A[z]]
MMM1 Crocoite[1][all],O,8,15.999,0.18697,0.01665,0.18809,0.01361,0.65599,0.02010
MMM1 Crocoite[1][all],Si,14,28.085,0.00014,0.00003,0.00014,0.00003,0.00027,0.00007
MMM1 Crocoite[1][all],Cr,24,51.9961,0.15474,0.00020,0.15566,0.00267,0.16705,0.00976
MMM1 Crocoite[1][all],Pb,82,207.2,0.65223,0.00362,0.65611,0.01106,0.17669,0.01035
# Notes
#   Analytical total: 0.994 ± 0.017
#   Duane-Hunt: 15.03 keV
#   Residual written to MMM1 Crocoite[1][4][residual].msa.
#   Plot output to 'MMM1 Crocoite[1][4][quantify].pdf'
# Spectrum
#   MMM1 Crocoite[2][all]['MMM1 Crocoite[2][4].msa']
# Fit warnings
#    None
# Quantification results
Name,Element,Z,A,C[z],U[C[z]],N[z],U[N[z]],A[z],U[A[z]]
MMM1 Crocoite[2][all],O,8,15.999,0.18425,0.01612,0.18823,0.01339,0.65482,0.01979
MMM1 Crocoite[2][all],Si,14,28.085,0.00017,0.00003,0.00017,0.00003,0.00034,0.00007
MMM1 Crocoite[2][all],Cr,24,51.9961,0.15483,0.00020,0.15818,0.00267,0.16932,0.00970
MMM1 Crocoite[2][all],Pb,82,207.2,0.63959,0.00358,0.65342,0.01084,0.17552,0.01009
# Notes
#   Analytical total: 0.979 ± 0.017
#   Duane-Hunt: 15.00 keV
#   Residual written to MMM1 Crocoite[2][4][residual].msa.
#   Plot output to 'MMM1 Crocoite[2][4][quantify].pdf'
# Spectrum
#   MMM1 Crocoite[3][all]['MMM1 Crocoite[3][4].msa']
# Fit warnings
#    None
# Quantification results
Name,Element,Z,A,C[z],U[C[z]],N[z],U[N[z]],A[z],U[A[z]]
MMM1 Crocoite[3][all],O,8,15.999,0.18632,0.01646,0.18869,0.01354,0.65624,0.01994
MMM1 Crocoite[3][all],Si,14,28.085,0.00017,0.00003,0.00017,0.00003,0.00033,0.00007
MMM1 Crocoite[3][all],Cr,24,51.9961,0.15472,0.00020,0.15669,0.00268,0.16768,0.00972
MMM1 Crocoite[3][all],Pb,82,207.2,0.64624,0.00362,0.65446,0.01098,0.17575,0.01022
# Notes
#   Analytical total: 0.987 ± 0.017
#   Duane-Hunt: 15.05 keV
#   Residual written to MMM1 Crocoite[3][4][residual].msa.
#   Plot output to 'MMM1 Crocoite[3][4][quantify].pdf'
# Spectrum
#   MMM1 Crocoite[4][all]['MMM1 Crocoite[4][4].msa']
# Fit warnings
#    None
# Quantification results
Name,Element,Z,A,C[z],U[C[z]],N[z],U[N[z]],A[z],U[A[z]]
MMM1 Crocoite[4][all],O,8,15.999,0.18581,0.01640,0.18831,0.01351,0.65536,0.01995
MMM1 Crocoite[4][all],Si,14,28.085,0.00019,0.00003,0.00019,0.00003,0.00038,0.00007
MMM1 Crocoite[4][all],Cr,24,51.9961,0.15523,0.00020,0.15732,0.00268,0.16846,0.00975
MMM1 Crocoite[4][all],Pb,82,207.2,0.64548,0.00360,0.65418,0.01095,0.17579,0.01020
# Notes
#   Analytical total: 0.987 ± 0.017
#   Duane-Hunt: 15.00 keV
#   Residual written to MMM1 Crocoite[4][4][residual].msa.
#   Plot output to 'MMM1 Crocoite[4][4][quantify].pdf'
# Spectrum
#   MMM1 Crocoite[5][all]['MMM1 Crocoite[5][4].msa']
# Fit warnings
#    None
# Quantification results
Name,Element,Z,A,C[z],U[C[z]],N[z],U[N[z]],A[z],U[A[z]]
MMM1 Crocoite[5][all],O,8,15.999,0.18498,0.01621,0.18867,0.01343,0.65568,0.01980
MMM1 Crocoite[5][all],Si,14,28.085,0.00016,0.00003,0.00016,0.00003,0.00031,0.00007
MMM1 Crocoite[5][all],Cr,24,51.9961,0.15465,0.00020,0.15773,0.00268,0.16867,0.00970
MMM1 Crocoite[5][all],Pb,82,207.2,0.64067,0.00360,0.65344,0.01088,0.17535,0.01011
# Notes
#   Analytical total: 0.980 ± 0.017
#   Duane-Hunt: 15.01 keV
#   Residual written to MMM1 Crocoite[5][4][residual].msa.
#   Plot output to 'MMM1 Crocoite[5][4][quantify].pdf'
# Spectrum
#   MMM1 Crocoite[6][all]['MMM1 Crocoite[6][4].msa']
# Fit warnings
#    None
# Quantification results
Name,Element,Z,A,C[z],U[C[z]],N[z],U[N[z]],A[z],U[A[z]]
MMM1 Crocoite[6][all],O,8,15.999,0.18683,0.01673,0.18707,0.01364,0.65527,0.02024
MMM1 Crocoite[6][all],Si,14,28.085,0.00022,0.00003,0.00022,0.00003,0.00045,0.00007
MMM1 Crocoite[6][all],Cr,24,51.9961,0.15399,0.00020,0.15419,0.00265,0.16618,0.00976
