# Configuration
#   Username: Nicholas W. M. Ritchie
#   Timestamp: 2025-10-23 13:27:49
#   Application: spex version 0.0.121
#   References: `N132962 15 keV` revision 199 - 2025-10-23 13:24:40 -04:00
# Configuration warnings
#    None
# Spectrum
#   MMM1 Diopside[0][all]['MMM1 Diopside[0][4].msa']
# Fit warnings
#    None
# Quantification results
Name,Element,Z,A,C[z],U[C[z]],N[z],U[N[z]],A[z],U[A[z]]
MMM1 Diopside[0][all],O,8,15.999,0.44249,0.03955,0.44047,0.02203,0.59809,0.02149
MMM1 Diopside[0][all],Na,11,22.98976928,0.00307,0.00004,0.00305,0.00013,0.00288,0.00016
MMM1 Diopside[0][all],Mg,12,24.305,0.10490,0.00017,0.10442,0.00411,0.09334,0.00499
MMM1 Diopside[0][all],Al,13,26.9815384,0.00290,0.00003,0.00288,0.00012,0.00232,0.00013
MMM1 Diopside[0][all],Si,14,28.085,0.26468,0.00049,0.26347,0.01038,0.20380,0.01090
MMM1 Diopside[0][all],Ca,20,40.078,0.17943,0.00013,0.17861,0.00703,0.09681,0.00518
MMM1 Diopside[0][all],Fe,26,55.845,0.00713,0.00006,0.00709,0.00029,0.00276,0.00015
# Notes
#   Analytical total: 1.005 ± 0.040
#   Duane-Hunt: 15.20 keV
#   Residual written to MMM1 Diopside[0][4][residual].msa.
#   Plot output to 'MMM1 Diopside[0][4][quantify].pdf'
# Spectrum
#   MMM1 Diopside[1][all]['MMM1 Diopside[1][4].msa']
# Fit warnings
#    None
# Quantification results
Name,Element,Z,A,C[z],U[C[z]],N[z],U[N[z]],A[z],U[A[z]]
MMM1 Diopside[1][all],O,8,15.999,0.44291,0.03961,0.44034,0.02204,0.59796,0.02150
MMM1 Diopside[1][all],Na,11,22.98976928,0.00292,0.00004,0.00290,0.00012,0.00274,0.00015
MMM1 Diopside[1][all],Mg,12,24.305,0.10537,0.00018,0.10475,0.00413,0.09364,0.00501
MMM1 Diopside[1][all],Al,13,26.9815384,0.00283,0.00003,0.00281,0.00011,0.00226,0.00012
MMM1 Diopside[1][all],Si,14,28.085,0.26506,0.00049,0.26352,0.01038,0.20385,0.01090
MMM1 Diopside[1][all],Ca,20,40.078,0.17949,0.00013,0.17845,0.00703,0.09673,0.00517
MMM1 Diopside[1][all],Fe,26,55.845,0.00727,0.00006,0.00723,0.00029,0.00281,0.00015
# Notes
#   Analytical total: 1.006 ± 0.040
#   Duane-Hunt: 15.19 keV
#   Residual written to MMM1 Diopside[1][4][residual].msa.
#   Plot output to 'MMM1 Diopside[1][4][quantify].pdf'
# Spectrum
#   MMM1 Diopside[2][all]['MMM1 Diopside[2][4].msa']
# Fit warnings
#    None
# Quantification results
Name,Element,Z,A,C[z],U[C[z]],N[z],U[N[z]],A[z],U[A[z]]
MMM1 Diopside[2][all],O,8,15.999,0.44210,0.03952,0.44012,0.02203,0.59771,0.02149
MMM1 Diopside[2][all],Na,11,22.98976928,0.00275,0.00004,0.00273,0.00011,0.00258,0.00014
MMM1 Diopside[2][all],Mg,12,24.305,0.10527,0.00018,0.10480,0.00413,0.09368,0.00501
MMM1 Diopside[2][all],Al,13,26.9815384,0.00285,0.00003,0.00284,0.00012,0.00228,0.00012
MMM1 Diopside[2][all],Si,14,28.085,0.26516,0.00049,0.26398,0.01039,0.20422,0.01091
MMM1 Diopside[2][all],Ca,20,40.078,0.17937,0.00013,0.17857,0.00703,0.09681,0.00517
MMM1 Diopside[2][all],Fe,26,55.845,0.00699,0.00006,0.00696,0.00028,0.00271,0.00015
# Notes
#   Analytical total: 1.004 ± 0.040
#   Duane-Hunt: 15.19 keV
#   Residual written to MMM1 Diopside[2][4][residual].msa.
#   Plot output to 'MMM1 Diopside[2][4][quantify].pdf'
# Spectrum
#   MMM1 Diopside[3][all]['MMM1 Diopside[3][4].msa']
# Fit warnings
#    None
# Quantification results
Name,Element,Z,A,C[z],U[C[z]],N[z],U[N[z]],A[z],U[A[z]]
MMM1 Diopside[3][all],O,8,15.999,0.44377,0.03969,0.44078,0.02205,0.59827,0.02150
MMM1 Diopside[3][all],Na,11,22.98976928,0.00298,0.00004,0.00296,0.00012,0.00279,0.00015
MMM1 Diopside[3][all],Mg,12,24.305,0.10528,0.00018,0.10457,0.00413,0.09343,0.00500
MMM1 Diopside[3][all],Al,13,26.9815384,0.00303,0.00003,0.00301,0.00012,0.00243,0.00013
MMM1 Diopside[3][all],Si,14,28.085,0.26547,0.00049,0.26369,0.01040,0.20388,0.01091
MMM1 Diopside[3][all],Ca,20,40.078,0.17946,0.00013,0.17825,0.00703,0.09658,0.00517
MMM1 Diopside[3][all],Fe,26,55.845,0.00679,0.00006,0.00674,0.00027,0.00262,0.00014
# Notes
#   Analytical total: 1.007 ± 0.040
#   Duane-Hunt: 15.20 keV
#   Residual written to MMM1 Diopside[3][4][residual].msa.
#   Plot output to 'MMM1 Diopside[3][4][quantify].pdf'
# Spectrum
#   MMM1 Diopside[4][all]['MMM1 Diopside[4][4].msa']
# Fit warnings
#    None
# Quantification results
Name,Element,Z,A,C[z],U[C[z]],N[z],U[N[z]],A[z],U[A[z]]
MMM1 Diopside[4][all],O,8,15.999,0.44177,0.03946,0.44006,0.02201,0.59770,0.02148
MMM1 Diopside[4][all],Na,11,22.98976928,0.00308,0.00004,0.00307,0.00013,0.00290,0.00016
MMM1 Diopside[4][all],Mg,12,24.305,0.10506,0.00017,0.10465,0.00412,0.09357,0.00500
MMM1 Diopside[4][all],Al,13,26.9815384,0.00285,0.00003,0.00284,0.00012,0.00228,0.00012
