# Configuration
#   Username: Nicholas W. M. Ritchie
#   Timestamp: 2025-10-23 13:27:49
#   Application: spex version 0.0.121
#   References: `N132962 15 keV` revision 199 - 2025-10-23 13:24:40 -04:00
# Configuration warnings
#    None
# Spectrum
#   MMM1 Dolomite[0][all]['MMM1 Dolomite[0][4].msa']
# Fit warnings
#   The k-ratio '[Fe L₃-M₅ + 13 others] = -0.00066 ± 0.00017' is more than 3σ negative.
# Quantification results
Name,Element,Z,A,C[z],U[C[z]],N[z],U[N[z]],A[z],U[A[z]]
MMM1 Dolomite[0][all],C,6,12.011,0.13252,0.02660,0.13376,0.02374,0.20535,0.03381
MMM1 Dolomite[0][all],O,8,15.999,0.51170,0.03507,0.51647,0.02203,0.59525,0.02957
MMM1 Dolomite[0][all],Mg,12,24.305,0.12804,0.00023,0.12923,0.00574,0.09804,0.00569
MMM1 Dolomite[0][all],Ca,20,40.078,0.21763,0.00012,0.21966,0.00976,0.10106,0.00586
MMM1 Dolomite[0][all],Fe,26,55.845,0.00087,0.00005,0.00088,0.00006,0.00029,0.00002
# Notes
#   Analytical total: 0.991 ± 0.044
#   Duane-Hunt: 15.18 keV
#   Residual written to MMM1 Dolomite[0][4][residual].msa.
#   Plot output to 'MMM1 Dolomite[0][4][quantify].pdf'
# Spectrum
#   MMM1 Dolomite[1][all]['MMM1 Dolomite[1][4].msa']
# Fit warnings
#    None
# Quantification results
Name,Element,Z,A,C[z],U[C[z]],N[z],U[N[z]],A[z],U[A[z]]
MMM1 Dolomite[1][all],C,6,12.011,0.13201,0.02647,0.13341,0.02366,0.20490,0.03372
MMM1 Dolomite[1][all],O,8,15.999,0.51126,0.03501,0.51666,0.02199,0.59574,0.02952
MMM1 Dolomite[1][all],Mg,12,24.305,0.12741,0.00023,0.12875,0.00571,0.09772,0.00566
MMM1 Dolomite[1][all],Ca,20,40.078,0.21761,0.00012,0.21990,0.00976,0.10122,0.00586
MMM1 Dolomite[1][all],Fe,26,55.845,0.00126,0.00005,0.00128,0.00008,0.00042,0.00003
# Notes
#   Analytical total: 0.990 ± 0.044
#   Duane-Hunt: 15.20 keV
#   Residual written to MMM1 Dolomite[1][4][residual].msa.
#   Plot output to 'MMM1 Dolomite[1][4][quantify].pdf'
# Spectrum
#   MMM1 Dolomite[2][all]['MMM1 Dolomite[2][4].msa']
# Fit warnings
#    None
# Quantification results
Name,Element,Z,A,C[z],U[C[z]],N[z],U[N[z]],A[z],U[A[z]]
MMM1 Dolomite[2][all],C,6,12.011,0.13434,0.02695,0.13521,0.02394,0.20728,0.03403
MMM1 Dolomite[2][all],O,8,15.999,0.51378,0.03523,0.51711,0.02213,0.59513,0.02976
MMM1 Dolomite[2][all],Mg,12,24.305,0.12677,0.00023,0.12759,0.00570,0.09666,0.00563
MMM1 Dolomite[2][all],Ca,20,40.078,0.21727,0.00012,0.21868,0.00976,0.10047,0.00585
MMM1 Dolomite[2][all],Fe,26,55.845,0.00140,0.00005,0.00141,0.00008,0.00047,0.00003
# Notes
#   Analytical total: 0.994 ± 0.044
#   Duane-Hunt: 15.09 keV
#   Residual written to MMM1 Dolomite[2][4][residual].msa.
#   Plot output to 'MMM1 Dolomite[2][4][quantify].pdf'
# Spectrum
#   MMM1 Dolomite[3][all]['MMM1 Dolomite[3][4].msa']
# Fit warnings
#    None
# Quantification results
Name,Element,Z,A,C[z],U[C[z]],N[z],U[N[z]],A[z],U[A[z]]
MMM1 Dolomite[3][all],C,6,12.011,0.13272,0.02657,0.13417,0.02374,0.20609,0.03382
MMM1 Dolomite[3][all],O,8,15.999,0.51026,0.03500,0.51584,0.02204,0.59483,0.02960
MMM1 Dolomite[3][all],Mg,12,24.305,0.12633,0.00023,0.12772,0.00568,0.09694,0.00563
MMM1 Dolomite[3][all],Ca,20,40.078,0.21854,0.00012,0.22093,0.00982,0.10170,0.00590
MMM1 Dolomite[3][all],Fe,26,55.845,0.00133,0.00005,0.00134,0.00008,0.00044,0.00003
# Notes
#   Analytical total: 0.989 ± 0.044
#   Duane-Hunt: 15.19 keV
#   Residual written to MMM1 Dolomite[3][4][residual].msa.
#   Plot output to 'MMM1 Dolomite[3][4][quantify].pdf'
# Spectrum
#   MMM1 Dolomite[4][all]['MMM1 Dolomite[4][4].msa']
# Fit warnings
#    None
# Quantification results
Name,Element,Z,A,C[z],U[C[z]],N[z],U[N[z]],A[z],U[A[z]]
MMM1 Dolomite[4][all],C,6,12.011,0.14897,0.03032,0.14442,0.02568,0.21909,0.03597
MMM1 Dolomite[4][all],O,8,15.999,0.53487,0.03728,0.51853,0.02313,0.59055,0.03126
MMM1 Dolomite[4][all],Mg,12,24.305,0.13035,0.00024,0.12636,0.00589,0.09473,0.00575
MMM1 Dolomite[4][all],Ca,20,40.078,0.21597,0.00012,0.20937,0.00975,0.09519,0.00578
MMM1 Dolomite[4][all],Fe,26,55.845,0.00136,0.00005,0.00132,0.00008,0.00043,0.00003
# Notes
#   Analytical total: 1.032 ± 0.048
#   Duane-Hunt: 15.20 keV
#   Residual written to MMM1 Dolomite[4][4][residual].msa.
#   Plot output to 'MMM1 Dolomite[4][4][quantify].pdf'
# Spectrum
#   MMM1 Dolomite[5][all]['MMM1 Dolomite[5][4].msa']
# Fit warnings
#    None
# Quantification results
Name,Element,Z,A,C[z],U[C[z]],N[z],U[N[z]],A[z],U[A[z]]
MMM1 Dolomite[5][all],C,6,12.011,0.13238,0.02652,0.13389,0.02371,0.20564,0.03378
MMM1 Dolomite[5][all],O,8,15.999,0.51005,0.03486,0.51591,0.02198,0.59485,0.02953
MMM1 Dolomite[5][all],Mg,12,24.305,0.12753,0.00023,0.12899,0.00572,0.09791,0.00567
MMM1 Dolomite[5][all],Ca,20,40.078,0.21704,0.00012,0.21953,0.00973,0.10105,0.00585
MMM1 Dolomite[5][all],Fe,26,55.845,0.00166,0.00005,0.00168,0.00009,0.00055,0.00004
# Notes
#   Analytical total: 0.989 ± 0.044
#   Duane-Hunt: 15.12 keV
#   Residual written to MMM1 Dolomite[5][4][residual].msa.
#   Plot output to 'MMM1 Dolomite[5][4][quantify].pdf'
# Spectrum
#   MMM1 Dolomite[6][all]['MMM1 Dolomite[6][4].msa']
# Fit warnings
#    None
# Quantification results
Name,Element,Z,A,C[z],U[C[z]],N[z],U[N[z]],A[z],U[A[z]]
MMM1 Dolomite[6][all],C,6,12.011,0.13476,0.02706,0.13548,0.02400,0.20754,0.03409
MMM1 Dolomite[6][all],O,8,15.999,0.51491,0.03527,0.51766,0.02216,0.59531,0.02979
MMM1 Dolomite[6][all],Mg,12,24.305,0.12714,0.00023,0.12782,0.00572,0.09676,0.00564
MMM1 Dolomite[6][all],Ca,20,40.078,0.21658,0.00011,0.21774,0.00973,0.09996,0.00583
MMM1 Dolomite[6][all],Fe,26,55.845,0.00129,0.00005,0.00130,0.00008,0.00043,0.00003
# Notes
#   Analytical total: 0.995 ± 0.044
#   Duane-Hunt: 15.20 keV
#   Residual written to MMM1 Dolomite[6][4][residual].msa.
#   Plot output to 'MMM1 Dolomite[6][4][quantify].pdf'
# Spectrum
#   MMM1 Dolomite[7][all]['MMM1 Dolomite[7][4].msa']
# Fit warnings
#   The k-ratio '[Fe L₃-M₅ + 13 others] = -0.00054 ± 0.00016' is more than 3σ negative.
# Quantification results
Name,Element,Z,A,C[z],U[C[z]],N[z],U[N[z]],A[z],U[A[z]]
MMM1 Dolomite[7][all],C,6,12.011,0.13383,0.02680,0.13509,0.02388,0.20697,0.03393
MMM1 Dolomite[7][all],O,8,15.999,0.51379,0.03508,0.51861,0.02208,0.59650,0.02969
MMM1 Dolomite[7][all],Mg,12,24.305,0.12547,0.00023,0.12665,0.00565,0.09589,0.00557
MMM1 Dolomite[7][all],Ca,20,40.078,0.21593,0.00011,0.21795,0.00971,0.10008,0.00582
MMM1 Dolomite[7][all],Fe,26,55.845,0.00169,0.00005,0.00171,0.00009,0.00056,0.00004
# Notes
#   Analytical total: 0.991 ± 0.044
#   Duane-Hunt: 15.20 keV
#   Residual written to MMM1 Dolomite[7][4][residual].msa.
#   Plot output to 'MMM1 Dolomite[7][4][quantify].pdf'
# Result Comparison
Name,C,O,Mg,Ca,Fe,Σ
MMM1 Dolomite[0][all],0.133 ± 0.027,0.512 ± 0.035,0.12804 ± 0.00023,0.21763 ± 0.00012,0.000871 ± 0.000050,0.991 ± 0.044
MMM1 Dolomite[1][all],0.132 ± 0.026,0.511 ± 0.035,0.12741 ± 0.00023,0.21761 ± 0.00012,0.001263 ± 0.000051,0.990 ± 0.044
MMM1 Dolomite[2][all],0.134 ± 0.027,0.514 ± 0.035,0.12677 ± 0.00023,0.21727 ± 0.00012,0.001402 ± 0.000051,0.994 ± 0.044
MMM1 Dolomite[3][all],0.133 ± 0.027,0.510 ± 0.035,0.12633 ± 0.00023,0.21854 ± 0.00012,0.001326 ± 0.000051,0.989 ± 0.044
MMM1 Dolomite[4][all],0.149 ± 0.030,0.535 ± 0.037,0.13035 ± 0.00024,0.21597 ± 0.00012,0.001361 ± 0.000051,1.032 ± 0.048
MMM1 Dolomite[5][all],0.132 ± 0.027,0.510 ± 0.035,0.12753 ± 0.00023,0.21704 ± 0.00012,0.001656 ± 0.000051,0.989 ± 0.044
MMM1 Dolomite[6][all],0.135 ± 0.027,0.515 ± 0.035,0.12714 ± 0.00023,0.21658 ± 0.00011,0.001291 ± 0.000051,0.995 ± 0.044
MMM1 Dolomite[7][all],0.134 ± 0.027,0.514 ± 0.035,0.12547 ± 0.00023,0.21593 ± 0.00011,0.001690 ± 0.000051,0.991 ± 0.044
Mean,0.1352 ± 0.0057,0.5151 ± 0.0082,0.1274 ± 0.0014,0.21707 ± 0.00089,0.00136 ± 0.00025,0.996 ± 0.014
Nominal,0.1301,0.5197,0.1306,0.2172,0.0011,1
RDEV (%),3.9,-0.9,-2.5,-0.1,23.4,-0.4
