# Configuration
#   Username: Nicholas W. M. Ritchie
#   Timestamp: 2025-10-23 13:27:49
#   Application: spex version 0.0.121
#   References: `N132962 15 keV` revision 199 - 2025-10-23 13:24:40 -04:00
# Configuration warnings
#   The Duane-Hunt (14.83 keV) for CeO2 standard for 'N132962' detector differs by more than 1 % from the beam energy (15.00 keV)!!
#   There are no suitable references for [P L₁-M₂ and 1 others; 0.0632>.
#   There are no suitable references for [Sr L₁-L₂ and 1 others; 0.0007>.
# Spectrum
#   MMM1 Fluorapatite[0][all]['MMM1 Fluorapatite[0][4].msa']
# Fit warnings
#   The k-ratio '[Y L₁-L₃ + 1 other] = -0.2386 ± 0.0090' is more than 3σ negative.
# Quantification results
Name,Element,Z,A,C[z],U[C[z]],N[z],U[N[z]],A[z],U[A[z]]
MMM1 Fluorapatite[0][all],O,8,15.999,0.38373,0.03385,0.37500,0.02069,0.56500,0.02173
MMM1 Fluorapatite[0][all],F,9,18.998403163,0.04768,0.00202,0.04659,0.00243,0.05912,0.00378
MMM1 Fluorapatite[0][all],Si,14,28.085,0.00138,0.00003,0.00135,0.00005,0.00116,0.00006
MMM1 Fluorapatite[0][all],P,15,30.973761998,0.18909,0.00038,0.18479,0.00613,0.14381,0.00718
MMM1 Fluorapatite[0][all],S,16,32.06,0.00310,0.00004,0.00303,0.00011,0.00228,0.00012
MMM1 Fluorapatite[0][all],Ca,20,40.078,0.38279,0.00023,0.37408,0.01240,0.22499,0.01123
MMM1 Fluorapatite[0][all],Sr,38,87.62,0.00474,0.00011,0.00463,0.00019,0.00127,0.00007
MMM1 Fluorapatite[0][all],Y,39,88.905838,0.00576,0.00024,0.00562,0.00030,0.00153,0.00010
MMM1 Fluorapatite[0][all],La,57,138.90547,0.00136,0.00010,0.00132,0.00011,0.00023,0.00002
MMM1 Fluorapatite[0][all],Ce,58,140.116,0.00365,0.00011,0.00357,0.00016,0.00061,0.00004
# Notes
#   Analytical total: 1.023 ± 0.034
#   Duane-Hunt: 15.02 keV
#   Residual written to MMM1 Fluorapatite[0][4][residual].msa.
#   Plot output to 'MMM1 Fluorapatite[0][4][quantify].pdf'
# Spectrum
#   MMM1 Fluorapatite[1][all]['MMM1 Fluorapatite[1][4].msa']
# Fit warnings
#   The k-ratio '[Y L₁-L₃ + 1 other] = -0.2239 ± 0.0090' is more than 3σ negative.
# Quantification results
Name,Element,Z,A,C[z],U[C[z]],N[z],U[N[z]],A[z],U[A[z]]
MMM1 Fluorapatite[1][all],O,8,15.999,0.38355,0.03388,0.37446,0.02070,0.56418,0.02177
MMM1 Fluorapatite[1][all],F,9,18.998403163,0.04855,0.00206,0.04740,0.00247,0.06014,0.00384
MMM1 Fluorapatite[1][all],Si,14,28.085,0.00137,0.00003,0.00133,0.00005,0.00115,0.00006
MMM1 Fluorapatite[1][all],P,15,30.973761998,0.18954,0.00037,0.18505,0.00614,0.14401,0.00719
MMM1 Fluorapatite[1][all],S,16,32.06,0.00273,0.00004,0.00266,0.00010,0.00200,0.00010
MMM1 Fluorapatite[1][all],Ca,20,40.078,0.38301,0.00023,0.37394,0.01239,0.22490,0.01122
MMM1 Fluorapatite[1][all],Sr,38,87.62,0.00458,0.00011,0.00447,0.00018,0.00123,0.00007
MMM1 Fluorapatite[1][all],Y,39,88.905838,0.00572,0.00024,0.00559,0.00030,0.00151,0.00010
MMM1 Fluorapatite[1][all],La,57,138.90547,0.00154,0.00010,0.00150,0.00011,0.00026,0.00002
MMM1 Fluorapatite[1][all],Ce,58,140.116,0.00368,0.00011,0.00359,0.00016,0.00062,0.00004
# Notes
#   Analytical total: 1.024 ± 0.034
#   Duane-Hunt: 15.19 keV
#   Residual written to MMM1 Fluorapatite[1][4][residual].msa.
#   Plot output to 'MMM1 Fluorapatite[1][4][quantify].pdf'
# Spectrum
#   MMM1 Fluorapatite[2][all]['MMM1 Fluorapatite[2][4].msa']
# Fit warnings
#   The k-ratio '[Y L₁-L₃ + 1 other] = -0.2517 ± 0.0090' is more than 3σ negative.
# Quantification results
Name,Element,Z,A,C[z],U[C[z]],N[z],U[N[z]],A[z],U[A[z]]
MMM1 Fluorapatite[2][all],O,8,15.999,0.38473,0.03399,0.37565,0.02074,0.56525,0.02176
MMM1 Fluorapatite[2][all],F,9,18.998403163,0.04833,0.00205,0.04719,0.00247,0.05980,0.00382
MMM1 Fluorapatite[2][all],Si,14,28.085,0.00151,0.00003,0.00148,0.00006,0.00127,0.00007
MMM1 Fluorapatite[2][all],P,15,30.973761998,0.18893,0.00036,0.18447,0.00614,0.14337,0.00717
MMM1 Fluorapatite[2][all],S,16,32.06,0.00289,0.00004,0.00282,0.00010,0.00212,0.00011
MMM1 Fluorapatite[2][all],Ca,20,40.078,0.38312,0.00023,0.37408,0.01244,0.22470,0.01124
MMM1 Fluorapatite[2][all],Sr,38,87.62,0.00442,0.00011,0.00431,0.00018,0.00118,0.00007
MMM1 Fluorapatite[2][all],Y,39,88.905838,0.00615,0.00024,0.00600,0.00031,0.00163,0.00010
MMM1 Fluorapatite[2][all],La,57,138.90547,0.00135,0.00010,0.00132,0.00011,0.00023,0.00002
MMM1 Fluorapatite[2][all],Ce,58,140.116,0.00276,0.00011,0.00269,0.00014,0.00046,0.00003
# Notes
#   Analytical total: 1.024 ± 0.034
#   Duane-Hunt: 15.03 keV
#   Residual written to MMM1 Fluorapatite[2][4][residual].msa.
#   Plot output to 'MMM1 Fluorapatite[2][4][quantify].pdf'
# Spectrum
#   MMM1 Fluorapatite[3][all]['MMM1 Fluorapatite[3][4].msa']
# Fit warnings
#   The k-ratio '[Y L₁-L₃ + 1 other] = -0.2493 ± 0.0090' is more than 3σ negative.
# Quantification results
Name,Element,Z,A,C[z],U[C[z]],N[z],U[N[z]],A[z],U[A[z]]
MMM1 Fluorapatite[3][all],O,8,15.999,0.38448,0.03393,0.37615,0.02072,0.56656,0.02172
MMM1 Fluorapatite[3][all],F,9,18.998403163,0.04655,0.00198,0.04555,0.00239,0.05777,0.00370
MMM1 Fluorapatite[3][all],Si,14,28.085,0.00135,0.00003,0.00132,0.00005,0.00114,0.00006
MMM1 Fluorapatite[3][all],P,15,30.973761998,0.18848,0.00036,0.18440,0.00614,0.14346,0.00719
MMM1 Fluorapatite[3][all],S,16,32.06,0.00290,0.00004,0.00284,0.00010,0.00213,0.00011
MMM1 Fluorapatite[3][all],Ca,20,40.078,0.38314,0.00023,0.37484,0.01247,0.22538,0.01128
MMM1 Fluorapatite[3][all],Sr,38,87.62,0.00440,0.00011,0.00430,0.00018,0.00118,0.00007
MMM1 Fluorapatite[3][all],Y,39,88.905838,0.00568,0.00024,0.00556,0.00030,0.00151,0.00010
MMM1 Fluorapatite[3][all],La,57,138.90547,0.00166,0.00010,0.00162,0.00011,0.00028,0.00002
MMM1 Fluorapatite[3][all],Ce,58,140.116,0.00350,0.00011,0.00342,0.00015,0.00059,0.00003
# Notes
#   Analytical total: 1.022 ± 0.034
#   Duane-Hunt: 15.20 keV
#   Residual written to MMM1 Fluorapatite[3][4][residual].msa.
#   Plot output to 'MMM1 Fluorapatite[3][4][quantify].pdf'
# Spectrum
#   MMM1 Fluorapatite[4][all]['MMM1 Fluorapatite[4][4].msa']
# Fit warnings
#   The k-ratio '[Y L₁-L₃ + 1 other] = -0.2525 ± 0.0090' is more than 3σ negative.
# Quantification results
Name,Element,Z,A,C[z],U[C[z]],N[z],U[N[z]],A[z],U[A[z]]
MMM1 Fluorapatite[4][all],O,8,15.999,0.38437,0.03395,0.37580,0.02074,0.56576,0.02175
MMM1 Fluorapatite[4][all],F,9,18.998403163,0.04743,0.00201,0.04637,0.00243,0.05879,0.00376
MMM1 Fluorapatite[4][all],Si,14,28.085,0.00141,0.00003,0.00138,0.00005,0.00118,0.00006
MMM1 Fluorapatite[4][all],P,15,30.973761998,0.18894,0.00035,0.18473,0.00615,0.14365,0.00719
MMM1 Fluorapatite[4][all],S,16,32.06,0.00288,0.00004,0.00281,0.00010,0.00211,0.00011
MMM1 Fluorapatite[4][all],Ca,20,40.078,0.38313,0.00023,0.37458,0.01246,0.22512,0.01127
MMM1 Fluorapatite[4][all],Sr,38,87.62,0.00402,0.00011,0.00393,0.00017,0.00108,0.00006
MMM1 Fluorapatite[4][all],Y,39,88.905838,0.00534,0.00024,0.00522,0.00029,0.00141,0.00010
MMM1 Fluorapatite[4][all],La,57,138.90547,0.00147,0.00010,0.00144,0.00011,0.00025,0.00002
MMM1 Fluorapatite[4][all],Ce,58,140.116,0.00382,0.00011,0.00374,0.00016,0.00064,0.00004
# Notes
#   Analytical total: 1.023 ± 0.034
#   Duane-Hunt: 15.20 keV
#   Residual written to MMM1 Fluorapatite[4][4][residual].msa.
#   Plot output to 'MMM1 Fluorapatite[4][4][quantify].pdf'
# Spectrum
#   MMM1 Fluorapatite[5][all]['MMM1 Fluorapatite[5][4].msa']
# Fit warnings
