# Configuration
#   Username: nwmr
#   Timestamp: 2025-10-02 14:38:24.421582349 -04:00
#   Application: spex v0.0.117
#   References: `N132962 15 keV` revision 476 - 2025-10-02 13:33:55 -04:00
# Configuration warnings
#   There are no suitable references for [Pb M₃-M₄ and 1 others; 0.0015>.
# Spectrum
#   MMM1 Galena[0][all]['MMM1 Galena[0][4].msa']
# Fit warnings
#    None
# Quantification results
Name,Element,Z,A,C[z],U[C[z]],N[z]],U[N[z]],A[z],U[A[z]]
MMM1 Galena[0][all],S,16,32.06,0.12453,0.00031,0.12321,0.00032,0.47593,0.00075
MMM1 Galena[0][all],Pb,82,207.2,0.88621,0.00146,0.87679,0.00032,0.52407,0.00075
# Notes
#   Analytical total: 1.0107 ± 0.0015
#   Duane-Hunt: 15.00 keV
#   Residual written to MMM1 Galena[0][4][residual].msa.
#   Plot output to 'MMM1 Galena[0][4][quantify].pdf'
# Spectrum
#   MMM1 Galena[1][all]['MMM1 Galena[1][4].msa']
# Fit warnings
#    None
# Quantification results
Name,Element,Z,A,C[z],U[C[z]],N[z]],U[N[z]],A[z],U[A[z]]
MMM1 Galena[1][all],S,16,32.06,0.12420,0.00031,0.12321,0.00032,0.47594,0.00075
MMM1 Galena[1][all],Pb,82,207.2,0.88383,0.00146,0.87679,0.00032,0.52406,0.00075
# Notes
#   Analytical total: 1.0080 ± 0.0015
#   Duane-Hunt: 15.02 keV
#   Residual written to MMM1 Galena[1][4][residual].msa.
#   Plot output to 'MMM1 Galena[1][4][quantify].pdf'
# Spectrum
#   MMM1 Galena[2][all]['MMM1 Galena[2][4].msa']
# Fit warnings
#    None
# Quantification results
Name,Element,Z,A,C[z],U[C[z]],N[z]],U[N[z]],A[z],U[A[z]]
MMM1 Galena[2][all],S,16,32.06,0.12413,0.00031,0.12324,0.00032,0.47600,0.00075
MMM1 Galena[2][all],Pb,82,207.2,0.88312,0.00146,0.87676,0.00032,0.52400,0.00075
# Notes
#   Analytical total: 1.0073 ± 0.0015
#   Duane-Hunt: 15.06 keV
#   Residual written to MMM1 Galena[2][4][residual].msa.
#   Plot output to 'MMM1 Galena[2][4][quantify].pdf'
# Spectrum
#   MMM1 Galena[3][all]['MMM1 Galena[3][4].msa']
# Fit warnings
#    None
# Quantification results
Name,Element,Z,A,C[z],U[C[z]],N[z]],U[N[z]],A[z],U[A[z]]
MMM1 Galena[3][all],S,16,32.06,0.12379,0.00031,0.12304,0.00032,0.47554,0.00075
MMM1 Galena[3][all],Pb,82,207.2,0.88237,0.00146,0.87696,0.00032,0.52446,0.00075
# Notes
#   Analytical total: 1.0062 ± 0.0015
#   Duane-Hunt: 15.00 keV
#   Residual written to MMM1 Galena[3][4][residual].msa.
#   Plot output to 'MMM1 Galena[3][4][quantify].pdf'
# Spectrum
#   MMM1 Galena[4][all]['MMM1 Galena[4][4].msa']
# Fit warnings
#    None
# Quantification results
Name,Element,Z,A,C[z],U[C[z]],N[z]],U[N[z]],A[z],U[A[z]]
MMM1 Galena[4][all],S,16,32.06,0.12386,0.00031,0.12296,0.00032,0.47536,0.00075
MMM1 Galena[4][all],Pb,82,207.2,0.88348,0.00146,0.87704,0.00032,0.52464,0.00075
# Notes
#   Analytical total: 1.0073 ± 0.0015
#   Duane-Hunt: 15.06 keV
#   Residual written to MMM1 Galena[4][4][residual].msa.
#   Plot output to 'MMM1 Galena[4][4][quantify].pdf'
# Spectrum
#   MMM1 Galena[5][all]['MMM1 Galena[5][4].msa']
# Fit warnings
#    None
# Quantification results
Name,Element,Z,A,C[z],U[C[z]],N[z]],U[N[z]],A[z],U[A[z]]
MMM1 Galena[5][all],S,16,32.06,0.12432,0.00031,0.12324,0.00032,0.47600,0.00075
MMM1 Galena[5][all],Pb,82,207.2,0.88445,0.00146,0.87676,0.00032,0.52400,0.00075
# Notes
#   Analytical total: 1.0088 ± 0.0015
#   Duane-Hunt: 15.02 keV
#   Residual written to MMM1 Galena[5][4][residual].msa.
#   Plot output to 'MMM1 Galena[5][4][quantify].pdf'
# Spectrum
#   MMM1 Galena[6][all]['MMM1 Galena[6][4].msa']
# Fit warnings
#    None
# Quantification results
Name,Element,Z,A,C[z],U[C[z]],N[z]],U[N[z]],A[z],U[A[z]]
MMM1 Galena[6][all],S,16,32.06,0.12442,0.00031,0.12361,0.00032,0.47687,0.00075
MMM1 Galena[6][all],Pb,82,207.2,0.88212,0.00146,0.87639,0.00032,0.52313,0.00075
# Notes
#   Analytical total: 1.0065 ± 0.0015
#   Duane-Hunt: 15.00 keV
#   Residual written to MMM1 Galena[6][4][residual].msa.
#   Plot output to 'MMM1 Galena[6][4][quantify].pdf'
# Spectrum
#   MMM1 Galena[7][all]['MMM1 Galena[7][4].msa']
# Fit warnings
#    None
# Quantification results
Name,Element,Z,A,C[z],U[C[z]],N[z]],U[N[z]],A[z],U[A[z]]
MMM1 Galena[7][all],S,16,32.06,0.12391,0.00031,0.12298,0.00032,0.47541,0.00075
MMM1 Galena[7][all],Pb,82,207.2,0.88364,0.00146,0.87702,0.00032,0.52459,0.00075
# Notes
#   Analytical total: 1.0075 ± 0.0015
#   Duane-Hunt: 15.02 keV
#   Residual written to MMM1 Galena[7][4][residual].msa.
#   Plot output to 'MMM1 Galena[7][4][quantify].pdf'
# Result Comparison
Name,S,Pb,Σ
MMM1 Galena[0][all],0.12453 ± 0.00031,0.8862 ± 0.0015,1.0107 ± 0.0015
MMM1 Galena[1][all],0.12420 ± 0.00031,0.8838 ± 0.0015,1.0080 ± 0.0015
MMM1 Galena[2][all],0.12413 ± 0.00031,0.8831 ± 0.0015,1.0073 ± 0.0015
MMM1 Galena[3][all],0.12379 ± 0.00031,0.8824 ± 0.0015,1.0062 ± 0.0015
MMM1 Galena[4][all],0.12386 ± 0.00031,0.8835 ± 0.0015,1.0073 ± 0.0015
MMM1 Galena[5][all],0.12432 ± 0.00031,0.8845 ± 0.0015,1.0088 ± 0.0015
MMM1 Galena[6][all],0.12442 ± 0.00031,0.8821 ± 0.0015,1.0065 ± 0.0015
MMM1 Galena[7][all],0.12391 ± 0.00031,0.8836 ± 0.0015,1.0075 ± 0.0015
Mean,0.12414 ± 0.00027,0.8837 ± 0.0013,1.0078 ± 0.0014
Nominal,0.1351,0.8634,1
RDEV (%),-8.1,2.3,0.8
