# Configuration
#   Username: nwmr
#   Timestamp: 2025-10-02 14:38:24.672815488 -04:00
#   Application: spex v0.0.117
#   References: `N132962 15 keV` revision 476 - 2025-10-02 13:33:55 -04:00
# Configuration warnings
#    None
# Spectrum
#   MMM1 Hematite[0][all]['MMM1 Hematite[0][4].msa']
# Fit warnings
#    None
# Quantification results
Name,Element,Z,A,C[z],U[C[z]],N[z]],U[N[z]],A[z],U[A[z]]
MMM1 Hematite[0][all],O,8,15.999,0.29537,0.01634,0.29910,0.01160,0.59832,0.01330
MMM1 Hematite[0][all],Fe,26,55.845,0.69214,0.00029,0.70090,0.01160,0.40168,0.01330
# Notes
#   Analytical total: 0.988 ± 0.016
#   Duane-Hunt: 14.95 keV
#   Residual written to MMM1 Hematite[0][4][residual].msa.
#   Plot output to 'MMM1 Hematite[0][4][quantify].pdf'
# Spectrum
#   MMM1 Hematite[1][all]['MMM1 Hematite[1][4].msa']
# Fit warnings
#    None
# Quantification results
Name,Element,Z,A,C[z],U[C[z]],N[z]],U[N[z]],A[z],U[A[z]]
MMM1 Hematite[1][all],O,8,15.999,0.29539,0.01632,0.29946,0.01159,0.59873,0.01328
MMM1 Hematite[1][all],Fe,26,55.845,0.69104,0.00029,0.70054,0.01159,0.40127,0.01328
# Notes
#   Analytical total: 0.986 ± 0.016
#   Duane-Hunt: 15.05 keV
#   Residual written to MMM1 Hematite[1][4][residual].msa.
#   Plot output to 'MMM1 Hematite[1][4][quantify].pdf'
# Spectrum
#   MMM1 Hematite[2][all]['MMM1 Hematite[2][4].msa']
# Fit warnings
#    None
# Quantification results
Name,Element,Z,A,C[z],U[C[z]],N[z]],U[N[z]],A[z],U[A[z]]
MMM1 Hematite[2][all],O,8,15.999,0.29566,0.01637,0.29918,0.01161,0.59841,0.01331
MMM1 Hematite[2][all],Fe,26,55.845,0.69258,0.00029,0.70082,0.01161,0.40159,0.01331
# Notes
#   Analytical total: 0.988 ± 0.016
#   Duane-Hunt: 14.97 keV
#   Residual written to MMM1 Hematite[2][4][residual].msa.
#   Plot output to 'MMM1 Hematite[2][4][quantify].pdf'
# Spectrum
#   MMM1 Hematite[3][all]['MMM1 Hematite[3][4].msa']
# Fit warnings
#    None
# Quantification results
Name,Element,Z,A,C[z],U[C[z]],N[z]],U[N[z]],A[z],U[A[z]]
MMM1 Hematite[3][all],O,8,15.999,0.29491,0.01630,0.29897,0.01159,0.59817,0.01329
MMM1 Hematite[3][all],Fe,26,55.845,0.69150,0.00029,0.70103,0.01159,0.40183,0.01329
# Notes
#   Analytical total: 0.986 ± 0.016
#   Duane-Hunt: 14.98 keV
#   Residual written to MMM1 Hematite[3][4][residual].msa.
#   Plot output to 'MMM1 Hematite[3][4][quantify].pdf'
# Spectrum
