# Configuration
#   Username: nwmr
#   Timestamp: 2025-10-02 14:38:24.997875858 -04:00
#   Application: spex v0.0.117
#   References: `N132962 15 keV` revision 476 - 2025-10-02 13:33:55 -04:00
# Configuration warnings
#    None
# Spectrum
#   MMM1 Jadeite[0][all]['MMM1 Jadeite[0][4].msa']
# Fit warnings
#   Removing Mg from the fit and re-fitting (threshold = 0.0σ).
#   The k-ratio '[Fe L₃-M₅ + 13 others] = -0.00043 ± 0.00012' is more than 3σ negative.
# Quantification results
Name,Element,Z,A,C[z],U[C[z]],N[z]],U[N[z]],A[z],U[A[z]]
MMM1 Jadeite[0][all],O,8,15.999,0.46349,0.03031,0.46430,0.01627,0.59030,0.01582
MMM1 Jadeite[0][all],Na,11,22.98976928,0.11278,0.00031,0.11298,0.00344,0.09996,0.00387
MMM1 Jadeite[0][all],Mg,12,24.305,0.00000,0.00004,0.00000,0.00004,0.00000,0.00003
MMM1 Jadeite[0][all],Al,13,26.9815384,0.13378,0.00035,0.13402,0.00408,0.10103,0.00391
MMM1 Jadeite[0][all],Si,14,28.085,0.28686,0.00061,0.28737,0.00874,0.20813,0.00804
MMM1 Jadeite[0][all],Ca,20,40.078,0.00067,0.00003,0.00067,0.00003,0.00034,0.00002
MMM1 Jadeite[0][all],Fe,26,55.845,0.00067,0.00005,0.00067,0.00005,0.00024,0.00002
# Notes
#   Analytical total: 0.998 ± 0.030
#   Duane-Hunt: 15.20 keV
#   Residual written to MMM1 Jadeite[0][4][residual].msa.
#   Plot output to 'MMM1 Jadeite[0][4][quantify].pdf'
# Spectrum
#   MMM1 Jadeite[1][all]['MMM1 Jadeite[1][4].msa']
# Fit warnings
#   Removing Mg from the fit and re-fitting (threshold = 0.0σ).
#   The k-ratio '[Fe L₃-M₅ + 13 others] = -0.00086 ± 0.00012' is more than 3σ negative.
# Quantification results
Name,Element,Z,A,C[z],U[C[z]],N[z]],U[N[z]],A[z],U[A[z]]
MMM1 Jadeite[1][all],O,8,15.999,0.46454,0.03039,0.46461,0.01628,0.59061,0.01582
MMM1 Jadeite[1][all],Na,11,22.98976928,0.11297,0.00031,0.11299,0.00345,0.09996,0.00387
MMM1 Jadeite[1][all],Mg,12,24.305,0.00000,0.00004,0.00000,0.00004,0.00000,0.00003
MMM1 Jadeite[1][all],Al,13,26.9815384,0.13385,0.00035,0.13388,0.00408,0.10091,0.00391
MMM1 Jadeite[1][all],Si,14,28.085,0.28707,0.00061,0.28712,0.00874,0.20792,0.00804
MMM1 Jadeite[1][all],Ca,20,40.078,0.00068,0.00003,0.00068,0.00003,0.00034,0.00002
MMM1 Jadeite[1][all],Fe,26,55.845,0.00072,0.00005,0.00072,0.00005,0.00026,0.00002
# Notes
#   Analytical total: 1.000 ± 0.030
#   Duane-Hunt: 15.20 keV
#   Residual written to MMM1 Jadeite[1][4][residual].msa.
#   Plot output to 'MMM1 Jadeite[1][4][quantify].pdf'
# Spectrum
#   MMM1 Jadeite[2][all]['MMM1 Jadeite[2][4].msa']
# Fit warnings
#   The k-ratio '[Fe L₃-M₅ + 13 others] = -0.00077 ± 0.00012' is more than 3σ negative.
# Quantification results
Name,Element,Z,A,C[z],U[C[z]],N[z]],U[N[z]],A[z],U[A[z]]
MMM1 Jadeite[2][all],O,8,15.999,0.46492,0.03042,0.46434,0.01628,0.59019,0.01583
MMM1 Jadeite[2][all],Na,11,22.98976928,0.11388,0.00031,0.11373,0.00347,0.10060,0.00389
MMM1 Jadeite[2][all],Mg,12,24.305,0.00002,0.00003,0.00002,0.00003,0.00001,0.00002
MMM1 Jadeite[2][all],Al,13,26.9815384,0.13422,0.00036,0.13405,0.00409,0.10103,0.00391
MMM1 Jadeite[2][all],Si,14,28.085,0.28735,0.00061,0.28700,0.00873,0.20780,0.00803
MMM1 Jadeite[2][all],Ca,20,40.078,0.00031,0.00003,0.00031,0.00003,0.00016,0.00001
MMM1 Jadeite[2][all],Fe,26,55.845,0.00056,0.00005,0.00056,0.00005,0.00020,0.00002
# Notes
#   Analytical total: 1.001 ± 0.030
#   Duane-Hunt: 15.20 keV
#   Residual written to MMM1 Jadeite[2][4][residual].msa.
#   Plot output to 'MMM1 Jadeite[2][4][quantify].pdf'
# Spectrum
#   MMM1 Jadeite[3][all]['MMM1 Jadeite[3][4].msa']
# Fit warnings
#    None
# Quantification results
Name,Element,Z,A,C[z],U[C[z]],N[z]],U[N[z]],A[z],U[A[z]]
MMM1 Jadeite[3][all],O,8,15.999,0.46305,0.03032,0.46358,0.01629,0.59012,0.01584
MMM1 Jadeite[3][all],Na,11,22.98976928,0.11180,0.00030,0.11193,0.00341,0.09916,0.00384
MMM1 Jadeite[3][all],Mg,12,24.305,0.00173,0.00003,0.00173,0.00006,0.00145,0.00006
MMM1 Jadeite[3][all],Al,13,26.9815384,0.13136,0.00035,0.13152,0.00400,0.09927,0.00384
MMM1 Jadeite[3][all],Si,14,28.085,0.28647,0.00061,0.28680,0.00872,0.20797,0.00804
MMM1 Jadeite[3][all],Ca,20,40.078,0.00289,0.00003,0.00290,0.00009,0.00147,0.00006
MMM1 Jadeite[3][all],Fe,26,55.845,0.00154,0.00005,0.00155,0.00007,0.00056,0.00003
# Notes
#   Analytical total: 0.999 ± 0.030
#   Duane-Hunt: 15.20 keV
#   Residual written to MMM1 Jadeite[3][4][residual].msa.
#   Plot output to 'MMM1 Jadeite[3][4][quantify].pdf'
# Spectrum
#   MMM1 Jadeite[4][all]['MMM1 Jadeite[4][4].msa']
# Fit warnings
#    None
# Quantification results
Name,Element,Z,A,C[z],U[C[z]],N[z]],U[N[z]],A[z],U[A[z]]
MMM1 Jadeite[4][all],O,8,15.999,0.46430,0.03038,0.46483,0.01628,0.59081,0.01582
MMM1 Jadeite[4][all],Na,11,22.98976928,0.11272,0.00031,0.11285,0.00344,0.09982,0.00387
MMM1 Jadeite[4][all],Mg,12,24.305,0.00012,0.00003,0.00012,0.00003,0.00010,0.00002
MMM1 Jadeite[4][all],Al,13,26.9815384,0.13341,0.00035,0.13356,0.00408,0.10066,0.00390
MMM1 Jadeite[4][all],Si,14,28.085,0.28695,0.00061,0.28728,0.00875,0.20801,0.00805
MMM1 Jadeite[4][all],Ca,20,40.078,0.00078,0.00003,0.00078,0.00004,0.00040,0.00002
MMM1 Jadeite[4][all],Fe,26,55.845,0.00058,0.00005,0.00058,0.00005,0.00021,0.00002
# Notes
#   Analytical total: 0.999 ± 0.030
#   Duane-Hunt: 15.20 keV
#   Residual written to MMM1 Jadeite[4][4][residual].msa.
#   Plot output to 'MMM1 Jadeite[4][4][quantify].pdf'
# Spectrum
#   MMM1 Jadeite[5][all]['MMM1 Jadeite[5][4].msa']
# Fit warnings
#   The k-ratio '[Fe L₃-M₅ + 13 others] = -0.00046 ± 0.00012' is more than 3σ negative.
# Quantification results
Name,Element,Z,A,C[z],U[C[z]],N[z]],U[N[z]],A[z],U[A[z]]
MMM1 Jadeite[5][all],O,8,15.999,0.46459,0.03041,0.46443,0.01628,0.59043,0.01583
MMM1 Jadeite[5][all],Na,11,22.98976928,0.11315,0.00031,0.11312,0.00345,0.10008,0.00388
MMM1 Jadeite[5][all],Mg,12,24.305,0.00009,0.00003,0.00009,0.00003,0.00008,0.00002
MMM1 Jadeite[5][all],Al,13,26.9815384,0.13378,0.00035,0.13374,0.00408,0.10082,0.00390
MMM1 Jadeite[5][all],Si,14,28.085,0.28729,0.00061,0.28719,0.00874,0.20799,0.00805
MMM1 Jadeite[5][all],Ca,20,40.078,0.00056,0.00003,0.00056,0.00003,0.00029,0.00002
MMM1 Jadeite[5][all],Fe,26,55.845,0.00087,0.00005,0.00087,0.00005,0.00032,0.00002
# Notes
#   Analytical total: 1.000 ± 0.030
#   Duane-Hunt: 15.15 keV
#   Residual written to MMM1 Jadeite[5][4][residual].msa.
#   Plot output to 'MMM1 Jadeite[5][4][quantify].pdf'
# Spectrum
#   MMM1 Jadeite[6][all]['MMM1 Jadeite[6][4].msa']
# Fit warnings
#   The k-ratio '[Fe L₃-M₅ + 13 others] = -0.00038 ± 0.00012' is more than 3σ negative.
# Quantification results
Name,Element,Z,A,C[z],U[C[z]],N[z]],U[N[z]],A[z],U[A[z]]
MMM1 Jadeite[6][all],O,8,15.999,0.46328,0.03029,0.46432,0.01627,0.59032,0.01581
MMM1 Jadeite[6][all],Na,11,22.98976928,0.11288,0.00031,0.11314,0.00345,0.10010,0.00387
MMM1 Jadeite[6][all],Mg,12,24.305,0.00017,0.00003,0.00018,0.00003,0.00015,0.00002
MMM1 Jadeite[6][all],Al,13,26.9815384,0.13351,0.00035,0.13381,0.00407,0.10087,0.00390
MMM1 Jadeite[6][all],Si,14,28.085,0.28643,0.00061,0.28708,0.00873,0.20792,0.00803
MMM1 Jadeite[6][all],Ca,20,40.078,0.00070,0.00003,0.00071,0.00003,0.00036,0.00002
