# Configuration
#   Username: Nicholas W. M. Ritchie
#   Timestamp: 2025-10-23 13:27:50
#   Application: spex version 0.0.121
#   References: `N132962 15 keV` revision 199 - 2025-10-23 13:24:40 -04:00
# Configuration warnings
#   The Duane-Hunt (14.66 keV) for KCl standard for 'N132962' detector differs by more than 1 % from the beam energy (15.00 keV)!!
#   There are no suitable references for [K L₃-M₁ and 8 others; 0.8241>.
# Spectrum
#   MMM1 Kaersutite[0][all]['MMM1 Kaersutite[0][4].msa']
# Fit warnings
#   Removing F from the fit and re-fitting (threshold = 0.0σ).
#   The k-ratio '[Mn L₃-M₅ + 13 others] = -0.01051 ± 0.00041' is more than 3σ negative.
# Quantification results
Name,Element,Z,A,C[z],U[C[z]],N[z],U[N[z]],A[z],U[A[z]]
MMM1 Kaersutite[0][all],O,8,15.999,0.42770,0.03332,0.42708,0.01906,0.59851,0.01872
MMM1 Kaersutite[0][all],F,9,18.998403163,0.00000,0.00027,0.00000,0.00027,0.00000,0.00032
MMM1 Kaersutite[0][all],Na,11,22.98976928,0.01825,0.00014,0.01822,0.00062,0.01777,0.00084
MMM1 Kaersutite[0][all],Mg,12,24.305,0.07601,0.00014,0.07590,0.00253,0.07002,0.00327
MMM1 Kaersutite[0][all],Al,13,26.9815384,0.06886,0.00018,0.06876,0.00229,0.05714,0.00267
MMM1 Kaersutite[0][all],Si,14,28.085,0.19061,0.00036,0.19034,0.00634,0.15195,0.00709
MMM1 Kaersutite[0][all],K,19,39.0983,0.00880,0.00004,0.00879,0.00029,0.00504,0.00024
MMM1 Kaersutite[0][all],Ca,20,40.078,0.08078,0.00008,0.08067,0.00269,0.04513,0.00210
MMM1 Kaersutite[0][all],Ti,22,47.867,0.03210,0.00006,0.03205,0.00107,0.01501,0.00070
MMM1 Kaersutite[0][all],Mn,25,54.938043,0.00139,0.00005,0.00139,0.00007,0.00057,0.00003
MMM1 Kaersutite[0][all],Fe,26,55.845,0.09694,0.00012,0.09680,0.00322,0.03886,0.00181
# Notes
#   Analytical total: 1.001 ± 0.033
#   Duane-Hunt: 15.19 keV
#   Residual written to MMM1 Kaersutite[0][4][residual].msa.
#   Plot output to 'MMM1 Kaersutite[0][4][quantify].pdf'
# Spectrum
