# Configuration
#   Username: nwmr
#   Timestamp: 2025-10-02 14:38:25.725005638 -04:00
#   Application: spex v0.0.117
#   References: `N132962 15 keV` revision 476 - 2025-10-02 13:33:55 -04:00
# Configuration warnings
#    None
# Spectrum
#   MMM1 Kyanite[0][all]['MMM1 Kyanite[0][4].msa']
# Fit warnings
#    None
# Quantification results
Name,Element,Z,A,C[z],U[C[z]],N[z]],U[N[z]],A[z],U[A[z]]
MMM1 Kyanite[0][all],O,8,15.999,0.48451,0.01808,0.48317,0.00933,0.61517,0.00884
MMM1 Kyanite[0][all],Al,13,26.9815384,0.33728,0.00083,0.33635,0.00609,0.25393,0.00585
MMM1 Kyanite[0][all],Si,14,28.085,0.18097,0.00062,0.18048,0.00330,0.13090,0.00303
# Notes
#   Analytical total: 1.003 ± 0.018
#   Duane-Hunt: 15.05 keV
#   Residual written to MMM1 Kyanite[0][4][residual].msa.
#   Plot output to 'MMM1 Kyanite[0][4][quantify].pdf'
# Spectrum
#   MMM1 Kyanite[1][all]['MMM1 Kyanite[1][4].msa']
# Fit warnings
#    None
# Quantification results
Name,Element,Z,A,C[z],U[C[z]],N[z]],U[N[z]],A[z],U[A[z]]
MMM1 Kyanite[1][all],O,8,15.999,0.48147,0.01799,0.48245,0.00934,0.61449,0.00887
MMM1 Kyanite[1][all],Al,13,26.9815384,0.33588,0.00082,0.33657,0.00610,0.25419,0.00586
MMM1 Kyanite[1][all],Si,14,28.085,0.18061,0.00062,0.18098,0.00331,0.13132,0.00304
# Notes
#   Analytical total: 0.998 ± 0.018
#   Duane-Hunt: 15.12 keV
#   Residual written to MMM1 Kyanite[1][4][residual].msa.
#   Plot output to 'MMM1 Kyanite[1][4][quantify].pdf'
# Spectrum
#   MMM1 Kyanite[2][all]['MMM1 Kyanite[2][4].msa']
# Fit warnings
#    None
# Quantification results
Name,Element,Z,A,C[z],U[C[z]],N[z]],U[N[z]],A[z],U[A[z]]
MMM1 Kyanite[2][all],O,8,15.999,0.48292,0.01800,0.48236,0.00932,0.61440,0.00884
MMM1 Kyanite[2][all],Al,13,26.9815384,0.33746,0.00083,0.33707,0.00609,0.25458,0.00585
MMM1 Kyanite[2][all],Si,14,28.085,0.18078,0.00062,0.18057,0.00329,0.13102,0.00303
# Notes
#   Analytical total: 1.001 ± 0.018
#   Duane-Hunt: 15.20 keV
#   Residual written to MMM1 Kyanite[2][4][residual].msa.
#   Plot output to 'MMM1 Kyanite[2][4][quantify].pdf'
# Spectrum
#   MMM1 Kyanite[3][all]['MMM1 Kyanite[3][4].msa']
# Fit warnings
#    None
# Quantification results
Name,Element,Z,A,C[z],U[C[z]],N[z]],U[N[z]],A[z],U[A[z]]
MMM1 Kyanite[3][all],O,8,15.999,0.48263,0.01801,0.48291,0.00933,0.61492,0.00885
MMM1 Kyanite[3][all],Al,13,26.9815384,0.33637,0.00082,0.33655,0.00609,0.25412,0.00585
MMM1 Kyanite[3][all],Si,14,28.085,0.18044,0.00062,0.18054,0.00330,0.13096,0.00303
# Notes
#   Analytical total: 0.999 ± 0.018
#   Duane-Hunt: 15.08 keV
