# Configuration
#   Username: Nicholas W. M. Ritchie
#   Timestamp: 2025-10-23 13:31:24
#   Application: spex version 0.0.121
#   References: `N132962 15 keV` revision 199 - 2025-10-23 13:24:40 -04:00
# Configuration warnings
#    None
# Spectrum
#   MMM2 Manganotantalite[0][all]['MMM2 Manganotantalite[0][4].msa']
# Fit warnings
#   The k-ratio '[Nb L₁-L₃ + 1 other] = -0.0237 ± 0.0053' is more than 3σ negative.
# Quantification results
Name,Element,Z,A,C[z],U[C[z]],N[z],U[N[z]],A[z],U[A[z]]
MMM2 Manganotantalite[0][all],O,8,15.999,0.14777,0.01288,0.16018,0.01177,0.58089,0.02134
MMM2 Manganotantalite[0][all],Ti,22,47.867,0.00304,0.00005,0.00330,0.00007,0.00400,0.00021
MMM2 Manganotantalite[0][all],Mn,25,54.938043,0.10428,0.00012,0.11304,0.00172,0.11938,0.00606
MMM2 Manganotantalite[0][all],Fe,26,55.845,0.02263,0.00009,0.02453,0.00039,0.02549,0.00130
MMM2 Manganotantalite[0][all],Nb,41,92.90637,0.14003,0.00553,0.15180,0.00551,0.09480,0.00588
MMM2 Manganotantalite[0][all],Ta,73,180.94788,0.50475,0.00068,0.54715,0.00832,0.17544,0.00891
# Notes
#   Analytical total: 0.923 ± 0.014
#   Duane-Hunt: 15.02 keV
#   Residual written to MMM2 Manganotantalite[0][4][residual].msa.
#   Plot output to 'MMM2 Manganotantalite[0][4][quantify].pdf'
# Spectrum
#   MMM2 Manganotantalite[1][all]['MMM2 Manganotantalite[1][4].msa']
# Fit warnings
#    None
# Quantification results
Name,Element,Z,A,C[z],U[C[z]],N[z],U[N[z]],A[z],U[A[z]]
MMM2 Manganotantalite[1][all],O,8,15.999,0.14898,0.01300,0.16099,0.01182,0.58220,0.02133
MMM2 Manganotantalite[1][all],Ti,22,47.867,0.00338,0.00005,0.00365,0.00008,0.00441,0.00023
MMM2 Manganotantalite[1][all],Mn,25,54.938043,0.10436,0.00012,0.11277,0.00173,0.11876,0.00605
MMM2 Manganotantalite[1][all],Fe,26,55.845,0.02297,0.00009,0.02482,0.00039,0.02572,0.00131
MMM2 Manganotantalite[1][all],Nb,41,92.90637,0.13987,0.00553,0.15115,0.00550,0.09413,0.00585
MMM2 Manganotantalite[1][all],Ta,73,180.94788,0.50584,0.00068,0.54662,0.00835,0.17478,0.00890
# Notes
#   Analytical total: 0.925 ± 0.014
#   Duane-Hunt: 15.06 keV
#   Residual written to MMM2 Manganotantalite[1][4][residual].msa.
#   Plot output to 'MMM2 Manganotantalite[1][4][quantify].pdf'
# Spectrum
#   MMM2 Manganotantalite[2][all]['MMM2 Manganotantalite[2][4].msa']
# Fit warnings
#   The k-ratio '[Nb L₁-L₃ + 1 other] = -0.0325 ± 0.0053' is more than 3σ negative.
# Quantification results
Name,Element,Z,A,C[z],U[C[z]],N[z],U[N[z]],A[z],U[A[z]]
MMM2 Manganotantalite[2][all],O,8,15.999,0.14352,0.01247,0.15681,0.01153,0.57418,0.02136
MMM2 Manganotantalite[2][all],Ti,22,47.867,0.00317,0.00005,0.00347,0.00007,0.00424,0.00022
MMM2 Manganotantalite[2][all],Mn,25,54.938043,0.10421,0.00012,0.11385,0.00170,0.12141,0.00608
MMM2 Manganotantalite[2][all],Fe,26,55.845,0.02276,0.00009,0.02487,0.00038,0.02609,0.00131
MMM2 Manganotantalite[2][all],Nb,41,92.90637,0.14061,0.00551,0.15363,0.00551,0.09687,0.00593
MMM2 Manganotantalite[2][all],Ta,73,180.94788,0.50098,0.00068,0.54737,0.00816,0.17721,0.00887
# Notes
#   Analytical total: 0.915 ± 0.014
#   Duane-Hunt: 15.00 keV
#   Residual written to MMM2 Manganotantalite[2][4][residual].msa.
#   Plot output to 'MMM2 Manganotantalite[2][4][quantify].pdf'
# Spectrum
#   MMM2 Manganotantalite[3][all]['MMM2 Manganotantalite[3][4].msa']
# Fit warnings
#   The k-ratio '[Nb L₁-L₃ + 1 other] = -0.0381 ± 0.0054' is more than 3σ negative.
# Quantification results
Name,Element,Z,A,C[z],U[C[z]],N[z],U[N[z]],A[z],U[A[z]]
MMM2 Manganotantalite[3][all],O,8,15.999,0.14664,0.01282,0.15916,0.01174,0.57843,0.02143
MMM2 Manganotantalite[3][all],Ti,22,47.867,0.00312,0.00005,0.00339,0.00007,0.00412,0.00022
