# Configuration
#   Username: Nicholas W. M. Ritchie
#   Timestamp: 2025-10-23 13:31:24
#   Application: spex version 0.0.121
#   References: `N132962 15 keV` revision 199 - 2025-10-23 13:24:40 -04:00
# Configuration warnings
#    None
# Spectrum
#   MMM2 Olivine[0][all]['MMM2 Olivine[0][4].msa']
# Fit warnings
#   The k-ratio '[Mn L₃-M₅ + 13 others] = -0.01245 ± 0.00043' is more than 3σ negative.
# Quantification results
Name,Element,Z,A,C[z],U[C[z]],N[z],U[N[z]],A[z],U[A[z]]
MMM2 Olivine[0][all],O,8,15.999,0.43594,0.01860,0.42893,0.01046,0.56333,0.01050
MMM2 Olivine[0][all],Mg,12,24.305,0.30883,0.00042,0.30387,0.00557,0.26270,0.00632
MMM2 Olivine[0][all],Si,14,28.085,0.20083,0.00056,0.19760,0.00365,0.14784,0.00357
MMM2 Olivine[0][all],Mn,25,54.938043,0.00104,0.00005,0.00102,0.00005,0.00039,0.00002
MMM2 Olivine[0][all],Fe,26,55.845,0.06664,0.00010,0.06557,0.00120,0.02467,0.00059
MMM2 Olivine[0][all],Ni,28,58.6934,0.00305,0.00007,0.00300,0.00009,0.00107,0.00003
# Notes
#   Analytical total: 1.016 ± 0.019
#   Duane-Hunt: 15.19 keV
#   Residual written to MMM2 Olivine[0][4][residual].msa.
#   Plot output to 'MMM2 Olivine[0][4][quantify].pdf'
# Spectrum
#   MMM2 Olivine[1][all]['MMM2 Olivine[1][4].msa']
# Fit warnings
#   The k-ratio '[Mn L₃-M₅ + 13 others] = -0.01275 ± 0.00043' is more than 3σ negative.
# Quantification results
Name,Element,Z,A,C[z],U[C[z]],N[z],U[N[z]],A[z],U[A[z]]
MMM2 Olivine[1][all],O,8,15.999,0.43579,0.01862,0.42846,0.01047,0.56292,0.01052
MMM2 Olivine[1][all],Mg,12,24.305,0.30901,0.00043,0.30381,0.00557,0.26275,0.00633
MMM2 Olivine[1][all],Si,14,28.085,0.20123,0.00056,0.19785,0.00365,0.14808,0.00358
MMM2 Olivine[1][all],Mn,25,54.938043,0.00100,0.00005,0.00098,0.00005,0.00037,0.00002
MMM2 Olivine[1][all],Fe,26,55.845,0.06712,0.00010,0.06599,0.00121,0.02484,0.00060
MMM2 Olivine[1][all],Ni,28,58.6934,0.00296,0.00007,0.00291,0.00008,0.00104,0.00003
# Notes
#   Analytical total: 1.017 ± 0.019
#   Duane-Hunt: 15.19 keV
#   Residual written to MMM2 Olivine[1][4][residual].msa.
#   Plot output to 'MMM2 Olivine[1][4][quantify].pdf'
# Spectrum
#   MMM2 Olivine[2][all]['MMM2 Olivine[2][4].msa']
# Fit warnings
#   The k-ratio '[Mn L₃-M₅ + 13 others] = -0.01076 ± 0.00042' is more than 3σ negative.
# Quantification results
Name,Element,Z,A,C[z],U[C[z]],N[z],U[N[z]],A[z],U[A[z]]
MMM2 Olivine[2][all],O,8,15.999,0.43490,0.01855,0.42792,0.01045,0.56250,0.01050
MMM2 Olivine[2][all],Mg,12,24.305,0.30901,0.00043,0.30405,0.00556,0.26309,0.00632
MMM2 Olivine[2][all],Si,14,28.085,0.20073,0.00056,0.19751,0.00363,0.14790,0.00357
