# Configuration
#   Username: nwmr
#   Timestamp: 2025-10-02 18:15:34.485924043 -04:00
#   Application: spex v0.0.117
#   References: `N132962 15 keV` revision 476 - 2025-10-02 13:33:55 -04:00
# Configuration warnings
#   The Duane-Hunt (14.66 keV) for KCl standard for 'N132962' detector differs by more than 1 % from the beam energy (15.00 keV)!!
#   There are no suitable references for [K L₃-M₁ and 8 others; 0.8241>.
# Spectrum
#   MMM2 Orthoclaise[0][all]['MMM2 Orthoclaise[0][4].msa']
# Fit warnings
#    None
# Quantification results
Name,Element,Z,A,C[z],U[C[z]],N[z]],U[N[z]],A[z],U[A[z]]
MMM2 Orthoclaise[0][all],O,8,15.999,0.45851,0.03631,0.44943,0.01960,0.60987,0.01884
MMM2 Orthoclaise[0][all],Na,11,22.98976928,0.00228,0.00003,0.00223,0.00009,0.00211,0.00011
MMM2 Orthoclaise[0][all],Al,13,26.9815384,0.08489,0.00022,0.08321,0.00297,0.06695,0.00324
MMM2 Orthoclaise[0][all],Si,14,28.085,0.30977,0.00056,0.30363,0.01081,0.23472,0.01134
MMM2 Orthoclaise[0][all],K,19,39.0983,0.14483,0.00014,0.14196,0.00505,0.07883,0.00381
MMM2 Orthoclaise[0][all],Fe,26,55.845,0.01963,0.00007,0.01924,0.00069,0.00748,0.00036
MMM2 Orthoclaise[0][all],Ba,56,137.327,0.00031,0.00009,0.00030,0.00008,0.00005,0.00001
# Notes
#   Analytical total: 1.020 ± 0.036
#   Duane-Hunt: 15.20 keV
#   Residual written to MMM2 Orthoclaise[0][4][residual].msa.
#   Plot output to 'MMM2 Orthoclaise[0][4][quantify].pdf'
# Spectrum
#   MMM2 Orthoclaise[1][all]['MMM2 Orthoclaise[1][4].msa']
# Fit warnings
#    None
# Quantification results
Name,Element,Z,A,C[z],U[C[z]],N[z]],U[N[z]],A[z],U[A[z]]
MMM2 Orthoclaise[1][all],O,8,15.999,0.45805,0.03624,0.44914,0.01958,0.60974,0.01883
MMM2 Orthoclaise[1][all],Na,11,22.98976928,0.00240,0.00003,0.00235,0.00009,0.00222,0.00011
MMM2 Orthoclaise[1][all],Al,13,26.9815384,0.08499,0.00022,0.08333,0.00297,0.06708,0.00324
MMM2 Orthoclaise[1][all],Si,14,28.085,0.30916,0.00056,0.30315,0.01078,0.23444,0.01131
MMM2 Orthoclaise[1][all],K,19,39.0983,0.14451,0.00014,0.14170,0.00504,0.07872,0.00380
MMM2 Orthoclaise[1][all],Fe,26,55.845,0.02026,0.00007,0.01987,0.00071,0.00773,0.00037
MMM2 Orthoclaise[1][all],Ba,56,137.327,0.00047,0.00009,0.00047,0.00009,0.00007,0.00001
# Notes
#   Analytical total: 1.020 ± 0.036
#   Duane-Hunt: 15.14 keV
#   Residual written to MMM2 Orthoclaise[1][4][residual].msa.
#   Plot output to 'MMM2 Orthoclaise[1][4][quantify].pdf'
# Spectrum
#   MMM2 Orthoclaise[2][all]['MMM2 Orthoclaise[2][4].msa']
# Fit warnings
#    None
# Quantification results
