# Configuration
#   Username: Nicholas W. M. Ritchie
#   Timestamp: 2025-10-23 13:31:24
#   Application: spex version 0.0.121
#   References: `N132962 15 keV` revision 199 - 2025-10-23 13:24:40 -04:00
# Configuration warnings
#    None
# Spectrum
#   MMM2 Pentlandite[0][all]['MMM2 Pentlandite[0][4].msa']
# Fit warnings
#   The k-ratio '[Co L₃-M₅ + 13 others] = -0.03290 ± 0.00042' is more than 3σ negative.
# Quantification results
Name,Element,Z,A,C[z],U[C[z]],N[z],U[N[z]],A[z],U[A[z]]
MMM2 Pentlandite[0][all],S,16,32.06,0.33014,0.00051,0.32740,0.00041,0.46523,0.00046
MMM2 Pentlandite[0][all],Fe,26,55.845,0.32423,0.00022,0.32154,0.00031,0.26230,0.00027
MMM2 Pentlandite[0][all],Co,27,58.933194,0.00568,0.00011,0.00564,0.00011,0.00436,0.00008
MMM2 Pentlandite[0][all],Ni,28,58.6934,0.34831,0.00068,0.34542,0.00048,0.26811,0.00043
# Notes
#   Analytical total: 1.00837 ± 0.00089
#   Duane-Hunt: 15.05 keV
#   Residual written to MMM2 Pentlandite[0][4][residual].msa.
#   Plot output to 'MMM2 Pentlandite[0][4][quantify].pdf'
# Spectrum
#   MMM2 Pentlandite[1][all]['MMM2 Pentlandite[1][4].msa']
# Fit warnings
#   The k-ratio '[Co L₃-M₅ + 13 others] = -0.03233 ± 0.00042' is more than 3σ negative.
# Quantification results
Name,Element,Z,A,C[z],U[C[z]],N[z],U[N[z]],A[z],U[A[z]]
MMM2 Pentlandite[1][all],S,16,32.06,0.33109,0.00051,0.32745,0.00041,0.46529,0.00046
MMM2 Pentlandite[1][all],Fe,26,55.845,0.32479,0.00022,0.32121,0.00031,0.26203,0.00027
MMM2 Pentlandite[1][all],Co,27,58.933194,0.00621,0.00011,0.00614,0.00011,0.00474,0.00008
MMM2 Pentlandite[1][all],Ni,28,58.6934,0.34905,0.00069,0.34521,0.00048,0.26794,0.00043
# Notes
#   Analytical total: 1.01114 ± 0.00089
#   Duane-Hunt: 15.10 keV
#   Residual written to MMM2 Pentlandite[1][4][residual].msa.
#   Plot output to 'MMM2 Pentlandite[1][4][quantify].pdf'
# Spectrum
#   MMM2 Pentlandite[2][all]['MMM2 Pentlandite[2][4].msa']
# Fit warnings
#   The k-ratio '[Co L₃-M₅ + 13 others] = -0.03312 ± 0.00042' is more than 3σ negative.
# Quantification results
Name,Element,Z,A,C[z],U[C[z]],N[z],U[N[z]],A[z],U[A[z]]
MMM2 Pentlandite[2][all],S,16,32.06,0.33155,0.00051,0.32741,0.00041,0.46523,0.00046
MMM2 Pentlandite[2][all],Fe,26,55.845,0.32580,0.00022,0.32173,0.00031,0.26245,0.00027
MMM2 Pentlandite[2][all],Co,27,58.933194,0.00597,0.00011,0.00589,0.00011,0.00455,0.00008
MMM2 Pentlandite[2][all],Ni,28,58.6934,0.34934,0.00069,0.34497,0.00049,0.26776,0.00043
# Notes
#   Analytical total: 1.01265 ± 0.00089
#   Duane-Hunt: 15.07 keV
#   Residual written to MMM2 Pentlandite[2][4][residual].msa.
#   Plot output to 'MMM2 Pentlandite[2][4][quantify].pdf'
# Spectrum
#   MMM2 Pentlandite[3][all]['MMM2 Pentlandite[3][4].msa']
# Fit warnings
#   The k-ratio '[Co L₃-M₅ + 13 others] = -0.03251 ± 0.00042' is more than 3σ negative.
# Quantification results
Name,Element,Z,A,C[z],U[C[z]],N[z],U[N[z]],A[z],U[A[z]]
MMM2 Pentlandite[3][all],S,16,32.06,0.33070,0.00051,0.32810,0.00041,0.46604,0.00046
MMM2 Pentlandite[3][all],Fe,26,55.845,0.32316,0.00022,0.32062,0.00031,0.26144,0.00027
MMM2 Pentlandite[3][all],Co,27,58.933194,0.00574,0.00011,0.00570,0.00011,0.00440,0.00008
MMM2 Pentlandite[3][all],Ni,28,58.6934,0.34832,0.00068,0.34558,0.00048,0.26812,0.00043
# Notes
#   Analytical total: 1.00792 ± 0.00088
#   Duane-Hunt: 15.10 keV
#   Residual written to MMM2 Pentlandite[3][4][residual].msa.
#   Plot output to 'MMM2 Pentlandite[3][4][quantify].pdf'
# Spectrum
#   MMM2 Pentlandite[4][all]['MMM2 Pentlandite[4][4].msa']
# Fit warnings
#   The k-ratio '[Co L₃-M₅ + 13 others] = -0.03267 ± 0.00042' is more than 3σ negative.
# Quantification results
Name,Element,Z,A,C[z],U[C[z]],N[z],U[N[z]],A[z],U[A[z]]
MMM2 Pentlandite[4][all],S,16,32.06,0.33086,0.00051,0.32811,0.00041,0.46601,0.00046
MMM2 Pentlandite[4][all],Fe,26,55.845,0.32496,0.00022,0.32226,0.00031,0.26276,0.00027
MMM2 Pentlandite[4][all],Co,27,58.933194,0.00538,0.00011,0.00534,0.00011,0.00412,0.00008
MMM2 Pentlandite[4][all],Ni,28,58.6934,0.34717,0.00068,0.34429,0.00048,0.26710,0.00043
# Notes
#   Analytical total: 1.00837 ± 0.00088
#   Duane-Hunt: 15.04 keV
#   Residual written to MMM2 Pentlandite[4][4][residual].msa.
#   Plot output to 'MMM2 Pentlandite[4][4][quantify].pdf'
# Spectrum
#   MMM2 Pentlandite[5][all]['MMM2 Pentlandite[5][4].msa']
# Fit warnings
#   The k-ratio '[Co L₃-M₅ + 13 others] = -0.03201 ± 0.00042' is more than 3σ negative.
# Quantification results
Name,Element,Z,A,C[z],U[C[z]],N[z],U[N[z]],A[z],U[A[z]]
MMM2 Pentlandite[5][all],S,16,32.06,0.33100,0.00051,0.32748,0.00041,0.46532,0.00046
MMM2 Pentlandite[5][all],Fe,26,55.845,0.32472,0.00022,0.32126,0.00031,0.26207,0.00027
MMM2 Pentlandite[5][all],Co,27,58.933194,0.00540,0.00011,0.00534,0.00011,0.00413,0.00008
