# Configuration
#   Username: Nicholas W. M. Ritchie
#   Timestamp: 2025-10-23 13:31:24
#   Application: spex version 0.0.121
#   References: `N132962 15 keV` revision 199 - 2025-10-23 13:24:40 -04:00
# Configuration warnings
#   The Duane-Hunt (14.66 keV) for KCl standard for 'N132962' detector differs by more than 1 % from the beam energy (15.00 keV)!!
#   There are no suitable references for [K L₃-M₁ and 8 others; 0.8241>.
# Spectrum
#   MMM2 Plagioclaise[0][all]['MMM2 Plagioclaise[0][4].msa']
# Fit warnings
#    None
# Quantification results
Name,Element,Z,A,C[z],U[C[z]],N[z],U[N[z]],A[z],U[A[z]]
MMM2 Plagioclaise[0][all],O,8,15.999,0.46889,0.03124,0.46275,0.01657,0.60849,0.01588
MMM2 Plagioclaise[0][all],Na,11,22.98976928,0.03293,0.00016,0.03250,0.00101,0.02974,0.00121
MMM2 Plagioclaise[0][all],Al,13,26.9815384,0.15890,0.00040,0.15682,0.00485,0.12227,0.00497
MMM2 Plagioclaise[0][all],Si,14,28.085,0.25904,0.00057,0.25565,0.00790,0.19150,0.00777
MMM2 Plagioclaise[0][all],K,19,39.0983,0.00290,0.00003,0.00286,0.00009,0.00154,0.00006
MMM2 Plagioclaise[0][all],Ca,20,40.078,0.08729,0.00008,0.08615,0.00266,0.04522,0.00183
MMM2 Plagioclaise[0][all],Fe,26,55.845,0.00332,0.00006,0.00328,0.00011,0.00124,0.00005
# Notes
#   Analytical total: 1.013 ± 0.031
#   Duane-Hunt: 15.20 keV
#   Residual written to MMM2 Plagioclaise[0][4][residual].msa.
#   Plot output to 'MMM2 Plagioclaise[0][4][quantify].pdf'
# Spectrum
#   MMM2 Plagioclaise[1][all]['MMM2 Plagioclaise[1][4].msa']
# Fit warnings
#    None
# Quantification results
Name,Element,Z,A,C[z],U[C[z]],N[z],U[N[z]],A[z],U[A[z]]
MMM2 Plagioclaise[1][all],O,8,15.999,0.46852,0.03124,0.46281,0.01658,0.60863,0.01589
MMM2 Plagioclaise[1][all],Na,11,22.98976928,0.03280,0.00016,0.03240,0.00101,0.02965,0.00121
MMM2 Plagioclaise[1][all],Al,13,26.9815384,0.15858,0.00039,0.15664,0.00485,0.12215,0.00496
MMM2 Plagioclaise[1][all],Si,14,28.085,0.25854,0.00057,0.25539,0.00789,0.19132,0.00777
MMM2 Plagioclaise[1][all],K,19,39.0983,0.00294,0.00003,0.00291,0.00010,0.00156,0.00007
MMM2 Plagioclaise[1][all],Ca,20,40.078,0.08767,0.00008,0.08660,0.00267,0.04546,0.00185
MMM2 Plagioclaise[1][all],Fe,26,55.845,0.00328,0.00006,0.00324,0.00011,0.00122,0.00005
# Notes
#   Analytical total: 1.012 ± 0.031
#   Duane-Hunt: 15.20 keV
#   Residual written to MMM2 Plagioclaise[1][4][residual].msa.
#   Plot output to 'MMM2 Plagioclaise[1][4][quantify].pdf'
# Spectrum
#   MMM2 Plagioclaise[2][all]['MMM2 Plagioclaise[2][4].msa']
# Fit warnings
#    None
# Quantification results
Name,Element,Z,A,C[z],U[C[z]],N[z],U[N[z]],A[z],U[A[z]]
MMM2 Plagioclaise[2][all],O,8,15.999,0.46696,0.03110,0.46255,0.01656,0.60836,0.01587
