# Configuration
#   Username: Nicholas W. M. Ritchie
#   Timestamp: 2025-10-23 13:31:25
#   Application: spex version 0.0.121
#   References: `N132962 15 keV` revision 199 - 2025-10-23 13:24:40 -04:00
# Configuration warnings
#   The Duane-Hunt (14.66 keV) for KCl standard for 'N132962' detector differs by more than 1 % from the beam energy (15.00 keV)!!
#   There are no suitable references for [K L₃-M₁ and 8 others; 0.8241>.
#   There are no suitable references for [Rb L₁-L₂ and 1 others; 0.0007>.
#   There are no suitable references for [Cs M₁-M₂ and 5 others; 0.0277>.
#   There are no suitable references for [Cs M₅-N₃ and 17 others; 0.9731>.
# Spectrum
#   MMM2 Pollucite[0][all]['MMM2 Pollucite[0][4].msa']
# Fit warnings
#   Removing Rb from the fit and re-fitting (threshold = 0.0σ).
# Quantification results
Name,Element,Z,A,C[z],U[C[z]],N[z],U[N[z]],A[z],U[A[z]]
MMM2 Pollucite[0][all],O,8,15.999,0.34858,0.02354,0.34802,0.01534,0.61227,0.01608
MMM2 Pollucite[0][all],Na,11,22.98976928,0.01331,0.00158,0.01329,0.00159,0.01627,0.00202
MMM2 Pollucite[0][all],Al,13,26.9815384,0.08260,0.00033,0.08246,0.00197,0.08603,0.00358
MMM2 Pollucite[0][all],Si,14,28.085,0.21216,0.00063,0.21182,0.00502,0.21228,0.00880
MMM2 Pollucite[0][all],K,19,39.0983,0.00041,0.00003,0.00041,0.00003,0.00030,0.00003
MMM2 Pollucite[0][all],Rb,37,85.4678,0.00000,0.00054,0.00000,0.00054,0.00000,0.00018
MMM2 Pollucite[0][all],Cs,55,132.90545196,0.34456,0.00053,0.34400,0.00812,0.07285,0.00302
# Notes
#   Analytical total: 1.002 ± 0.024
#   Duane-Hunt: 15.20 keV
#   Residual written to MMM2 Pollucite[0][4][residual].msa.
#   Plot output to 'MMM2 Pollucite[0][4][quantify].pdf'
# Spectrum
#   MMM2 Pollucite[1][all]['MMM2 Pollucite[1][4].msa']
# Fit warnings
#   Removing Rb from the fit and re-fitting (threshold = 0.0σ).
# Quantification results
Name,Element,Z,A,C[z],U[C[z]],N[z],U[N[z]],A[z],U[A[z]]
MMM2 Pollucite[1][all],O,8,15.999,0.34859,0.02355,0.34817,0.01535,0.61230,0.01609
MMM2 Pollucite[1][all],Na,11,22.98976928,0.01330,0.00158,0.01328,0.00159,0.01626,0.00202
MMM2 Pollucite[1][all],Al,13,26.9815384,0.08248,0.00033,0.08238,0.00197,0.08591,0.00357
MMM2 Pollucite[1][all],Si,14,28.085,0.21254,0.00063,0.21229,0.00503,0.21267,0.00882
MMM2 Pollucite[1][all],K,19,39.0983,0.00013,0.00003,0.00013,0.00003,0.00009,0.00002
MMM2 Pollucite[1][all],Rb,37,85.4678,0.00000,0.00055,0.00000,0.00054,0.00000,0.00018
MMM2 Pollucite[1][all],Cs,55,132.90545196,0.34417,0.00053,0.34375,0.00812,0.07277,0.00302
# Notes
#   Analytical total: 1.001 ± 0.024
#   Duane-Hunt: 15.20 keV
#   Residual written to MMM2 Pollucite[1][4][residual].msa.
#   Plot output to 'MMM2 Pollucite[1][4][quantify].pdf'
# Spectrum
#   MMM2 Pollucite[2][all]['MMM2 Pollucite[2][4].msa']
# Fit warnings
#   Removing Rb from the fit and re-fitting (threshold = 0.0σ).
# Quantification results
Name,Element,Z,A,C[z],U[C[z]],N[z],U[N[z]],A[z],U[A[z]]
MMM2 Pollucite[2][all],O,8,15.999,0.34946,0.02363,0.34822,0.01536,0.61247,0.01610
MMM2 Pollucite[2][all],Na,11,22.98976928,0.01307,0.00156,0.01302,0.00156,0.01594,0.00198
MMM2 Pollucite[2][all],Al,13,26.9815384,0.08263,0.00033,0.08234,0.00197,0.08587,0.00357
MMM2 Pollucite[2][all],Si,14,28.085,0.21314,0.00063,0.21238,0.00504,0.21279,0.00884
MMM2 Pollucite[2][all],K,19,39.0983,0.00016,0.00003,0.00016,0.00003,0.00012,0.00002
MMM2 Pollucite[2][all],Rb,37,85.4678,0.00000,0.00055,0.00000,0.00054,0.00000,0.00018
MMM2 Pollucite[2][all],Cs,55,132.90545196,0.34512,0.00053,0.34388,0.00813,0.07281,0.00302
# Notes
#   Analytical total: 1.004 ± 0.024
#   Duane-Hunt: 15.11 keV
#   Residual written to MMM2 Pollucite[2][4][residual].msa.
#   Plot output to 'MMM2 Pollucite[2][4][quantify].pdf'
# Spectrum
#   MMM2 Pollucite[3][all]['MMM2 Pollucite[3][4].msa']
# Fit warnings
#   Removing Rb from the fit and re-fitting (threshold = 0.0σ).
# Quantification results
Name,Element,Z,A,C[z],U[C[z]],N[z],U[N[z]],A[z],U[A[z]]
MMM2 Pollucite[3][all],O,8,15.999,0.34983,0.02365,0.34874,0.01537,0.61264,0.01609
MMM2 Pollucite[3][all],Na,11,22.98976928,0.01336,0.00159,0.01332,0.00159,0.01628,0.00202
MMM2 Pollucite[3][all],Al,13,26.9815384,0.08258,0.00033,0.08232,0.00197,0.08575,0.00357
MMM2 Pollucite[3][all],Si,14,28.085,0.21314,0.00063,0.21247,0.00505,0.21263,0.00883
MMM2 Pollucite[3][all],K,19,39.0983,0.00028,0.00003,0.00028,0.00003,0.00020,0.00003
MMM2 Pollucite[3][all],Rb,37,85.4678,0.00000,0.00054,0.00000,0.00054,0.00000,0.00018
MMM2 Pollucite[3][all],Cs,55,132.90545196,0.34394,0.00053,0.34287,0.00811,0.07251,0.00301
# Notes
#   Analytical total: 1.003 ± 0.024
#   Duane-Hunt: 15.05 keV
#   Residual written to MMM2 Pollucite[3][4][residual].msa.
#   Plot output to 'MMM2 Pollucite[3][4][quantify].pdf'
# Spectrum
#   MMM2 Pollucite[4][all]['MMM2 Pollucite[4][4].msa']
# Fit warnings
#   Removing Rb from the fit and re-fitting (threshold = 0.0σ).
# Quantification results
Name,Element,Z,A,C[z],U[C[z]],N[z],U[N[z]],A[z],U[A[z]]
MMM2 Pollucite[4][all],O,8,15.999,0.34956,0.02363,0.34830,0.01536,0.61263,0.01609
MMM2 Pollucite[4][all],Na,11,22.98976928,0.01321,0.00157,0.01316,0.00158,0.01611,0.00200
MMM2 Pollucite[4][all],Al,13,26.9815384,0.08269,0.00033,0.08239,0.00197,0.08593,0.00358
MMM2 Pollucite[4][all],Si,14,28.085,0.21273,0.00063,0.21197,0.00503,0.21239,0.00882
MMM2 Pollucite[4][all],K,19,39.0983,0.00014,0.00003,0.00014,0.00003,0.00010,0.00002
MMM2 Pollucite[4][all],Rb,37,85.4678,0.00000,0.00054,0.00000,0.00054,0.00000,0.00018
MMM2 Pollucite[4][all],Cs,55,132.90545196,0.34529,0.00053,0.34404,0.00813,0.07285,0.00302
# Notes
#   Analytical total: 1.004 ± 0.024
#   Duane-Hunt: 14.99 keV
#   Residual written to MMM2 Pollucite[4][4][residual].msa.
#   Plot output to 'MMM2 Pollucite[4][4][quantify].pdf'
# Spectrum
#   MMM2 Pollucite[5][all]['MMM2 Pollucite[5][4].msa']
# Fit warnings
#   Removing Rb from the fit and re-fitting (threshold = 0.0σ).
# Quantification results
Name,Element,Z,A,C[z],U[C[z]],N[z],U[N[z]],A[z],U[A[z]]
MMM2 Pollucite[5][all],O,8,15.999,0.34867,0.02356,0.34822,0.01535,0.61238,0.01609
MMM2 Pollucite[5][all],Na,11,22.98976928,0.01346,0.00160,0.01344,0.00161,0.01645,0.00204
MMM2 Pollucite[5][all],Al,13,26.9815384,0.08239,0.00033,0.08229,0.00197,0.08581,0.00357
MMM2 Pollucite[5][all],Si,14,28.085,0.21230,0.00063,0.21202,0.00503,0.21241,0.00881
MMM2 Pollucite[5][all],K,19,39.0983,0.00023,0.00003,0.00023,0.00003,0.00016,0.00002
MMM2 Pollucite[5][all],Rb,37,85.4678,0.00000,0.00055,0.00000,0.00054,0.00000,0.00018
MMM2 Pollucite[5][all],Cs,55,132.90545196,0.34426,0.00053,0.34381,0.00812,0.07279,0.00302
# Notes
#   Analytical total: 1.001 ± 0.024
#   Duane-Hunt: 14.97 keV
#   Residual written to MMM2 Pollucite[5][4][residual].msa.
#   Plot output to 'MMM2 Pollucite[5][4][quantify].pdf'
# Spectrum
#   MMM2 Pollucite[6][all]['MMM2 Pollucite[6][4].msa']
# Fit warnings
#   Removing Rb from the fit and re-fitting (threshold = 0.0σ).
# Quantification results
Name,Element,Z,A,C[z],U[C[z]],N[z],U[N[z]],A[z],U[A[z]]
MMM2 Pollucite[6][all],O,8,15.999,0.34892,0.02356,0.34849,0.01535,0.61264,0.01608
