# Configuration
#   Username: nwmr
#   Timestamp: 2025-10-02 17:08:45.431640500 -04:00
#   Application: spex v0.0.117
#   References: `N132962 15 keV` revision 476 - 2025-10-02 13:33:55 -04:00
# Configuration warnings
#    None
# Spectrum
#   MMM2 Pyrite[0][all]['MMM2 Pyrite[0][4].msa']
# Fit warnings
#    None
# Quantification results
Name,Element,Z,A,C[z],U[C[z]],N[z]],U[N[z]],A[z],U[A[z]]
MMM2 Pyrite[0][all],S,16,32.06,0.53326,0.00036,0.53683,0.00022,0.66875,0.00019
MMM2 Pyrite[0][all],Fe,26,55.845,0.46009,0.00025,0.46317,0.00022,0.33125,0.00019
# Notes
#   Analytical total: 0.99334 ± 0.00044
#   Duane-Hunt: 15.07 keV
#   Residual written to MMM2 Pyrite[0][4][residual].msa.
#   Plot output to 'MMM2 Pyrite[0][4][quantify].pdf'
# Spectrum
#   MMM2 Pyrite[1][all]['MMM2 Pyrite[1][4].msa']
# Fit warnings
#    None
# Quantification results
Name,Element,Z,A,C[z],U[C[z]],N[z]],U[N[z]],A[z],U[A[z]]
MMM2 Pyrite[1][all],S,16,32.06,0.53265,0.00036,0.53684,0.00022,0.66876,0.00019
MMM2 Pyrite[1][all],Fe,26,55.845,0.45954,0.00025,0.46316,0.00022,0.33124,0.00019
# Notes
#   Analytical total: 0.99219 ± 0.00044
#   Duane-Hunt: 14.97 keV
#   Residual written to MMM2 Pyrite[1][4][residual].msa.
#   Plot output to 'MMM2 Pyrite[1][4][quantify].pdf'
# Spectrum
#   MMM2 Pyrite[2][all]['MMM2 Pyrite[2][4].msa']
# Fit warnings
#    None
# Quantification results
Name,Element,Z,A,C[z],U[C[z]],N[z]],U[N[z]],A[z],U[A[z]]
MMM2 Pyrite[2][all],S,16,32.06,0.53177,0.00036,0.53711,0.00022,0.66900,0.00019
MMM2 Pyrite[2][all],Fe,26,55.845,0.45830,0.00025,0.46289,0.00022,0.33100,0.00019
# Notes
#   Analytical total: 0.99007 ± 0.00044
#   Duane-Hunt: 14.99 keV
#   Residual written to MMM2 Pyrite[2][4][residual].msa.
#   Plot output to 'MMM2 Pyrite[2][4][quantify].pdf'
# Spectrum
#   MMM2 Pyrite[3][all]['MMM2 Pyrite[3][4].msa']
# Fit warnings
#    None
# Quantification results
Name,Element,Z,A,C[z],U[C[z]],N[z]],U[N[z]],A[z],U[A[z]]
MMM2 Pyrite[3][all],S,16,32.06,0.53276,0.00036,0.53690,0.00022,0.66882,0.00019
MMM2 Pyrite[3][all],Fe,26,55.845,0.45953,0.00025,0.46310,0.00022,0.33118,0.00019
# Notes
#   Analytical total: 0.99228 ± 0.00044
#   Duane-Hunt: 15.02 keV
#   Residual written to MMM2 Pyrite[3][4][residual].msa.
#   Plot output to 'MMM2 Pyrite[3][4][quantify].pdf'
# Spectrum
#   MMM2 Pyrite[4][all]['MMM2 Pyrite[4][4].msa']
# Fit warnings
#    None
# Quantification results
Name,Element,Z,A,C[z],U[C[z]],N[z]],U[N[z]],A[z],U[A[z]]
MMM2 Pyrite[4][all],S,16,32.06,0.53323,0.00036,0.53694,0.00022,0.66885,0.00019
MMM2 Pyrite[4][all],Fe,26,55.845,0.45986,0.00025,0.46306,0.00022,0.33115,0.00019
# Notes
#   Analytical total: 0.99309 ± 0.00044
#   Duane-Hunt: 14.99 keV
#   Residual written to MMM2 Pyrite[4][4][residual].msa.
#   Plot output to 'MMM2 Pyrite[4][4][quantify].pdf'
# Spectrum
