# Configuration
#   Username: Nicholas W. M. Ritchie
#   Timestamp: 2025-10-23 13:31:22
#   Application: spex version 0.0.121
#   References: `N132962 15 keV` revision 199 - 2025-10-23 13:24:40 -04:00
# Configuration warnings
#    None
# Spectrum
#   MMM2 Pyrope[0][all]['MMM2 Pyrope[0][4].msa']
# Fit warnings
#   The k-ratio '[Mn L₃-M₅ + 13 others] = -0.00410 ± 0.00055' is more than 3σ negative.
# Quantification results
Name,Element,Z,A,C[z],U[C[z]],N[z],U[N[z]],A[z],U[A[z]]
MMM2 Pyrope[0][all],O,8,15.999,0.44408,0.02714,0.43923,0.01505,0.59127,0.01477
MMM2 Pyrope[0][all],Mg,12,24.305,0.12427,0.00018,0.12291,0.00330,0.10892,0.00394
MMM2 Pyrope[0][all],Al,13,26.9815384,0.11951,0.00033,0.11821,0.00319,0.09435,0.00342
MMM2 Pyrope[0][all],Si,14,28.085,0.20433,0.00044,0.20210,0.00544,0.15498,0.00561
MMM2 Pyrope[0][all],Ca,20,40.078,0.03131,0.00005,0.03097,0.00083,0.01664,0.00060
MMM2 Pyrope[0][all],Ti,22,47.867,0.00315,0.00004,0.00312,0.00009,0.00140,0.00005
MMM2 Pyrope[0][all],Cr,24,51.9961,0.00797,0.00005,0.00789,0.00022,0.00327,0.00012
MMM2 Pyrope[0][all],Mn,25,54.938043,0.00250,0.00006,0.00247,0.00009,0.00097,0.00004
MMM2 Pyrope[0][all],Fe,26,55.845,0.07391,0.00011,0.07311,0.00197,0.02819,0.00102
# Notes
#   Analytical total: 1.011 ± 0.027
#   Duane-Hunt: 15.20 keV
#   Residual written to MMM2 Pyrope[0][4][residual].msa.
#   Plot output to 'MMM2 Pyrope[0][4][quantify].pdf'
# Spectrum
#   MMM2 Pyrope[1][all]['MMM2 Pyrope[1][4].msa']
# Fit warnings
#   The k-ratio '[Mn L₃-M₅ + 13 others] = -0.00444 ± 0.00055' is more than 3σ negative.
# Quantification results
Name,Element,Z,A,C[z],U[C[z]],N[z],U[N[z]],A[z],U[A[z]]
MMM2 Pyrope[1][all],O,8,15.999,0.44389,0.02714,0.43904,0.01506,0.59138,0.01478
MMM2 Pyrope[1][all],Mg,12,24.305,0.12409,0.00018,0.12274,0.00330,0.10883,0.00394
MMM2 Pyrope[1][all],Al,13,26.9815384,0.11899,0.00033,0.11769,0.00317,0.09400,0.00341
MMM2 Pyrope[1][all],Si,14,28.085,0.20396,0.00044,0.20173,0.00543,0.15480,0.00561
MMM2 Pyrope[1][all],Ca,20,40.078,0.03116,0.00005,0.03082,0.00083,0.01657,0.00060
MMM2 Pyrope[1][all],Ti,22,47.867,0.00351,0.00004,0.00347,0.00010,0.00156,0.00006
MMM2 Pyrope[1][all],Cr,24,51.9961,0.00838,0.00005,0.00829,0.00023,0.00343,0.00013
MMM2 Pyrope[1][all],Mn,25,54.938043,0.00225,0.00006,0.00222,0.00009,0.00087,0.00004
MMM2 Pyrope[1][all],Fe,26,55.845,0.07482,0.00011,0.07401,0.00199,0.02856,0.00103
# Notes
#   Analytical total: 1.011 ± 0.027
#   Duane-Hunt: 15.20 keV
#   Residual written to MMM2 Pyrope[1][4][residual].msa.
#   Plot output to 'MMM2 Pyrope[1][4][quantify].pdf'
# Spectrum
#   MMM2 Pyrope[2][all]['MMM2 Pyrope[2][4].msa']
# Fit warnings
