# Configuration
#   Username: nwmr
#   Timestamp: 2025-10-02 17:06:14.114937400 -04:00
#   Application: spex v0.0.117
#   References: `N132962 20 keV` revision 358 - 2025-09-25 20:39:50 -04:00
# Configuration warnings
#    None
# Spectrum
#   MMM2 Rhodonite[0][all]['MMM2 Rhodonite[0][4].msa']
# Fit warnings
#   The unknown's beam energy (15 keV) differs from the references (20 keV) by more than 1%.
#   The references and measured spectrum's beam energies don't match: (20.00 keV != 15.00 keV)
# Quantification results
Name,Element,Z,A,C[z],U[C[z]],N[z]],U[N[z]],A[z],U[A[z]]
MMM2 Rhodonite[0][all],O,8,15.999,0.38004,0.02757,0.36785,0.01687,0.59416,0.01750
MMM2 Rhodonite[0][all],Mg,12,24.305,0.01200,0.00008,0.01162,0.00032,0.01235,0.00054
MMM2 Rhodonite[0][all],Si,14,28.085,0.22053,0.00068,0.21346,0.00572,0.19641,0.00848
MMM2 Rhodonite[0][all],Ca,20,40.078,0.03480,0.00006,0.03369,0.00090,0.02172,0.00094
MMM2 Rhodonite[0][all],Mn,25,54.938043,0.34883,0.00020,0.33765,0.00901,0.15882,0.00685
MMM2 Rhodonite[0][all],Fe,26,55.845,0.03692,0.00011,0.03574,0.00096,0.01654,0.00071
# Notes
#   Analytical total: 1.033 ± 0.028
#   Duane-Hunt: 15.03 keV
#   Residual written to MMM2 Rhodonite[0][4][residual].msa.
#   Plot output to 'MMM2 Rhodonite[0][4][quantify].pdf'
# Spectrum
#   MMM2 Rhodonite[1][all]['MMM2 Rhodonite[1][4].msa']
# Fit warnings
#   The unknown's beam energy (15 keV) differs from the references (20 keV) by more than 1%.
#   The references and measured spectrum's beam energies don't match: (20.00 keV != 15.00 keV)
# Quantification results
Name,Element,Z,A,C[z],U[C[z]],N[z]],U[N[z]],A[z],U[A[z]]
MMM2 Rhodonite[1][all],O,8,15.999,0.37989,0.02762,0.36768,0.01690,0.59387,0.01754
MMM2 Rhodonite[1][all],Mg,12,24.305,0.01199,0.00008,0.01160,0.00032,0.01234,0.00054
MMM2 Rhodonite[1][all],Si,14,28.085,0.22063,0.00068,0.21354,0.00573,0.19648,0.00850
MMM2 Rhodonite[1][all],Ca,20,40.078,0.03589,0.00006,0.03474,0.00093,0.02240,0.00097
MMM2 Rhodonite[1][all],Mn,25,54.938043,0.34804,0.00020,0.33685,0.00901,0.15844,0.00684
MMM2 Rhodonite[1][all],Fe,26,55.845,0.03677,0.00011,0.03559,0.00096,0.01647,0.00071
# Notes
#   Analytical total: 1.033 ± 0.028
#   Duane-Hunt: 15.08 keV
#   Residual written to MMM2 Rhodonite[1][4][residual].msa.
#   Plot output to 'MMM2 Rhodonite[1][4][quantify].pdf'
# Spectrum
#   MMM2 Rhodonite[2][all]['MMM2 Rhodonite[2][4].msa']
# Fit warnings
#   The unknown's beam energy (15 keV) differs from the references (20 keV) by more than 1%.
#   The references and measured spectrum's beam energies don't match: (20.00 keV != 15.00 keV)
# Quantification results
Name,Element,Z,A,C[z],U[C[z]],N[z]],U[N[z]],A[z],U[A[z]]
MMM2 Rhodonite[2][all],O,8,15.999,0.37930,0.02756,0.36716,0.01689,0.59356,0.01753
MMM2 Rhodonite[2][all],Mg,12,24.305,0.01203,0.00008,0.01165,0.00032,0.01239,0.00054
MMM2 Rhodonite[2][all],Si,14,28.085,0.22020,0.00068,0.21315,0.00571,0.19629,0.00848
MMM2 Rhodonite[2][all],Ca,20,40.078,0.03505,0.00006,0.03393,0.00091,0.02190,0.00095
MMM2 Rhodonite[2][all],Mn,25,54.938043,0.34950,0.00020,0.33831,0.00903,0.15927,0.00687
MMM2 Rhodonite[2][all],Fe,26,55.845,0.03699,0.00011,0.03581,0.00096,0.01658,0.00072
# Notes
#   Analytical total: 1.033 ± 0.028
#   Duane-Hunt: 15.18 keV
#   Residual written to MMM2 Rhodonite[2][4][residual].msa.
#   Plot output to 'MMM2 Rhodonite[2][4][quantify].pdf'
# Spectrum
#   MMM2 Rhodonite[3][all]['MMM2 Rhodonite[3][4].msa']
# Fit warnings
#   The unknown's beam energy (15 keV) differs from the references (20 keV) by more than 1%.
#   The references and measured spectrum's beam energies don't match: (20.00 keV != 15.00 keV)
# Quantification results
Name,Element,Z,A,C[z],U[C[z]],N[z]],U[N[z]],A[z],U[A[z]]
MMM2 Rhodonite[3][all],O,8,15.999,0.38057,0.02763,0.36790,0.01689,0.59419,0.01751
MMM2 Rhodonite[3][all],Mg,12,24.305,0.01188,0.00008,0.01149,0.00032,0.01221,0.00053
MMM2 Rhodonite[3][all],Si,14,28.085,0.22080,0.00068,0.21345,0.00573,0.19638,0.00849
MMM2 Rhodonite[3][all],Ca,20,40.078,0.03549,0.00006,0.03431,0.00092,0.02212,0.00096
MMM2 Rhodonite[3][all],Mn,25,54.938043,0.34829,0.00020,0.33670,0.00900,0.15836,0.00683
MMM2 Rhodonite[3][all],Fe,26,55.845,0.03741,0.00011,0.03616,0.00097,0.01673,0.00072
# Notes
#   Analytical total: 1.034 ± 0.028
#   Duane-Hunt: 15.03 keV
#   Residual written to MMM2 Rhodonite[3][4][residual].msa.
#   Plot output to 'MMM2 Rhodonite[3][4][quantify].pdf'
# Spectrum
#   MMM2 Rhodonite[4][all]['MMM2 Rhodonite[4][4].msa']
# Fit warnings
#   The unknown's beam energy (15 keV) differs from the references (20 keV) by more than 1%.
#   The references and measured spectrum's beam energies don't match: (20.00 keV != 15.00 keV)
# Quantification results
Name,Element,Z,A,C[z],U[C[z]],N[z]],U[N[z]],A[z],U[A[z]]
MMM2 Rhodonite[4][all],O,8,15.999,0.38090,0.02764,0.36839,0.01689,0.59458,0.01750
MMM2 Rhodonite[4][all],Mg,12,24.305,0.01201,0.00008,0.01162,0.00032,0.01235,0.00054
MMM2 Rhodonite[4][all],Si,14,28.085,0.22080,0.00068,0.21355,0.00573,0.19635,0.00849
MMM2 Rhodonite[4][all],Ca,20,40.078,0.03535,0.00006,0.03419,0.00092,0.02203,0.00095
MMM2 Rhodonite[4][all],Mn,25,54.938043,0.34784,0.00020,0.33642,0.00900,0.15813,0.00682
MMM2 Rhodonite[4][all],Fe,26,55.845,0.03705,0.00011,0.03583,0.00096,0.01657,0.00072
# Notes
#   Analytical total: 1.034 ± 0.028
#   Duane-Hunt: 14.95 keV
#   Residual written to MMM2 Rhodonite[4][4][residual].msa.
#   Plot output to 'MMM2 Rhodonite[4][4][quantify].pdf'
# Spectrum
#   MMM2 Rhodonite[5][all]['MMM2 Rhodonite[5][4].msa']
# Fit warnings
#   The unknown's beam energy (15 keV) differs from the references (20 keV) by more than 1%.
#   The references and measured spectrum's beam energies don't match: (20.00 keV != 15.00 keV)
# Quantification results
Name,Element,Z,A,C[z],U[C[z]],N[z]],U[N[z]],A[z],U[A[z]]
MMM2 Rhodonite[5][all],O,8,15.999,0.37990,0.02762,0.36747,0.01690,0.59380,0.01754
MMM2 Rhodonite[5][all],Mg,12,24.305,0.01206,0.00008,0.01167,0.00032,0.01241,0.00054
MMM2 Rhodonite[5][all],Si,14,28.085,0.22033,0.00068,0.21312,0.00572,0.19618,0.00848
MMM2 Rhodonite[5][all],Ca,20,40.078,0.03551,0.00006,0.03435,0.00092,0.02216,0.00096
MMM2 Rhodonite[5][all],Mn,25,54.938043,0.34918,0.00020,0.33776,0.00903,0.15895,0.00686
MMM2 Rhodonite[5][all],Fe,26,55.845,0.03684,0.00011,0.03563,0.00096,0.01650,0.00071
# Notes
#   Analytical total: 1.034 ± 0.028
#   Duane-Hunt: 15.07 keV
#   Residual written to MMM2 Rhodonite[5][4][residual].msa.
#   Plot output to 'MMM2 Rhodonite[5][4][quantify].pdf'
# Spectrum
#   MMM2 Rhodonite[6][all]['MMM2 Rhodonite[6][4].msa']
# Fit warnings
#   The unknown's beam energy (15 keV) differs from the references (20 keV) by more than 1%.
#   The references and measured spectrum's beam energies don't match: (20.00 keV != 15.00 keV)
# Quantification results
Name,Element,Z,A,C[z],U[C[z]],N[z]],U[N[z]],A[z],U[A[z]]
MMM2 Rhodonite[6][all],O,8,15.999,0.37990,0.02758,0.36720,0.01687,0.59365,0.01752
MMM2 Rhodonite[6][all],Mg,12,24.305,0.01189,0.00008,0.01149,0.00032,0.01223,0.00053
MMM2 Rhodonite[6][all],Si,14,28.085,0.22060,0.00068,0.21323,0.00571,0.19638,0.00848
MMM2 Rhodonite[6][all],Ca,20,40.078,0.03491,0.00006,0.03374,0.00090,0.02178,0.00094
MMM2 Rhodonite[6][all],Mn,25,54.938043,0.35029,0.00020,0.33858,0.00903,0.15941,0.00687
MMM2 Rhodonite[6][all],Fe,26,55.845,0.03699,0.00011,0.03576,0.00096,0.01656,0.00072
# Notes
#   Analytical total: 1.035 ± 0.028
#   Duane-Hunt: 15.20 keV
#   Residual written to MMM2 Rhodonite[6][4][residual].msa.
#   Plot output to 'MMM2 Rhodonite[6][4][quantify].pdf'
# Spectrum
#   MMM2 Rhodonite[7][all]['MMM2 Rhodonite[7][4].msa']
# Fit warnings
#   The unknown's beam energy (15 keV) differs from the references (20 keV) by more than 1%.
#   The references and measured spectrum's beam energies don't match: (20.00 keV != 15.00 keV)
# Quantification results
Name,Element,Z,A,C[z],U[C[z]],N[z]],U[N[z]],A[z],U[A[z]]
MMM2 Rhodonite[7][all],O,8,15.999,0.37973,0.02760,0.36740,0.01690,0.59368,0.01754
MMM2 Rhodonite[7][all],Mg,12,24.305,0.01193,0.00008,0.01154,0.00032,0.01228,0.00054
MMM2 Rhodonite[7][all],Si,14,28.085,0.22061,0.00068,0.21344,0.00572,0.19648,0.00849
MMM2 Rhodonite[7][all],Ca,20,40.078,0.03574,0.00006,0.03458,0.00093,0.02230,0.00096
MMM2 Rhodonite[7][all],Mn,25,54.938043,0.34825,0.00020,0.33694,0.00900,0.15856,0.00684
MMM2 Rhodonite[7][all],Fe,26,55.845,0.03731,0.00011,0.03610,0.00097,0.01671,0.00072
# Notes
#   Analytical total: 1.034 ± 0.028
#   Duane-Hunt: 14.93 keV
#   Residual written to MMM2 Rhodonite[7][4][residual].msa.
#   Plot output to 'MMM2 Rhodonite[7][4][quantify].pdf'
# Result Comparison
Name,O,Mg,Si,Ca,Mn,Fe,Σ
MMM2 Rhodonite[0][all],0.380 ± 0.028,0.012003 ± 0.000079,0.22053 ± 0.00068,0.034802 ± 0.000056,0.34883 ± 0.00020,0.03692 ± 0.00011,1.033 ± 0.028
MMM2 Rhodonite[1][all],0.380 ± 0.028,0.011990 ± 0.000079,0.22063 ± 0.00068,0.035893 ± 0.000057,0.34804 ± 0.00020,0.03677 ± 0.00011,1.033 ± 0.028
MMM2 Rhodonite[2][all],0.379 ± 0.028,0.012030 ± 0.000079,0.22020 ± 0.00068,0.035050 ± 0.000056,0.34950 ± 0.00020,0.03699 ± 0.00011,1.033 ± 0.028
MMM2 Rhodonite[3][all],0.381 ± 0.028,0.011881 ± 0.000078,0.22080 ± 0.00068,0.035489 ± 0.000056,0.34829 ± 0.00020,0.03741 ± 0.00011,1.034 ± 0.028
MMM2 Rhodonite[4][all],0.381 ± 0.028,0.012015 ± 0.000079,0.22080 ± 0.00068,0.035349 ± 0.000056,0.34784 ± 0.00020,0.03705 ± 0.00011,1.034 ± 0.028
MMM2 Rhodonite[5][all],0.380 ± 0.028,0.012062 ± 0.000079,0.22033 ± 0.00068,0.035514 ± 0.000056,0.34918 ± 0.00020,0.03684 ± 0.00011,1.034 ± 0.028
MMM2 Rhodonite[6][all],0.380 ± 0.028,0.011890 ± 0.000078,0.22060 ± 0.00068,0.034912 ± 0.000056,0.35029 ± 0.00020,0.03699 ± 0.00011,1.035 ± 0.028
MMM2 Rhodonite[7][all],0.380 ± 0.028,0.011928 ± 0.000078,0.22061 ± 0.00068,0.035738 ± 0.000056,0.34825 ± 0.00020,0.03731 ± 0.00011,1.034 ± 0.028
Mean,0.38003 ± 0.00049,0.011975 ± 0.000067,0.22056 ± 0.00021,0.03534 ± 0.00039,0.34878 ± 0.00084,0.03704 ± 0.00022,1.03372 ± 0.00058
Nominal,0.3752,0.0117,0.2187,0.0331,0.3276,0.0337,1
RDEV (%),1.3,2.3,0.9,6.8,6.5,9.9,3.4
