# Configuration
#   Username: Nicholas W. M. Ritchie
#   Timestamp: 2025-10-23 13:31:23
#   Application: spex version 0.0.121
#   References: `N132962 15 keV` revision 199 - 2025-10-23 13:24:40 -04:00
# Configuration warnings
#    None
# Spectrum
#   MMM2 Scheelite[0][all]['MMM2 Scheelite[0][4].msa']
# Fit warnings
#   The k-ratio '[Mo L₁-L₂] = -0.5790 ± 0.0056' is more than 3σ negative.
#   The k-ratio '[W M₃-M₅ + 2 others] = -2.195 ± 0.075' is more than 3σ negative.
# Quantification results
Name,Element,Z,A,C[z],U[C[z]],N[z],U[N[z]],A[z],U[A[z]]
MMM2 Scheelite[0][all],O,8,15.999,0.21247,0.01475,0.21902,0.01187,0.66282,0.01551
MMM2 Scheelite[0][all],Ca,20,40.078,0.13409,0.00027,0.13822,0.00212,0.16699,0.00769
MMM2 Scheelite[0][all],Mo,42,95.95,0.00364,0.00039,0.00376,0.00040,0.00190,0.00022
MMM2 Scheelite[0][all],W,74,183.84,0.61991,0.00083,0.63900,0.00972,0.16830,0.00774
# Notes
#   Analytical total: 0.970 ± 0.015
#   Duane-Hunt: 14.99 keV
#   Residual written to MMM2 Scheelite[0][4][residual].msa.
#   Plot output to 'MMM2 Scheelite[0][4][quantify].pdf'
# Spectrum
#   MMM2 Scheelite[1][all]['MMM2 Scheelite[1][4].msa']
# Fit warnings
#   The k-ratio '[Mo L₁-L₂] = -0.5907 ± 0.0056' is more than 3σ negative.
#   The k-ratio '[W M₃-M₅ + 2 others] = -2.233 ± 0.075' is more than 3σ negative.
# Quantification results
Name,Element,Z,A,C[z],U[C[z]],N[z],U[N[z]],A[z],U[A[z]]
MMM2 Scheelite[1][all],O,8,15.999,0.21428,0.01495,0.21957,0.01196,0.66340,0.01558
MMM2 Scheelite[1][all],Ca,20,40.078,0.13504,0.00027,0.13838,0.00214,0.16690,0.00773
MMM2 Scheelite[1][all],Mo,42,95.95,0.00361,0.00039,0.00370,0.00040,0.00186,0.00022
MMM2 Scheelite[1][all],W,74,183.84,0.62296,0.00083,0.63835,0.00979,0.16785,0.00777
# Notes
#   Analytical total: 0.976 ± 0.015
#   Duane-Hunt: 15.05 keV
#   Residual written to MMM2 Scheelite[1][4][residual].msa.
#   Plot output to 'MMM2 Scheelite[1][4][quantify].pdf'
# Spectrum
#   MMM2 Scheelite[2][all]['MMM2 Scheelite[2][4].msa']
# Fit warnings
#   The k-ratio '[Mo L₁-L₂] = -0.5809 ± 0.0056' is more than 3σ negative.
#   The k-ratio '[W M₃-M₅ + 2 others] = -2.285 ± 0.075' is more than 3σ negative.
# Quantification results
Name,Element,Z,A,C[z],U[C[z]],N[z],U[N[z]],A[z],U[A[z]]
MMM2 Scheelite[2][all],O,8,15.999,0.21508,0.01497,0.22102,0.01198,0.66496,0.01551
MMM2 Scheelite[2][all],Ca,20,40.078,0.13502,0.00027,0.13876,0.00215,0.16665,0.00772
MMM2 Scheelite[2][all],Mo,42,95.95,0.00310,0.00034,0.00319,0.00035,0.00160,0.00019
MMM2 Scheelite[2][all],W,74,183.84,0.61990,0.00083,0.63704,0.00981,0.16679,0.00772
# Notes
#   Analytical total: 0.973 ± 0.015
#   Duane-Hunt: 15.02 keV
#   Residual written to MMM2 Scheelite[2][4][residual].msa.
#   Plot output to 'MMM2 Scheelite[2][4][quantify].pdf'
# Spectrum
#   MMM2 Scheelite[3][all]['MMM2 Scheelite[3][4].msa']
# Fit warnings
#   The k-ratio '[Mo L₁-L₂] = -0.6341 ± 0.0057' is more than 3σ negative.
#   The k-ratio '[W M₃-M₅ + 2 others] = -2.471 ± 0.075' is more than 3σ negative.
# Quantification results
Name,Element,Z,A,C[z],U[C[z]],N[z],U[N[z]],A[z],U[A[z]]
MMM2 Scheelite[3][all],O,8,15.999,0.21480,0.01493,0.22112,0.01197,0.66549,0.01548
MMM2 Scheelite[3][all],Ca,20,40.078,0.13415,0.00027,0.13810,0.00214,0.16592,0.00768
