# Configuration
#   Username: Nicholas W. M. Ritchie
#   Timestamp: 2025-10-23 13:31:23
#   Application: spex version 0.0.121
#   References: `N132962 15 keV` revision 199 - 2025-10-23 13:24:40 -04:00
# Configuration warnings
#    None
# Spectrum
#   MMM2 Spessartine[0][all]['MMM2 Spessartine[0][4].msa']
# Fit warnings
#   The k-ratio '[Ti L₃-M₅ + 13 others] = -0.0360 ± 0.0013' is more than 3σ negative.
# Quantification results
Name,Element,Z,A,C[z],U[C[z]],N[z],U[N[z]],A[z],U[A[z]]
MMM2 Spessartine[0][all],O,8,15.999,0.38361,0.02368,0.37234,0.01443,0.58764,0.01496
MMM2 Spessartine[0][all],Al,13,26.9815384,0.11012,0.00037,0.10689,0.00248,0.10003,0.00364
MMM2 Spessartine[0][all],Si,14,28.085,0.17125,0.00043,0.16622,0.00384,0.14944,0.00543
MMM2 Spessartine[0][all],Ca,20,40.078,0.00248,0.00003,0.00241,0.00006,0.00152,0.00006
MMM2 Spessartine[0][all],Ti,22,47.867,0.00012,0.00003,0.00011,0.00003,0.00006,0.00002
MMM2 Spessartine[0][all],Mn,25,54.938043,0.34844,0.00019,0.33821,0.00778,0.15544,0.00564
MMM2 Spessartine[0][all],Fe,26,55.845,0.01262,0.00010,0.01225,0.00030,0.00554,0.00021
MMM2 Spessartine[0][all],Sn,50,118.71,0.00162,0.00008,0.00157,0.00009,0.00033,0.00002
# Notes
#   Analytical total: 1.030 ± 0.024
#   Duane-Hunt: 15.20 keV
#   Residual written to MMM2 Spessartine[0][4][residual].msa.
#   Plot output to 'MMM2 Spessartine[0][4][quantify].pdf'
# Spectrum
#   MMM2 Spessartine[1][all]['MMM2 Spessartine[1][4].msa']
# Fit warnings
#   The k-ratio '[Ti L₃-M₅ + 13 others] = -0.0397 ± 0.0013' is more than 3σ negative.
# Quantification results
Name,Element,Z,A,C[z],U[C[z]],N[z],U[N[z]],A[z],U[A[z]]
MMM2 Spessartine[1][all],O,8,15.999,0.38289,0.02361,0.37179,0.01440,0.58685,0.01495
