# Configuration
#   Username: Nicholas W. M. Ritchie
#   Timestamp: 2025-10-23 13:31:23
#   Application: spex version 0.0.121
#   References: `N132962 15 keV` revision 199 - 2025-10-23 13:24:40 -04:00
# Configuration warnings
#    None
# Spectrum
#   MMM2 Sphene[0][all]['MMM2 Sphene[0][4].msa']
# Fit warnings
#   The k-ratio '[Mn K-M₃ + 1 other] = -0.00102 ± 0.00030' is more than 3σ negative.
# Quantification results
Name,Element,Z,A,C[z],U[C[z]],N[z],U[N[z]],A[z],U[A[z]]
MMM2 Sphene[0][all],O,8,15.999,0.42790,0.07739,0.42025,0.04407,0.63444,0.04195
MMM2 Sphene[0][all],Al,13,26.9815384,0.00696,0.00004,0.00683,0.00052,0.00612,0.00070
MMM2 Sphene[0][all],Si,14,28.085,0.14609,0.00028,0.14348,0.01091,0.12339,0.01416
MMM2 Sphene[0][all],Ca,20,40.078,0.20466,0.00012,0.20100,0.01528,0.12113,0.01390
MMM2 Sphene[0][all],Ti,22,47.867,0.22758,0.00017,0.22351,0.01699,0.11278,0.01294
MMM2 Sphene[0][all],Mn,25,54.938043,0.00035,0.00005,0.00034,0.00006,0.00015,0.00003
MMM2 Sphene[0][all],Fe,26,55.845,0.00467,0.00006,0.00459,0.00035,0.00199,0.00023
# Notes
#   Analytical total: 1.018 ± 0.077
#   Duane-Hunt: 15.18 keV
#   Residual written to MMM2 Sphene[0][4][residual].msa.
#   Plot output to 'MMM2 Sphene[0][4][quantify].pdf'
# Spectrum
#   MMM2 Sphene[1][all]['MMM2 Sphene[1][4].msa']
# Fit warnings
#    None
# Quantification results
Name,Element,Z,A,C[z],U[C[z]],N[z],U[N[z]],A[z],U[A[z]]
MMM2 Sphene[1][all],O,8,15.999,0.42678,0.07712,0.41981,0.04401,0.63399,0.04193
MMM2 Sphene[1][all],Al,13,26.9815384,0.00711,0.00004,0.00700,0.00053,0.00626,0.00072
MMM2 Sphene[1][all],Si,14,28.085,0.14611,0.00028,0.14372,0.01091,0.12364,0.01417
MMM2 Sphene[1][all],Ca,20,40.078,0.20397,0.00012,0.20064,0.01522,0.12096,0.01386
MMM2 Sphene[1][all],Ti,22,47.867,0.22736,0.00017,0.22365,0.01697,0.11289,0.01293
MMM2 Sphene[1][all],Mn,25,54.938043,0.00064,0.00005,0.00063,0.00007,0.00028,0.00004
MMM2 Sphene[1][all],Fe,26,55.845,0.00464,0.00006,0.00456,0.00035,0.00197,0.00023
# Notes
#   Analytical total: 1.017 ± 0.077
#   Duane-Hunt: 15.19 keV
#   Residual written to MMM2 Sphene[1][4][residual].msa.
#   Plot output to 'MMM2 Sphene[1][4][quantify].pdf'
# Spectrum
#   MMM2 Sphene[2][all]['MMM2 Sphene[2][4].msa']
# Fit warnings
#   The k-ratio '[Mn K-M₃ + 1 other] = -0.00268 ± 0.00030' is more than 3σ negative.
# Quantification results
Name,Element,Z,A,C[z],U[C[z]],N[z],U[N[z]],A[z],U[A[z]]
MMM2 Sphene[2][all],O,8,15.999,0.42830,0.07766,0.42026,0.04418,0.63446,0.04205
MMM2 Sphene[2][all],Al,13,26.9815384,0.00697,0.00004,0.00683,0.00052,0.00612,0.00070
MMM2 Sphene[2][all],Si,14,28.085,0.14637,0.00028,0.14362,0.01095,0.12352,0.01421
MMM2 Sphene[2][all],Ca,20,40.078,0.20413,0.00012,0.20029,0.01526,0.12071,0.01389
MMM2 Sphene[2][all],Ti,22,47.867,0.22823,0.00017,0.22394,0.01706,0.11300,0.01300
MMM2 Sphene[2][all],Mn,25,54.938043,0.00037,0.00005,0.00036,0.00006,0.00016,0.00003
MMM2 Sphene[2][all],Fe,26,55.845,0.00478,0.00006,0.00469,0.00036,0.00203,0.00023
# Notes
#   Analytical total: 1.019 ± 0.078
#   Duane-Hunt: 15.20 keV
#   Residual written to MMM2 Sphene[2][4][residual].msa.
#   Plot output to 'MMM2 Sphene[2][4][quantify].pdf'
# Spectrum
#   MMM2 Sphene[3][all]['MMM2 Sphene[3][4].msa']
# Fit warnings
#    None
# Quantification results
Name,Element,Z,A,C[z],U[C[z]],N[z],U[N[z]],A[z],U[A[z]]
MMM2 Sphene[3][all],O,8,15.999,0.42840,0.07770,0.42023,0.04419,0.63447,0.04206
MMM2 Sphene[3][all],Al,13,26.9815384,0.00703,0.00004,0.00689,0.00053,0.00617,0.00071
MMM2 Sphene[3][all],Si,14,28.085,0.14631,0.00028,0.14352,0.01094,0.12344,0.01421
MMM2 Sphene[3][all],Ca,20,40.078,0.20400,0.00012,0.20010,0.01525,0.12061,0.01388
MMM2 Sphene[3][all],Ti,22,47.867,0.22823,0.00017,0.22387,0.01706,0.11298,0.01300
MMM2 Sphene[3][all],Mn,25,54.938043,0.00047,0.00005,0.00046,0.00006,0.00020,0.00003
MMM2 Sphene[3][all],Fe,26,55.845,0.00502,0.00006,0.00493,0.00038,0.00213,0.00025
# Notes
#   Analytical total: 1.019 ± 0.078
#   Duane-Hunt: 15.20 keV
#   Residual written to MMM2 Sphene[3][4][residual].msa.
#   Plot output to 'MMM2 Sphene[3][4][quantify].pdf'
# Spectrum
#   MMM2 Sphene[4][all]['MMM2 Sphene[4][4].msa']
# Fit warnings
#    None
# Quantification results
Name,Element,Z,A,C[z],U[C[z]],N[z],U[N[z]],A[z],U[A[z]]
MMM2 Sphene[4][all],O,8,15.999,0.42706,0.07750,0.41986,0.04421,0.63419,0.04210
MMM2 Sphene[4][all],Al,13,26.9815384,0.00690,0.00004,0.00679,0.00052,0.00608,0.00070
MMM2 Sphene[4][all],Si,14,28.085,0.14582,0.00028,0.14336,0.01093,0.12335,0.01420
MMM2 Sphene[4][all],Ca,20,40.078,0.20360,0.00012,0.20017,0.01525,0.12070,0.01389
MMM2 Sphene[4][all],Ti,22,47.867,0.22888,0.00017,0.22503,0.01715,0.11361,0.01308
MMM2 Sphene[4][all],Mn,25,54.938043,0.00017,0.00005,0.00017,0.00005,0.00007,0.00002
MMM2 Sphene[4][all],Fe,26,55.845,0.00470,0.00006,0.00462,0.00036,0.00200,0.00023
# Notes
#   Analytical total: 1.017 ± 0.078
#   Duane-Hunt: 15.18 keV
#   Residual written to MMM2 Sphene[4][4][residual].msa.
#   Plot output to 'MMM2 Sphene[4][4][quantify].pdf'
# Spectrum
#   MMM2 Sphene[5][all]['MMM2 Sphene[5][4].msa']
# Fit warnings
#   The k-ratio '[Mn K-M₃ + 1 other] = -0.00211 ± 0.00030' is more than 3σ negative.
