# Configuration
#   Username: nwmr
#   Timestamp: 2025-10-02 18:26:38.070390454 -04:00
#   Application: spex v0.0.117
#   References: `N132962 15 keV` revision 476 - 2025-10-02 13:33:55 -04:00
# Configuration warnings
#    None
# Spectrum
#   MMM2 Uvarovite[0][all]['MMM2 Uvarovite[0][4].msa']
# Fit warnings
#    None
# Quantification results
Name,Element,Z,A,C[z],U[C[z]],N[z]],U[N[z]],A[z],U[A[z]]
MMM2 Uvarovite[0][all],O,8,15.999,0.38048,0.03653,0.38683,0.02277,0.59154,0.02320
MMM2 Uvarovite[0][all],Mg,12,24.305,0.00028,0.00003,0.00028,0.00003,0.00028,0.00003
MMM2 Uvarovite[0][all],Al,13,26.9815384,0.03156,0.00009,0.03209,0.00120,0.02910,0.00165
MMM2 Uvarovite[0][all],Si,14,28.085,0.17353,0.00031,0.17642,0.00656,0.15369,0.00873
MMM2 Uvarovite[0][all],Ca,20,40.078,0.24602,0.00014,0.25013,0.00929,0.15269,0.00867
MMM2 Uvarovite[0][all],Ti,22,47.867,0.01013,0.00005,0.01029,0.00039,0.00526,0.00030
MMM2 Uvarovite[0][all],V,23,50.9415,0.00232,0.00005,0.00236,0.00010,0.00113,0.00007
MMM2 Uvarovite[0][all],Cr,24,51.9961,0.12976,0.00038,0.13193,0.00491,0.06208,0.00353
MMM2 Uvarovite[0][all],Fe,26,55.845,0.00951,0.00006,0.00966,0.00036,0.00423,0.00024
# Notes
#   Analytical total: 0.984 ± 0.037
#   Duane-Hunt: 14.91 keV
#   Residual written to MMM2 Uvarovite[0][4][residual].msa.
#   Plot output to 'MMM2 Uvarovite[0][4][quantify].pdf'
# Spectrum
#   MMM2 Uvarovite[1][all]['MMM2 Uvarovite[1][4].msa']
# Fit warnings
#    None
# Quantification results
Name,Element,Z,A,C[z],U[C[z]],N[z]],U[N[z]],A[z],U[A[z]]
MMM2 Uvarovite[1][all],O,8,15.999,0.38047,0.03649,0.38718,0.02276,0.59184,0.02317
MMM2 Uvarovite[1][all],Mg,12,24.305,0.00027,0.00003,0.00027,0.00003,0.00028,0.00003
MMM2 Uvarovite[1][all],Al,13,26.9815384,0.03157,0.00009,0.03212,0.00120,0.02912,0.00165
MMM2 Uvarovite[1][all],Si,14,28.085,0.17350,0.00031,0.17656,0.00656,0.15375,0.00873
MMM2 Uvarovite[1][all],Ca,20,40.078,0.24540,0.00014,0.24973,0.00928,0.15239,0.00865
MMM2 Uvarovite[1][all],Ti,22,47.867,0.01032,0.00005,0.01050,0.00039,0.00537,0.00031
MMM2 Uvarovite[1][all],V,23,50.9415,0.00236,0.00005,0.00240,0.00010,0.00115,0.00007
MMM2 Uvarovite[1][all],Cr,24,51.9961,0.12954,0.00038,0.13182,0.00491,0.06200,0.00352
MMM2 Uvarovite[1][all],Fe,26,55.845,0.00925,0.00006,0.00941,0.00036,0.00412,0.00024
# Notes
#   Analytical total: 0.983 ± 0.036
#   Duane-Hunt: 14.99 keV
#   Residual written to MMM2 Uvarovite[1][4][residual].msa.
#   Plot output to 'MMM2 Uvarovite[1][4][quantify].pdf'
# Spectrum
#   MMM2 Uvarovite[2][all]['MMM2 Uvarovite[2][4].msa']
# Fit warnings
#    None
# Quantification results
Name,Element,Z,A,C[z],U[C[z]],N[z]],U[N[z]],A[z],U[A[z]]
MMM2 Uvarovite[2][all],O,8,15.999,0.38044,0.03647,0.38746,0.02276,0.59175,0.02316
MMM2 Uvarovite[2][all],Mg,12,24.305,0.00010,0.00003,0.00010,0.00003,0.00010,0.00003
MMM2 Uvarovite[2][all],Al,13,26.9815384,0.03268,0.00009,0.03329,0.00124,0.03015,0.00171
MMM2 Uvarovite[2][all],Si,14,28.085,0.17361,0.00031,0.17681,0.00657,0.15383,0.00873
MMM2 Uvarovite[2][all],Ca,20,40.078,0.24579,0.00014,0.25032,0.00930,0.15262,0.00866
MMM2 Uvarovite[2][all],Ti,22,47.867,0.00927,0.00004,0.00944,0.00035,0.00482,0.00027
MMM2 Uvarovite[2][all],V,23,50.9415,0.00216,0.00005,0.00220,0.00009,0.00106,0.00006
MMM2 Uvarovite[2][all],Cr,24,51.9961,0.12880,0.00038,0.13117,0.00488,0.06164,0.00350
MMM2 Uvarovite[2][all],Fe,26,55.845,0.00904,0.00006,0.00921,0.00035,0.00403,0.00023
# Notes
#   Analytical total: 0.982 ± 0.036
#   Duane-Hunt: 15.02 keV
#   Residual written to MMM2 Uvarovite[2][4][residual].msa.
#   Plot output to 'MMM2 Uvarovite[2][4][quantify].pdf'
# Spectrum
#   MMM2 Uvarovite[3][all]['MMM2 Uvarovite[3][4].msa']
# Fit warnings
#    None
# Quantification results
Name,Element,Z,A,C[z],U[C[z]],N[z]],U[N[z]],A[z],U[A[z]]
MMM2 Uvarovite[3][all],O,8,15.999,0.37819,0.03621,0.38681,0.02271,0.59112,0.02314
MMM2 Uvarovite[3][all],Mg,12,24.305,0.00022,0.00003,0.00022,0.00003,0.00022,0.00003
MMM2 Uvarovite[3][all],Al,13,26.9815384,0.03227,0.00009,0.03300,0.00123,0.02990,0.00169
MMM2 Uvarovite[3][all],Si,14,28.085,0.17317,0.00031,0.17712,0.00656,0.15419,0.00873
MMM2 Uvarovite[3][all],Ca,20,40.078,0.24520,0.00014,0.25079,0.00929,0.15299,0.00866
MMM2 Uvarovite[3][all],Ti,22,47.867,0.00909,0.00004,0.00929,0.00035,0.00475,0.00027
MMM2 Uvarovite[3][all],V,23,50.9415,0.00263,0.00005,0.00269,0.00011,0.00129,0.00008
MMM2 Uvarovite[3][all],Cr,24,51.9961,0.12701,0.00038,0.12991,0.00482,0.06108,0.00346
MMM2 Uvarovite[3][all],Fe,26,55.845,0.00995,0.00006,0.01017,0.00038,0.00445,0.00025
# Notes
#   Analytical total: 0.978 ± 0.036
#   Duane-Hunt: 15.00 keV
#   Residual written to MMM2 Uvarovite[3][4][residual].msa.
#   Plot output to 'MMM2 Uvarovite[3][4][quantify].pdf'
# Spectrum
#   MMM2 Uvarovite[4][all]['MMM2 Uvarovite[4][4].msa']
# Fit warnings
#    None
# Quantification results
Name,Element,Z,A,C[z],U[C[z]],N[z]],U[N[z]],A[z],U[A[z]]
MMM2 Uvarovite[4][all],O,8,15.999,0.38027,0.03646,0.38721,0.02275,0.59133,0.02317
MMM2 Uvarovite[4][all],Mg,12,24.305,0.00028,0.00003,0.00029,0.00003,0.00029,0.00003
MMM2 Uvarovite[4][all],Al,13,26.9815384,0.03312,0.00009,0.03372,0.00126,0.03054,0.00173
MMM2 Uvarovite[4][all],Si,14,28.085,0.17397,0.00031,0.17714,0.00658,0.15411,0.00874
MMM2 Uvarovite[4][all],Ca,20,40.078,0.24556,0.00014,0.25004,0.00928,0.15243,0.00864
MMM2 Uvarovite[4][all],Ti,22,47.867,0.00856,0.00004,0.00872,0.00033,0.00445,0.00025
MMM2 Uvarovite[4][all],V,23,50.9415,0.00260,0.00005,0.00265,0.00011,0.00127,0.00008
MMM2 Uvarovite[4][all],Cr,24,51.9961,0.12827,0.00038,0.13061,0.00486,0.06137,0.00348
MMM2 Uvarovite[4][all],Fe,26,55.845,0.00945,0.00006,0.00962,0.00036,0.00421,0.00024
# Notes
#   Analytical total: 0.982 ± 0.036
#   Duane-Hunt: 15.20 keV
#   Residual written to MMM2 Uvarovite[4][4][residual].msa.
#   Plot output to 'MMM2 Uvarovite[4][4][quantify].pdf'
# Spectrum
#   MMM2 Uvarovite[5][all]['MMM2 Uvarovite[5][4].msa']
# Fit warnings
#    None
# Quantification results
Name,Element,Z,A,C[z],U[C[z]],N[z]],U[N[z]],A[z],U[A[z]]
MMM2 Uvarovite[5][all],O,8,15.999,0.37948,0.03637,0.38633,0.02272,0.59112,0.02317
MMM2 Uvarovite[5][all],Mg,12,24.305,0.00021,0.00003,0.00022,0.00003,0.00022,0.00003
MMM2 Uvarovite[5][all],Al,13,26.9815384,0.03167,0.00009,0.03224,0.00120,0.02925,0.00166
MMM2 Uvarovite[5][all],Si,14,28.085,0.17330,0.00031,0.17643,0.00654,0.15378,0.00872
MMM2 Uvarovite[5][all],Ca,20,40.078,0.24496,0.00014,0.24938,0.00924,0.15232,0.00863
MMM2 Uvarovite[5][all],Ti,22,47.867,0.01024,0.00005,0.01043,0.00039,0.00533,0.00030
MMM2 Uvarovite[5][all],V,23,50.9415,0.00245,0.00005,0.00250,0.00010,0.00120,0.00007
MMM2 Uvarovite[5][all],Cr,24,51.9961,0.13062,0.00038,0.13298,0.00494,0.06261,0.00355
MMM2 Uvarovite[5][all],Fe,26,55.845,0.00933,0.00006,0.00950,0.00036,0.00416,0.00024
# Notes
#   Analytical total: 0.982 ± 0.036
#   Duane-Hunt: 15.10 keV
#   Residual written to MMM2 Uvarovite[5][4][residual].msa.
#   Plot output to 'MMM2 Uvarovite[5][4][quantify].pdf'
# Spectrum
#   MMM2 Uvarovite[6][all]['MMM2 Uvarovite[6][4].msa']
# Fit warnings
#    None
# Quantification results
Name,Element,Z,A,C[z],U[C[z]],N[z]],U[N[z]],A[z],U[A[z]]
MMM2 Uvarovite[6][all],O,8,15.999,0.37917,0.03630,0.38714,0.02272,0.59134,0.02314
MMM2 Uvarovite[6][all],Mg,12,24.305,0.00014,0.00003,0.00014,0.00003,0.00014,0.00003
MMM2 Uvarovite[6][all],Al,13,26.9815384,0.03265,0.00009,0.03334,0.00124,0.03019,0.00171
MMM2 Uvarovite[6][all],Si,14,28.085,0.17361,0.00031,0.17727,0.00658,0.15424,0.00874
MMM2 Uvarovite[6][all],Ca,20,40.078,0.24520,0.00014,0.25036,0.00928,0.15266,0.00864
MMM2 Uvarovite[6][all],Ti,22,47.867,0.00925,0.00004,0.00944,0.00035,0.00482,0.00027
MMM2 Uvarovite[6][all],V,23,50.9415,0.00233,0.00005,0.00238,0.00010,0.00114,0.00007
MMM2 Uvarovite[6][all],Cr,24,51.9961,0.12784,0.00038,0.13053,0.00485,0.06135,0.00348
MMM2 Uvarovite[6][all],Fe,26,55.845,0.00921,0.00006,0.00941,0.00035,0.00412,0.00023
# Notes
#   Analytical total: 0.979 ± 0.036
#   Duane-Hunt: 15.18 keV
#   Residual written to MMM2 Uvarovite[6][4][residual].msa.
#   Plot output to 'MMM2 Uvarovite[6][4][quantify].pdf'
# Spectrum
#   MMM2 Uvarovite[7][all]['MMM2 Uvarovite[7][4].msa']
# Fit warnings
#    None
# Quantification results
Name,Element,Z,A,C[z],U[C[z]],N[z]],U[N[z]],A[z],U[A[z]]
MMM2 Uvarovite[7][all],O,8,15.999,0.37827,0.03623,0.38579,0.02269,0.58993,0.02317
MMM2 Uvarovite[7][all],Mg,12,24.305,0.00025,0.00003,0.00025,0.00003,0.00026,0.00003
MMM2 Uvarovite[7][all],Al,13,26.9815384,0.03327,0.00009,0.03393,0.00126,0.03076,0.00174
MMM2 Uvarovite[7][all],Si,14,28.085,0.17406,0.00031,0.17751,0.00656,0.15463,0.00874
MMM2 Uvarovite[7][all],Ca,20,40.078,0.24536,0.00014,0.25023,0.00925,0.15275,0.00863
MMM2 Uvarovite[7][all],Ti,22,47.867,0.00830,0.00004,0.00847,0.00032,0.00433,0.00025
MMM2 Uvarovite[7][all],V,23,50.9415,0.00257,0.00005,0.00262,0.00011,0.00126,0.00007
MMM2 Uvarovite[7][all],Cr,24,51.9961,0.12789,0.00038,0.13043,0.00483,0.06137,0.00347
MMM2 Uvarovite[7][all],Fe,26,55.845,0.01056,0.00006,0.01077,0.00040,0.00472,0.00027
# Notes
#   Analytical total: 0.981 ± 0.036
#   Duane-Hunt: 15.18 keV
#   Residual written to MMM2 Uvarovite[7][4][residual].msa.
#   Plot output to 'MMM2 Uvarovite[7][4][quantify].pdf'
# Compare warnings
#   Unable to interpret the --compare argument `'SPI Uvarovite'` as a composition. Argument ignored.
#   Parser error:
#   --> 1:1
#   |
#   1 | 'SPI Uvarovite'
#   | ^-------------^
#   |
#   = ''SPI Uvarovite'' is not the name of a known composition.
# Result Comparison
Name,O,Mg,Al,Si,Ca,Ti,V,Cr,Fe,Σ
MMM2 Uvarovite[0][all],0.380 ± 0.037,0.000276 ± 0.000028,0.031565 ± 0.000091,0.17353 ± 0.00031,0.24602 ± 0.00014,0.010126 ± 0.000046,0.002322 ± 0.000047,0.12976 ± 0.00038,0.009506 ± 0.000064,0.984 ± 0.037
MMM2 Uvarovite[1][all],0.380 ± 0.036,0.000270 ± 0.000028,0.031565 ± 0.000091,0.17350 ± 0.00031,0.24540 ± 0.00014,0.010322 ± 0.000046,0.002357 ± 0.000047,0.12954 ± 0.00038,0.009249 ± 0.000063,0.983 ± 0.036
MMM2 Uvarovite[2][all],0.380 ± 0.036,0.000100 ± 0.000028,0.032685 ± 0.000093,0.17361 ± 0.00031,0.24579 ± 0.00014,0.009268 ± 0.000045,0.002161 ± 0.000047,0.12880 ± 0.00038,0.009043 ± 0.000063,0.982 ± 0.036
MMM2 Uvarovite[3][all],0.378 ± 0.036,0.000218 ± 0.000028,0.032266 ± 0.000092,0.17317 ± 0.00031,0.24520 ± 0.00014,0.009087 ± 0.000045,0.002626 ± 0.000047,0.12701 ± 0.00038,0.009945 ± 0.000064,0.978 ± 0.036
MMM2 Uvarovite[4][all],0.380 ± 0.036,0.000284 ± 0.000028,0.033119 ± 0.000094,0.17397 ± 0.00031,0.24556 ± 0.00014,0.008561 ± 0.000044,0.002600 ± 0.000047,0.12827 ± 0.00038,0.009451 ± 0.000064,0.982 ± 0.036
MMM2 Uvarovite[5][all],0.379 ± 0.036,0.000212 ± 0.000028,0.031665 ± 0.000091,0.17330 ± 0.00031,0.24496 ± 0.00014,0.010242 ± 0.000046,0.002454 ± 0.000047,0.13062 ± 0.00038,0.009331 ± 0.000064,0.982 ± 0.036
MMM2 Uvarovite[6][all],0.379 ± 0.036,0.000138 ± 0.000028,0.032651 ± 0.000093,0.17361 ± 0.00031,0.24520 ± 0.00014,0.009247 ± 0.000045,0.002330 ± 0.000047,0.12784 ± 0.00038,0.009214 ± 0.000063,0.979 ± 0.036
MMM2 Uvarovite[7][all],0.378 ± 0.036,0.000249 ± 0.000028,0.033267 ± 0.000094,0.17406 ± 0.00031,0.24536 ± 0.00014,0.008303 ± 0.000044,0.002572 ± 0.000047,0.12789 ± 0.00038,0.010561 ± 0.000065,0.981 ± 0.036
Mean,0.37960 ± 0.00097,0.000218 ± 0.000067,0.03235 ± 0.00069,0.17359 ± 0.00030,0.24544 ± 0.00034,0.00939 ± 0.00077,0.00243 ± 0.00016,0.1287 ± 0.0012,0.00954 ± 0.00049,0.9813 ± 0.0019
