# Configuration
#   Username: Nicholas W. M. Ritchie
#   Timestamp: 2025-10-23 13:31:26
#   Application: spex version 0.0.121
#   References: `N132962 15 keV` revision 199 - 2025-10-23 13:24:40 -04:00
# Configuration warnings
#    None
# Spectrum
#   MMM2 Wollastonite[0][all]['MMM2 Wollastonite[0][4].msa']
# Fit warnings
#    None
# Quantification results
Name,Element,Z,A,C[z],U[C[z]],N[z],U[N[z]],A[z],U[A[z]]
MMM2 Wollastonite[0][all],O,8,15.999,0.42842,0.03715,0.41786,0.02110,0.60407,0.02074
MMM2 Wollastonite[0][all],Si,14,28.085,0.24955,0.00047,0.24340,0.00883,0.20045,0.01051
MMM2 Wollastonite[0][all],Ca,20,40.078,0.34730,0.00021,0.33874,0.01228,0.19548,0.01024
# Notes
#   Analytical total: 1.025 ± 0.037
#   Duane-Hunt: 15.20 keV
#   Residual written to MMM2 Wollastonite[0][4][residual].msa.
#   Plot output to 'MMM2 Wollastonite[0][4][quantify].pdf'
# Spectrum
#   MMM2 Wollastonite[1][all]['MMM2 Wollastonite[1][4].msa']
# Fit warnings
#    None
# Quantification results
Name,Element,Z,A,C[z],U[C[z]],N[z],U[N[z]],A[z],U[A[z]]
MMM2 Wollastonite[1][all],O,8,15.999,0.42715,0.03701,0.41734,0.02107,0.60361,0.02073
MMM2 Wollastonite[1][all],Si,14,28.085,0.24896,0.00047,0.24324,0.00880,0.20041,0.01049
MMM2 Wollastonite[1][all],Ca,20,40.078,0.34740,0.00021,0.33942,0.01228,0.19597,0.01025
# Notes
#   Analytical total: 1.024 ± 0.037
#   Duane-Hunt: 15.20 keV
#   Residual written to MMM2 Wollastonite[1][4][residual].msa.
#   Plot output to 'MMM2 Wollastonite[1][4][quantify].pdf'
# Spectrum
#   MMM2 Wollastonite[2][all]['MMM2 Wollastonite[2][4].msa']
# Fit warnings
#    None
# Quantification results
Name,Element,Z,A,C[z],U[C[z]],N[z],U[N[z]],A[z],U[A[z]]
MMM2 Wollastonite[2][all],O,8,15.999,0.42867,0.03723,0.41756,0.02112,0.60378,0.02078
MMM2 Wollastonite[2][all],Si,14,28.085,0.25000,0.00048,0.24352,0.00884,0.20059,0.01052
MMM2 Wollastonite[2][all],Ca,20,40.078,0.34794,0.00021,0.33892,0.01229,0.19563,0.01026
# Notes
#   Analytical total: 1.027 ± 0.037
#   Duane-Hunt: 15.17 keV
#   Residual written to MMM2 Wollastonite[2][4][residual].msa.
#   Plot output to 'MMM2 Wollastonite[2][4][quantify].pdf'
# Spectrum
#   MMM2 Wollastonite[3][all]['MMM2 Wollastonite[3][4].msa']
# Fit warnings
#    None
# Quantification results
Name,Element,Z,A,C[z],U[C[z]],N[z],U[N[z]],A[z],U[A[z]]
MMM2 Wollastonite[3][all],O,8,15.999,0.42751,0.03705,0.41750,0.02108,0.60377,0.02074
MMM2 Wollastonite[3][all],Si,14,28.085,0.24903,0.00047,0.24320,0.00881,0.20036,0.01049
MMM2 Wollastonite[3][all],Ca,20,40.078,0.34743,0.00021,0.33930,0.01228,0.19588,0.01025
# Notes
#   Analytical total: 1.024 ± 0.037
#   Duane-Hunt: 15.20 keV
#   Residual written to MMM2 Wollastonite[3][4][residual].msa.
#   Plot output to 'MMM2 Wollastonite[3][4][quantify].pdf'
# Spectrum
#   MMM2 Wollastonite[4][all]['MMM2 Wollastonite[4][4].msa']
# Fit warnings
#    None
# Quantification results
Name,Element,Z,A,C[z],U[C[z]],N[z],U[N[z]],A[z],U[A[z]]
MMM2 Wollastonite[4][all],O,8,15.999,0.42720,0.03699,0.41763,0.02106,0.60391,0.02071
MMM2 Wollastonite[4][all],Si,14,28.085,0.24862,0.00047,0.24305,0.00880,0.20021,0.01047
MMM2 Wollastonite[4][all],Ca,20,40.078,0.34710,0.00021,0.33933,0.01227,0.19588,0.01024
# Notes
#   Analytical total: 1.023 ± 0.037
#   Duane-Hunt: 15.20 keV
#   Residual written to MMM2 Wollastonite[4][4][residual].msa.
#   Plot output to 'MMM2 Wollastonite[4][4][quantify].pdf'
# Spectrum
#   MMM2 Wollastonite[5][all]['MMM2 Wollastonite[5][4].msa']
# Fit warnings
#    None
# Quantification results
Name,Element,Z,A,C[z],U[C[z]],N[z],U[N[z]],A[z],U[A[z]]
MMM2 Wollastonite[5][all],O,8,15.999,0.42845,0.03713,0.41827,0.02109,0.60450,0.02072
MMM2 Wollastonite[5][all],Si,14,28.085,0.24896,0.00047,0.24304,0.00882,0.20010,0.01049
MMM2 Wollastonite[5][all],Ca,20,40.078,0.34693,0.00021,0.33869,0.01228,0.19540,0.01024
# Notes
#   Analytical total: 1.024 ± 0.037
#   Duane-Hunt: 15.02 keV
#   Residual written to MMM2 Wollastonite[5][4][residual].msa.
#   Plot output to 'MMM2 Wollastonite[5][4][quantify].pdf'
# Spectrum
#   MMM2 Wollastonite[6][all]['MMM2 Wollastonite[6][4].msa']
# Fit warnings
#    None
# Quantification results
Name,Element,Z,A,C[z],U[C[z]],N[z],U[N[z]],A[z],U[A[z]]
MMM2 Wollastonite[6][all],O,8,15.999,0.42728,0.03701,0.41750,0.02106,0.60375,0.02072
MMM2 Wollastonite[6][all],Si,14,28.085,0.24908,0.00047,0.24338,0.00881,0.20049,0.01049
MMM2 Wollastonite[6][all],Ca,20,40.078,0.34706,0.00021,0.33912,0.01226,0.19576,0.01024
# Notes
#   Analytical total: 1.023 ± 0.037
#   Duane-Hunt: 15.20 keV
#   Residual written to MMM2 Wollastonite[6][4][residual].msa.
#   Plot output to 'MMM2 Wollastonite[6][4][quantify].pdf'
# Spectrum
#   MMM2 Wollastonite[7][all]['MMM2 Wollastonite[7][4].msa']
# Fit warnings
#    None
# Quantification results
Name,Element,Z,A,C[z],U[C[z]],N[z],U[N[z]],A[z],U[A[z]]
MMM2 Wollastonite[7][all],O,8,15.999,0.42657,0.03692,0.41712,0.02104,0.60335,0.02071
MMM2 Wollastonite[7][all],Si,14,28.085,0.24920,0.00047,0.24368,0.00880,0.20079,0.01049
MMM2 Wollastonite[7][all],Ca,20,40.078,0.34689,0.00021,0.33920,0.01225,0.19586,0.01023
# Notes
#   Analytical total: 1.023 ± 0.037
#   Duane-Hunt: 15.02 keV
#   Residual written to MMM2 Wollastonite[7][4][residual].msa.
#   Plot output to 'MMM2 Wollastonite[7][4][quantify].pdf'
# Compare warnings
#   Unable to interpret the --compare argument `'SPI Wollastonite'` as a composition. Argument ignored.
#   Parser error:
#   --> 1:1
#   |
#   1 | 'SPI Wollastonite'
#   | ^----------------^
#   |
#   = ''SPI Wollastonite'' is not the name of a known composition.
# Result Comparison
Name,O,Si,Ca,Σ
MMM2 Wollastonite[0][all],0.428 ± 0.037,0.24955 ± 0.00047,0.34730 ± 0.00021,1.025 ± 0.037
MMM2 Wollastonite[1][all],0.427 ± 0.037,0.24896 ± 0.00047,0.34740 ± 0.00021,1.024 ± 0.037
MMM2 Wollastonite[2][all],0.429 ± 0.037,0.25000 ± 0.00048,0.34794 ± 0.00021,1.027 ± 0.037
MMM2 Wollastonite[3][all],0.428 ± 0.037,0.24903 ± 0.00047,0.34743 ± 0.00021,1.024 ± 0.037
MMM2 Wollastonite[4][all],0.427 ± 0.037,0.24862 ± 0.00047,0.34710 ± 0.00021,1.023 ± 0.037
MMM2 Wollastonite[5][all],0.428 ± 0.037,0.24896 ± 0.00047,0.34693 ± 0.00021,1.024 ± 0.037
MMM2 Wollastonite[6][all],0.427 ± 0.037,0.24908 ± 0.00047,0.34706 ± 0.00021,1.023 ± 0.037
MMM2 Wollastonite[7][all],0.427 ± 0.037,0.24920 ± 0.00047,0.34689 ± 0.00021,1.023 ± 0.037
Mean,0.42766 ± 0.00076,0.24918 ± 0.00042,0.34726 ± 0.00034,1.0241 ± 0.0013
