# Configuration
#   Username: nwmr
#   Timestamp: 2025-10-02 18:31:29.965889415 -04:00
#   Application: spex v0.0.117
#   References: `N132962 15 keV` revision 476 - 2025-10-02 13:33:55 -04:00
# Configuration warnings
#    None
# Spectrum
#   MMM2 Zircon[0][all]['MMM2 Zircon[0][4].msa']
# Fit warnings
#   Removing P from the fit and re-fitting (threshold = 0.0σ).
#   Removing Y from the fit and re-fitting (threshold = 0.0σ).
# Quantification results
Name,Element,Z,A,C[z],U[C[z]],N[z]],U[N[z]],A[z],U[A[z]]
MMM2 Zircon[0][all],O,8,15.999,0.34935,0.03084,0.34347,0.01994,0.66335,0.01974
MMM2 Zircon[0][all],Si,14,28.085,0.15467,0.00074,0.15206,0.00468,0.16730,0.00982
MMM2 Zircon[0][all],P,15,30.973761998,0.00000,0.00049,0.00000,0.00049,0.00000,0.00048
MMM2 Zircon[0][all],Fe,26,55.845,0.00052,0.00006,0.00051,0.00006,0.00028,0.00004
MMM2 Zircon[0][all],Y,39,88.905838,0.00000,0.00021,0.00000,0.00020,0.00000,0.00007
MMM2 Zircon[0][all],Zr,40,91.224,0.50259,0.00324,0.49413,0.01508,0.16737,0.00984
MMM2 Zircon[0][all],Hf,72,178.486,0.01000,0.00029,0.00983,0.00041,0.00170,0.00011
# Notes
#   Analytical total: 1.017 ± 0.031
#   Duane-Hunt: 14.96 keV
#   Residual written to MMM2 Zircon[0][4][residual].msa.
#   Plot output to 'MMM2 Zircon[0][4][quantify].pdf'
# Spectrum
#   MMM2 Zircon[1][all]['MMM2 Zircon[1][4].msa']
# Fit warnings
#   Removing P from the fit and re-fitting (threshold = 0.0σ).
#   Removing Y from the fit and re-fitting (threshold = 0.0σ).
# Quantification results
Name,Element,Z,A,C[z],U[C[z]],N[z]],U[N[z]],A[z],U[A[z]]
MMM2 Zircon[1][all],O,8,15.999,0.34925,0.03082,0.34480,0.01997,0.66432,0.01970
MMM2 Zircon[1][all],Si,14,28.085,0.15349,0.00054,0.15153,0.00466,0.16632,0.00976
MMM2 Zircon[1][all],P,15,30.973761998,0.00000,0.00049,0.00000,0.00049,0.00000,0.00049
MMM2 Zircon[1][all],Fe,26,55.845,0.00117,0.00006,0.00115,0.00007,0.00064,0.00005
MMM2 Zircon[1][all],Y,39,88.905838,0.00000,0.00021,0.00000,0.00020,0.00000,0.00007
MMM2 Zircon[1][all],Zr,40,91.224,0.50242,0.00312,0.49602,0.01518,0.16761,0.00986
MMM2 Zircon[1][all],Hf,72,178.486,0.00659,0.00029,0.00650,0.00035,0.00112,0.00008
# Notes
#   Analytical total: 1.013 ± 0.031
#   Duane-Hunt: 15.01 keV
#   Residual written to MMM2 Zircon[1][4][residual].msa.
#   Plot output to 'MMM2 Zircon[1][4][quantify].pdf'
# Spectrum
#   MMM2 Zircon[2][all]['MMM2 Zircon[2][4].msa']
# Fit warnings
#   Removing P from the fit and re-fitting (threshold = 0.0σ).
#   Removing Y from the fit and re-fitting (threshold = 0.0σ).
#   The k-ratio '[Hf L₂-N₄ + 11 others] = -0.0111 ± 0.0023' is more than 3σ negative.
# Quantification results
Name,Element,Z,A,C[z],U[C[z]],N[z]],U[N[z]],A[z],U[A[z]]
MMM2 Zircon[2][all],O,8,15.999,0.34839,0.03073,0.34383,0.01993,0.66357,0.01971
MMM2 Zircon[2][all],Si,14,28.085,0.15367,0.00061,0.15166,0.00465,0.16673,0.00978
MMM2 Zircon[2][all],P,15,30.973761998,0.00000,0.00049,0.00000,0.00049,0.00000,0.00049
MMM2 Zircon[2][all],Fe,26,55.845,0.00096,0.00006,0.00095,0.00007,0.00052,0.00005
MMM2 Zircon[2][all],Y,39,88.905838,0.00000,0.00021,0.00000,0.00020,0.00000,0.00007
MMM2 Zircon[2][all],Zr,40,91.224,0.50249,0.00316,0.49591,0.01513,0.16785,0.00986
MMM2 Zircon[2][all],Hf,72,178.486,0.00776,0.00029,0.00766,0.00037,0.00132,0.00009
# Notes
#   Analytical total: 1.013 ± 0.031
#   Duane-Hunt: 15.18 keV
#   Residual written to MMM2 Zircon[2][4][residual].msa.
#   Plot output to 'MMM2 Zircon[2][4][quantify].pdf'
# Spectrum
#   MMM2 Zircon[3][all]['MMM2 Zircon[3][4].msa']
# Fit warnings
#   Removing P from the fit and re-fitting (threshold = 0.0σ).
#   Removing Y from the fit and re-fitting (threshold = 0.0σ).
# Quantification results
Name,Element,Z,A,C[z],U[C[z]],N[z]],U[N[z]],A[z],U[A[z]]
MMM2 Zircon[3][all],O,8,15.999,0.34767,0.03065,0.34335,0.01991,0.66301,0.01972
MMM2 Zircon[3][all],Si,14,28.085,0.15366,0.00059,0.15175,0.00465,0.16693,0.00977
MMM2 Zircon[3][all],P,15,30.973761998,0.00000,0.00049,0.00000,0.00049,0.00000,0.00049
MMM2 Zircon[3][all],Fe,26,55.845,0.00139,0.00006,0.00138,0.00007,0.00076,0.00006
MMM2 Zircon[3][all],Y,39,88.905838,0.00000,0.00021,0.00000,0.00020,0.00000,0.00007
MMM2 Zircon[3][all],Zr,40,91.224,0.50239,0.00315,0.49615,0.01511,0.16802,0.00986
MMM2 Zircon[3][all],Hf,72,178.486,0.00746,0.00029,0.00737,0.00036,0.00128,0.00009
# Notes
#   Analytical total: 1.013 ± 0.031
#   Duane-Hunt: 15.01 keV
#   Residual written to MMM2 Zircon[3][4][residual].msa.
#   Plot output to 'MMM2 Zircon[3][4][quantify].pdf'
# Spectrum
#   MMM2 Zircon[4][all]['MMM2 Zircon[4][4].msa']
# Fit warnings
#   Removing P from the fit and re-fitting (threshold = 0.0σ).
#   Removing Y from the fit and re-fitting (threshold = 0.0σ).
#   The k-ratio '[Hf L₂-N₄ + 11 others] = -0.0129 ± 0.0023' is more than 3σ negative.
# Quantification results
