# Configuration
#   Username: nwmr
#   Timestamp: 2025-10-02 18:31:30.329141267 -04:00
#   Application: spex v0.0.117
#   References: `N132962 15 keV` revision 476 - 2025-10-02 13:33:55 -04:00
# Configuration warnings
#    None
# Spectrum
#   MMM2 Zircon-2[0][all]['MMM2 Zircon-2[0][4].msa']
# Fit warnings
#   Removing P from the fit and re-fitting (threshold = 0.0σ).
#   Removing Y from the fit and re-fitting (threshold = 0.0σ).
# Quantification results
Name,Element,Z,A,C[z],U[C[z]],N[z]],U[N[z]],A[z],U[A[z]]
MMM2 Zircon-2[0][all],O,8,15.999,0.35209,0.03125,0.34557,0.02010,0.66518,0.01979
MMM2 Zircon-2[0][all],Si,14,28.085,0.15419,0.00056,0.15134,0.00469,0.16595,0.00981
MMM2 Zircon-2[0][all],P,15,30.973761998,0.00000,0.00050,0.00000,0.00049,0.00000,0.00048
MMM2 Zircon-2[0][all],Fe,26,55.845,0.00069,0.00006,0.00067,0.00006,0.00037,0.00004
MMM2 Zircon-2[0][all],Y,39,88.905838,0.00000,0.00021,0.00000,0.00020,0.00000,0.00007
MMM2 Zircon-2[0][all],Zr,40,91.224,0.50510,0.00315,0.49575,0.01529,0.16736,0.00992
MMM2 Zircon-2[0][all],Hf,72,178.486,0.00679,0.00029,0.00666,0.00035,0.00115,0.00008
# Notes
#   Analytical total: 1.019 ± 0.031
#   Duane-Hunt: 14.98 keV
#   Residual written to MMM2 Zircon-2[0][4][residual].msa.
#   Plot output to 'MMM2 Zircon-2[0][4][quantify].pdf'
# Spectrum
#   MMM2 Zircon-2[1][all]['MMM2 Zircon-2[1][4].msa']
# Fit warnings
#   Removing P from the fit and re-fitting (threshold = 0.0σ).
#   Removing Y from the fit and re-fitting (threshold = 0.0σ).
#   The k-ratio '[Fe K-M₃ + 1 other] = -0.00128 ± 0.00038' is more than 3σ negative.
# Quantification results
Name,Element,Z,A,C[z],U[C[z]],N[z]],U[N[z]],A[z],U[A[z]]
MMM2 Zircon-2[1][all],O,8,15.999,0.35109,0.03113,0.34472,0.02006,0.66444,0.01979
MMM2 Zircon-2[1][all],Si,14,28.085,0.15429,0.00060,0.15150,0.00468,0.16634,0.00982
MMM2 Zircon-2[1][all],P,15,30.973761998,0.00000,0.00050,0.00000,0.00049,0.00000,0.00048
MMM2 Zircon-2[1][all],Fe,26,55.845,0.00069,0.00006,0.00067,0.00006,0.00037,0.00004
MMM2 Zircon-2[1][all],Y,39,88.905838,0.00000,0.00021,0.00000,0.00020,0.00000,0.00007
MMM2 Zircon-2[1][all],Zr,40,91.224,0.50486,0.00317,0.49570,0.01524,0.16757,0.00991
MMM2 Zircon-2[1][all],Hf,72,178.486,0.00754,0.00029,0.00740,0.00037,0.00128,0.00009
# Notes
#   Analytical total: 1.018 ± 0.031
#   Duane-Hunt: 15.05 keV
#   Residual written to MMM2 Zircon-2[1][4][residual].msa.
#   Plot output to 'MMM2 Zircon-2[1][4][quantify].pdf'
# Spectrum
#   MMM2 Zircon-2[2][all]['MMM2 Zircon-2[2][4].msa']
# Fit warnings
#   Removing P from the fit and re-fitting (threshold = 0.0σ).
#   Removing Y from the fit and re-fitting (threshold = 0.0σ).
#   The k-ratio '[Hf M₃-M₅ + 2 others] = -0.133 ± 0.027' is more than 3σ negative.
#   The k-ratio '[Hf M₂-M₄] = -0.103 ± 0.026' is more than 3σ negative.
# Quantification results
Name,Element,Z,A,C[z],U[C[z]],N[z]],U[N[z]],A[z],U[A[z]]
MMM2 Zircon-2[2][all],O,8,15.999,0.35407,0.03149,0.34644,0.02017,0.66622,0.01980
MMM2 Zircon-2[2][all],Si,14,28.085,0.15421,0.00059,0.15088,0.00470,0.16529,0.00981
MMM2 Zircon-2[2][all],P,15,30.973761998,0.00000,0.00050,0.00000,0.00048,0.00000,0.00048
MMM2 Zircon-2[2][all],Fe,26,55.845,0.00074,0.00006,0.00072,0.00006,0.00040,0.00004
MMM2 Zircon-2[2][all],Y,39,88.905838,0.00000,0.00021,0.00000,0.00020,0.00000,0.00007
MMM2 Zircon-2[2][all],Zr,40,91.224,0.50558,0.00317,0.49468,0.01533,0.16684,0.00993
MMM2 Zircon-2[2][all],Hf,72,178.486,0.00744,0.00029,0.00728,0.00036,0.00126,0.00009
# Notes
#   Analytical total: 1.022 ± 0.032
#   Duane-Hunt: 14.94 keV
#   Residual written to MMM2 Zircon-2[2][4][residual].msa.
#   Plot output to 'MMM2 Zircon-2[2][4][quantify].pdf'
# Spectrum
#   MMM2 Zircon-2[3][all]['MMM2 Zircon-2[3][4].msa']
# Fit warnings
#   Removing P from the fit and re-fitting (threshold = 0.0σ).
#   Removing Y from the fit and re-fitting (threshold = 0.0σ).
# Quantification results
Name,Element,Z,A,C[z],U[C[z]],N[z]],U[N[z]],A[z],U[A[z]]
MMM2 Zircon-2[3][all],O,8,15.999,0.35167,0.03126,0.34371,0.02008,0.66381,0.01986
MMM2 Zircon-2[3][all],Si,14,28.085,0.15499,0.00072,0.15148,0.00469,0.16666,0.00986
MMM2 Zircon-2[3][all],P,15,30.973761998,0.00000,0.00050,0.00000,0.00048,0.00000,0.00048
MMM2 Zircon-2[3][all],Fe,26,55.845,0.00058,0.00006,0.00057,0.00006,0.00032,0.00004
MMM2 Zircon-2[3][all],Y,39,88.905838,0.00000,0.00021,0.00000,0.00020,0.00000,0.00007
MMM2 Zircon-2[3][all],Zr,40,91.224,0.50621,0.00326,0.49476,0.01521,0.16758,0.00993
MMM2 Zircon-2[3][all],Hf,72,178.486,0.00969,0.00029,0.00947,0.00041,0.00164,0.00011
# Notes
#   Analytical total: 1.023 ± 0.031
#   Duane-Hunt: 14.93 keV
#   Residual written to MMM2 Zircon-2[3][4][residual].msa.
#   Plot output to 'MMM2 Zircon-2[3][4][quantify].pdf'
# Spectrum
#   MMM2 Zircon-2[4][all]['MMM2 Zircon-2[4][4].msa']
# Fit warnings
#   Removing P from the fit and re-fitting (threshold = 0.0σ).
#   Removing Y from the fit and re-fitting (threshold = 0.0σ).
# Quantification results
Name,Element,Z,A,C[z],U[C[z]],N[z]],U[N[z]],A[z],U[A[z]]
MMM2 Zircon-2[4][all],O,8,15.999,0.35282,0.03137,0.34537,0.02013,0.66515,0.01982
MMM2 Zircon-2[4][all],Si,14,28.085,0.15435,0.00060,0.15109,0.00469,0.16576,0.00982
MMM2 Zircon-2[4][all],P,15,30.973761998,0.00000,0.00050,0.00000,0.00049,0.00000,0.00048
MMM2 Zircon-2[4][all],Fe,26,55.845,0.00109,0.00006,0.00107,0.00007,0.00059,0.00005
MMM2 Zircon-2[4][all],Y,39,88.905838,0.00000,0.00021,0.00000,0.00020,0.00000,0.00007
MMM2 Zircon-2[4][all],Zr,40,91.224,0.50578,0.00318,0.49510,0.01529,0.16723,0.00993
MMM2 Zircon-2[4][all],Hf,72,178.486,0.00754,0.00029,0.00738,0.00036,0.00127,0.00009
# Notes
#   Analytical total: 1.022 ± 0.032
#   Duane-Hunt: 15.00 keV
#   Residual written to MMM2 Zircon-2[4][4][residual].msa.
#   Plot output to 'MMM2 Zircon-2[4][4][quantify].pdf'
# Spectrum
#   MMM2 Zircon-2[5][all]['MMM2 Zircon-2[5][4].msa']
# Fit warnings
#   Removing P from the fit and re-fitting (threshold = 0.0σ).
#   Removing Y from the fit and re-fitting (threshold = 0.0σ).
# Quantification results
