# Configuration
#   Username: Nicholas W. M. Ritchie
#   Timestamp: 2025-10-23 11:28:17
#   Application: spex version 0.0.121
#   References: `N132962 20 keV` revision 88 - 2025-10-23 11:16:18 -04:00
# Configuration warnings
#    None
# Spectrum
#   CC Marjabrite Olivine[0][all]['CC Marjabrite Olivine[0][4].msa']
# Fit warnings
#    None
# Quantification results
Name,Element,Z,A,C[z],U[C[z]],N[z],U[N[z]],A[z],U[A[z]]
CC Marjabrite Olivine[0][all],O,8,15.999,0.44659,0.02352,0.43511,0.01296,0.57483,0.01289
CC Marjabrite Olivine[0][all],Mg,12,24.305,0.29543,0.00144,0.28784,0.00667,0.25031,0.00763
CC Marjabrite Olivine[0][all],Si,14,28.085,0.19205,0.00077,0.18712,0.00434,0.14082,0.00429
CC Marjabrite Olivine[0][all],Fe,26,55.845,0.09230,0.00007,0.08993,0.00207,0.03404,0.00103
# Notes
#   Analytical total: 1.026 ± 0.024
#   Duane-Hunt: 20.18 keV
#   Residual written to CC Marjabrite Olivine[0][4][residual].msa.
# Configuration
#   Username: Nicholas W. M. Ritchie
#   Timestamp: 2025-10-23 11:28:18
#   Application: spex version 0.0.121
#   References: `N132962 20 keV` revision 88 - 2025-10-23 11:16:18 -04:00
# Configuration warnings
#    None
# Spectrum
#   CC Marjabrite Olivine[1][all]['CC Marjabrite Olivine[1][4].msa']
# Fit warnings
#    None
# Quantification results
Name,Element,Z,A,C[z],U[C[z]],N[z],U[N[z]],A[z],U[A[z]]
CC Marjabrite Olivine[1][all],O,8,15.999,0.44372,0.02327,0.43428,0.01291,0.57404,0.01285
CC Marjabrite Olivine[1][all],Mg,12,24.305,0.29438,0.00143,0.28812,0.00664,0.25070,0.00760
CC Marjabrite Olivine[1][all],Si,14,28.085,0.19146,0.00077,0.18739,0.00432,0.14110,0.00428
CC Marjabrite Olivine[1][all],Fe,26,55.845,0.09218,0.00007,0.09021,0.00206,0.03416,0.00103
# Notes
#   Analytical total: 1.022 ± 0.023
#   Duane-Hunt: 20.20 keV
#   Residual written to CC Marjabrite Olivine[1][4][residual].msa.
# Configuration
#   Username: Nicholas W. M. Ritchie
#   Timestamp: 2025-10-23 11:28:18
#   Application: spex version 0.0.121
