# Configuration:
#	Username: nwmr
#	Timestamp: 2025-09-20 16:35:20.292833783 -04:00
#	Application: spex v0.0.111
#	References: `N132962 20 keV` revision 353 - 2025-09-20 16:32:27 -04:00
#
# Configuration Warnings:
#	The Duane-Hunt (19.65 keV) for KCl std differs by more than 1 % from the beam energy (20.00 keV)!!
#	The Duane-Hunt (19.63 keV) for KBr std differs by more than 1 % from the beam energy (20.00 keV)!!
#	There are no suitable references for [Rb L₁-L₃; 0.0006>.
#	There are no suitable references for [Cs M₅-N₃ and 17 others; 0.9731>.
#	There are no suitable references for [Eu M₅-N₃ and 18 others; 0.9890>.
#
# Spectrum:
#	''NIST K1010'' standard for 'N132962' detector['NIST K1010 std.msa']
#
# Fit Warnings:
#	The k-ratio '[Cs M₃-M₅ + 3 others] = -0.0957 ± 0.0051' is more than 3σ negative.
#	The k-ratio '[Sr L₁-L₃] = -0.0739 ± 0.0076' is more than 3σ negative.
#	The k-ratio '[Gd M₃-M₅ + 3 others] = -0.0324 ± 0.0025' is more than 3σ negative.
#
# Quantification results::
Name,Element,Z,A,C[z],U[C[z]],N[z]],U[N[z]],A[z],U[A[z]]
''NIST K1010'' standard for 'N132962' detector,O,8,15.999,0.41944,0.03554,0.40426,0.02045,0.62636,0.01990
''NIST K1010'' standard for 'N132962' detector,Al,13,26.9815384,0.09364,0.00147,0.09025,0.00336,0.08291,0.00456
''NIST K1010'' standard for 'N132962' detector,Si,14,28.085,0.21611,0.00261,0.20829,0.00742,0.18384,0.00993
''NIST K1010'' standard for 'N132962' detector,K,19,39.0983,0.01979,0.00003,0.01907,0.00066,0.01209,0.00064
''NIST K1010'' standard for 'N132962' detector,Ca,20,40.078,0.07477,0.00008,0.07206,0.00248,0.04457,0.00237
''NIST K1010'' standard for 'N132962' detector,Ge,32,72.63,0.01736,0.00004,0.01673,0.00058,0.00571,0.00030
''NIST K1010'' standard for 'N132962' detector,Rb,37,85.4678,0.02045,0.00013,0.01971,0.00069,0.00572,0.00031
''NIST K1010'' standard for 'N132962' detector,Sr,38,87.62,0.09023,0.00188,0.08696,0.00342,0.02460,0.00140
''NIST K1010'' standard for 'N132962' detector,Te,52,127.6,0.00196,0.00005,0.00189,0.00008,0.00037,0.00002
''NIST K1010'' standard for 'N132962' detector,Cs,55,132.90545196,0.02323,0.00011,0.02238,0.00078,0.00418,0.00022
''NIST K1010'' standard for 'N132962' detector,La,57,138.90547,0.01659,0.00009,0.01599,0.00056,0.00285,0.00015
''NIST K1010'' standard for 'N132962' detector,Eu,63,151.964,0.02164,0.00006,0.02086,0.00072,0.00340,0.00018
''NIST K1010'' standard for 'N132962' detector,Gd,64,157.25,0.02236,0.00007,0.02155,0.00074,0.00340,0.00018
# Notes:
#	Analytical total: 1.038 ± 0.036
#	Duane-Hunt: 20.10 keV
#	Residual written to NIST K1010 std[residual].msa.
#	Plot output to 'NIST K1010 std[quantify].pdf'
#
Name,Element,Z,A,C[z],U[C[z]],N[z]],U[N[z]],A[z],U[A[z]]
'NIST K1010',O,8,15.999,0.38961,0.00000,0.38953,0.00000,0.61609,0.00000
'NIST K1010',Al,13,26.9815384,0.08923,0.00000,0.08921,0.00000,0.08366,0.00000
'NIST K1010',Si,14,28.085,0.21017,0.00000,0.21013,0.00000,0.18933,0.00000
'NIST K1010',K,19,39.0983,0.01868,0.00000,0.01867,0.00000,0.01209,0.00000
'NIST K1010',Ca,20,40.078,0.06747,0.00000,0.06745,0.00000,0.04259,0.00000
'NIST K1010',Ge,32,72.63,0.01562,0.00000,0.01561,0.00000,0.00544,0.00000
'NIST K1010',Rb,37,85.4678,0.02057,0.00000,0.02057,0.00000,0.00609,0.00000
'NIST K1010',Sr,38,87.62,0.10054,0.00000,0.10052,0.00000,0.02903,0.00000
'NIST K1010',Te,52,127.6,0.00895,0.00000,0.00895,0.00000,0.00178,0.00000
'NIST K1010',Cs,55,132.90545196,0.02122,0.00000,0.02122,0.00000,0.00404,0.00000
'NIST K1010',La,57,138.90547,0.01919,0.00000,0.01918,0.00000,0.00349,0.00000
'NIST K1010',Eu,63,151.964,0.01943,0.00000,0.01943,0.00000,0.00324,0.00000
'NIST K1010',Gd,64,157.25,0.01952,0.00000,0.01952,0.00000,0.00314,0.00000
