Name,Element,Z,A,C[z],U[C[z]],N[z]],U[N[z]],A[z],U[A[z]]
'NIST K1012',O,8,15.999,0.39342,0.00000,0.39342,0.00000,0.60022,0.00000
'NIST K1012',Na,11,22.98976928,0.01484,0.00000,0.01484,0.00000,0.01575,0.00000
'NIST K1012',Mg,12,24.305,0.09046,0.00000,0.09046,0.00000,0.09085,0.00000
'NIST K1012',Al,13,26.9815384,0.07938,0.00000,0.07938,0.00000,0.07181,0.00000
'NIST K1012',Si,14,28.085,0.18699,0.00000,0.18699,0.00000,0.16251,0.00000
'NIST K1012',P,15,30.973761998,0.00628,0.00000,0.00628,0.00000,0.00495,0.00000
'NIST K1012',K,19,39.0983,0.01660,0.00000,0.01660,0.00000,0.01037,0.00000
'NIST K1012',Ca,20,40.078,0.00400,0.00000,0.00400,0.00000,0.00244,0.00000
'NIST K1012',Ga,31,69.723,0.01488,0.00000,0.01488,0.00000,0.00521,0.00000
'NIST K1012',Se,34,78.971,0.00712,0.00000,0.00712,0.00000,0.00220,0.00000
'NIST K1012',In,49,114.818,0.01654,0.00000,0.01654,0.00000,0.00352,0.00000
'NIST K1012',Cs,55,132.90545196,0.01886,0.00000,0.01886,0.00000,0.00346,0.00000
'NIST K1012',Ba,56,137.327,0.13434,0.00000,0.13434,0.00000,0.02388,0.00000
'NIST K1012',Ce,58,140.116,0.01628,0.00000,0.01628,0.00000,0.00284,0.00000
