# Configuration:
#	Username: nwmr
#	Timestamp: 2025-09-20 16:35:20.912682033 -04:00
#	Application: spex v0.0.111
#	References: `N132962 20 keV` revision 353 - 2025-09-20 16:32:27 -04:00
#
# Configuration Warnings:
#	None
#
# Spectrum:
#	'NIST K1070' standard for 'N132962' detector['NIST K1070 std.msa']
#
# Fit Warnings:
#	The k-ratio '[Pb M₁-M₃] = -0.3691 ± 0.0084' is more than 3σ negative.
#	The k-ratio '[Pb M₁-O₂ + 1 other] = -1.568 ± 0.044' is more than 3σ negative.
#
# Quantification results::
Name,Element,Z,A,C[z],U[C[z]],N[z]],U[N[z]],A[z],U[A[z]]
'NIST K1070' standard for 'N132962' detector,O,8,15.999,0.34614,0.01732,0.34048,0.01137,0.59094,0.01256
'NIST K1070' standard for 'N132962' detector,Mg,12,24.305,0.07337,0.00500,0.07217,0.00473,0.08245,0.00571
'NIST K1070' standard for 'N132962' detector,Si,14,28.085,0.18749,0.00054,0.18443,0.00331,0.18234,0.00551
'NIST K1070' standard for 'N132962' detector,Ca,20,40.078,0.09549,0.00127,0.09393,0.00202,0.06508,0.00212
'NIST K1070' standard for 'N132962' detector,Zn,30,65.38,0.10432,0.00005,0.10261,0.00183,0.04358,0.00131
'NIST K1070' standard for 'N132962' detector,Ba,56,137.327,0.11842,0.00074,0.11649,0.00217,0.02355,0.00072
'NIST K1070' standard for 'N132962' detector,Pb,82,207.2,0.09138,0.00017,0.08989,0.00161,0.01205,0.00036
# Notes:
#	Analytical total: 1.017 ± 0.018
#	Duane-Hunt: 19.97 keV
#	Residual written to NIST K1070 std[residual].msa.
#	Plot output to 'NIST K1070 std[quantify].pdf'
#
Name,Element,Z,A,C[z],U[C[z]],N[z]],U[N[z]],A[z],U[A[z]]
'NIST K1070',O,8,15.999,0.34309,0.00000,0.34309,0.00000,0.59186,0.00000
'NIST K1070',Mg,12,24.305,0.07538,0.00000,0.07538,0.00000,0.08560,0.00000
'NIST K1070',Si,14,28.085,0.18699,0.00000,0.18699,0.00000,0.18376,0.00000
'NIST K1070',Ca,20,40.078,0.08934,0.00000,0.08934,0.00000,0.06152,0.00000
'NIST K1070',Zn,30,65.38,0.10042,0.00000,0.10042,0.00000,0.04239,0.00000
'NIST K1070',Ba,56,137.327,0.11195,0.00000,0.11195,0.00000,0.02250,0.00000
'NIST K1070',Pb,82,207.2,0.09283,0.00000,0.09283,0.00000,0.01237,0.00000
