# Configuration:
#	Username: nwmr
#	Timestamp: 2025-09-20 16:35:21.430560909 -04:00
#	Application: spex v0.0.111
#	References: `N132962 20 keV` revision 353 - 2025-09-20 16:32:27 -04:00
#
# Configuration Warnings:
#	None
#
# Spectrum:
#	'NIST K1229' standard for 'N132962' detector['NIST K1229 std.msa']
#
# Fit Warnings:
#	The k-ratio '[Sr L₁-L₃] = -0.4720 ± 0.0063' is more than 3σ negative.
#
# Quantification results::
Name,Element,Z,A,C[z],U[C[z]],N[z]],U[N[z]],A[z],U[A[z]]
'NIST K1229' standard for 'N132962' detector,O,8,15.999,0.43414,0.03935,0.41333,0.02202,0.62176,0.02139
'NIST K1229' standard for 'N132962' detector,Mg,12,24.305,0.01739,0.00071,0.01655,0.00091,0.01639,0.00113
'NIST K1229' standard for 'N132962' detector,Al,13,26.9815384,0.09285,0.00309,0.08840,0.00427,0.07885,0.00506
'NIST K1229' standard for 'N132962' detector,Si,14,28.085,0.22286,0.00063,0.21218,0.00799,0.18182,0.01027
'NIST K1229' standard for 'N132962' detector,Ca,20,40.078,0.11323,0.00010,0.10780,0.00406,0.06474,0.00365
'NIST K1229' standard for 'N132962' detector,Sr,38,87.62,0.08557,0.00104,0.08147,0.00320,0.02238,0.00129
'NIST K1229' standard for 'N132962' detector,Ba,56,137.327,0.08430,0.00025,0.08026,0.00303,0.01407,0.00079
# Notes:
#	Analytical total: 1.050 ± 0.040
#	Duane-Hunt: 19.97 keV
#	Residual written to NIST K1229 std[residual].msa.
#	Plot output to 'NIST K1229 std[quantify].pdf'
#
Name,Element,Z,A,C[z],U[C[z]],N[z]],U[N[z]],A[z],U[A[z]]
'NIST K1229',O,8,15.999,0.41017,0.00000,0.41017,0.00000,0.61463,0.00000
'NIST K1229',Mg,12,24.305,0.01773,0.00000,0.01773,0.00000,0.01749,0.00000
'NIST K1229',Al,13,26.9815384,0.09341,0.00000,0.09341,0.00000,0.08300,0.00000
'NIST K1229',Si,14,28.085,0.21999,0.00000,0.21999,0.00000,0.18779,0.00000
'NIST K1229',Ca,20,40.078,0.10513,0.00000,0.10513,0.00000,0.06289,0.00000
'NIST K1229',Sr,38,87.62,0.07458,0.00000,0.07458,0.00000,0.02041,0.00000
'NIST K1229',Ba,56,137.327,0.07899,0.00000,0.07899,0.00000,0.01379,0.00000
