# Configuration
#   Username: Nicholas W. M. Ritchie
#   Timestamp: 2025-10-23 13:6:59
#   Application: spex version 0.0.121
#   References: `N132962 20 keV` revision 88 - 2025-10-23 11:16:18 -04:00
# Configuration warnings
#    None
# Spectrum
#   'NIST K1234' standard for 'N132962' detector['NIST K1234 std.msa']
# Fit warnings
#   The k-ratio '[W M₂-M₄] = -0.329 ± 0.013' is more than 3σ negative.
#   The k-ratio '[W L₃-M₃] = -0.110 ± 0.019' is more than 3σ negative.
# Quantification results
Name,Element,Z,A,C[z],U[C[z]],N[z],U[N[z]],A[z],U[A[z]]
'NIST K1234' standard for 'N132962' detector,O,8,15.999,0.41221,0.03844,0.37640,0.02204,0.61390,0.02248
'NIST K1234' standard for 'N132962' detector,Al,13,26.9815384,0.09331,0.00749,0.08521,0.00694,0.08241,0.00769
'NIST K1234' standard for 'N132962' detector,Si,14,28.085,0.21826,0.00080,0.19930,0.00715,0.18517,0.01069
'NIST K1234' standard for 'N132962' detector,Ca,20,40.078,0.13019,0.00012,0.11888,0.00425,0.07740,0.00446
'NIST K1234' standard for 'N132962' detector,Ba,56,137.327,0.22479,0.00105,0.20526,0.00738,0.03900,0.00225
'NIST K1234' standard for 'N132962' detector,W,74,183.84,0.01637,0.00007,0.01495,0.00054,0.00212,0.00012
# Notes
#   Analytical total: 1.095 ± 0.039
#   Duane-Hunt: 20.02 keV
#   Residual written to NIST K1234 std[residual].msa.
#   Plot output to 'NIST K1234 std[quantify].pdf'
# Result Comparison
Name,O,Al,Si,Ca,Ba,W,Σ
'NIST K1234' standard for 'N132962' detector,0.412 ± 0.038,0.0933 ± 0.0075,0.21826 ± 0.00080,0.13019 ± 0.00012,0.2248 ± 0.0010,0.016372 ± 0.000066,1.095 ± 0.039
Nominal,0.3985,0.0915,0.2156,0.1236,0.1549,0.0159,1
RDEV (%),3.4,2,1.2,5.4,45.1,3.2,9.5
