# Configuration
#   Username: Nicholas W. M. Ritchie
#   Timestamp: 2025-10-23 13:7:1
#   Application: spex version 0.0.121
#   References: `N132962 20 keV` revision 88 - 2025-10-23 11:16:18 -04:00
# Configuration warnings
#    None
# Spectrum
#   'NIST K412' standard for 'N132962' detector['NIST K412 std.msa']
# Fit warnings
#    None
# Quantification results
Name,Element,Z,A,C[z],U[C[z]],N[z],U[N[z]],A[z],U[A[z]]
'NIST K412' standard for 'N132962' detector,O,8,15.999,0.47481,0.04556,0.44928,0.02375,0.61209,0.02279
'NIST K412' standard for 'N132962' detector,Mg,12,24.305,0.11991,0.00061,0.11346,0.00492,0.10175,0.00599
'NIST K412' standard for 'N132962' detector,Al,13,26.9815384,0.04937,0.00020,0.04672,0.00202,0.03774,0.00222
'NIST K412' standard for 'N132962' detector,Si,14,28.085,0.21665,0.00064,0.20500,0.00885,0.15910,0.00935
'NIST K412' standard for 'N132962' detector,Ca,20,40.078,0.11633,0.00009,0.11007,0.00475,0.05986,0.00352
'NIST K412' standard for 'N132962' detector,Fe,26,55.845,0.07975,0.00004,0.07546,0.00325,0.02945,0.00173
# Notes
#   Analytical total: 1.057 ± 0.046
#   Duane-Hunt: 20.16 keV
#   Residual written to NIST K412 std[residual].msa.
#   Plot output to 'NIST K412 std[quantify].pdf'
# Result Comparison
Name,O,Mg,Al,Si,Ca,Fe,Σ
'NIST K412' standard for 'N132962' detector,0.475 ± 0.046,0.11991 ± 0.00061,0.04937 ± 0.00020,0.21665 ± 0.00064,0.116326 ± 0.000093,0.079751 ± 0.000044,1.057 ± 0.046
Nominal,0.4276,0.1166,0.0491,0.212,0.109,0.0774,1
RDEV (%),11.1,2.9,0.6,2.2,6.7,3,5.7
