# Configuration:
#	Username: nwmr
#	Timestamp: 2025-09-20 16:35:25.743274991 -04:00
#	Application: spex v0.0.111
#	References: `N132962 20 keV` revision 353 - 2025-09-20 16:32:27 -04:00
#
# Configuration Warnings:
#	There are no suitable references for [Ce M₁-O₂ and 1 others; 0.0013>.
#
# Spectrum:
#	'NIST K497' standard for 'N132962' detector['NIST K497 std.msa']
#
# Fit Warnings:
#	The k-ratio '[Fe L₃-M₅ + 13 others] = -0.03224 ± 0.00044' is more than 3σ negative.
#	The k-ratio '[Ce M₅-N₃ + 18 others] = -0.00997 ± 0.00035' is more than 3σ negative.
#	The k-ratio '[Ta M₁-O₂ + 1 other] = -1.024 ± 0.022' is more than 3σ negative.
#	The k-ratio '[Pb L₂-M₁] = -0.061 ± 0.010' is more than 3σ negative.
#
# Quantification results::
Name,Element,Z,A,C[z],U[C[z]],N[z]],U[N[z]],A[z],U[A[z]]
'NIST K497' standard for 'N132962' detector,O,8,15.999,0.48247,0.04744,0.48500,0.02457,0.64951,0.02239
'NIST K497' standard for 'N132962' detector,Mg,12,24.305,0.06583,0.00042,0.06618,0.00318,0.05834,0.00374
'NIST K497' standard for 'N132962' detector,Al,13,26.9815384,0.06122,0.00030,0.06154,0.00295,0.04887,0.00313
'NIST K497' standard for 'N132962' detector,Si,14,28.085,0.00306,0.00004,0.00308,0.00015,0.00235,0.00015
'NIST K497' standard for 'N132962' detector,P,15,30.973761998,0.33187,0.00147,0.33361,0.01594,0.23077,0.01476
'NIST K497' standard for 'N132962' detector,Ti,22,47.867,0.00263,0.00001,0.00264,0.00013,0.00118,0.00008
'NIST K497' standard for 'N132962' detector,Fe,26,55.845,0.00326,0.00002,0.00328,0.00016,0.00126,0.00008
'NIST K497' standard for 'N132962' detector,Zr,40,91.224,0.02005,0.00019,0.02016,0.00098,0.00473,0.00031
'NIST K497' standard for 'N132962' detector,Ce,58,140.116,0.00651,0.00004,0.00654,0.00031,0.00100,0.00006
'NIST K497' standard for 'N132962' detector,Ta,73,180.94788,0.00824,0.00006,0.00828,0.00040,0.00098,0.00006
'NIST K497' standard for 'N132962' detector,Pb,82,207.2,0.00964,0.00011,0.00969,0.00048,0.00100,0.00007
# Notes:
#	Analytical total: 0.995 ± 0.047
#	Duane-Hunt: 20.18 keV
#	Residual written to NIST K497 std[residual].msa.
#	Plot output to 'NIST K497 std[quantify].pdf'
#
Name,Element,Z,A,C[z],U[C[z]],N[z]],U[N[z]],A[z],U[A[z]]
'NIST K497',Li,3,6.94,0.00001,0.00000,0.00001,0.00000,0.00001,0.00000
'NIST K497',B,5,10.81,0.00047,0.00000,0.00047,0.00000,0.00090,0.00000
'NIST K497',O,8,15.999,0.52445,0.00000,0.52455,0.00000,0.68107,0.00000
'NIST K497',Mg,12,24.305,0.05211,0.00000,0.05212,0.00000,0.04454,0.00000
'NIST K497',Al,13,26.9815384,0.05779,0.00000,0.05780,0.00000,0.04450,0.00000
'NIST K497',Si,14,28.085,0.00126,0.00000,0.00126,0.00000,0.00093,0.00000
'NIST K497',P,15,30.973761998,0.33178,0.00000,0.33184,0.00000,0.22255,0.00000
'NIST K497',Ti,22,47.867,0.00210,0.00000,0.00210,0.00000,0.00091,0.00000
'NIST K497',Fe,26,55.845,0.00245,0.00000,0.00245,0.00000,0.00091,0.00000
'NIST K497',Zr,40,91.224,0.00400,0.00000,0.00400,0.00000,0.00091,0.00000
'NIST K497',Ce,58,140.116,0.00619,0.00000,0.00619,0.00000,0.00092,0.00000
'NIST K497',Ta,73,180.94788,0.00803,0.00000,0.00803,0.00000,0.00092,0.00000
'NIST K497',Pb,82,207.2,0.00919,0.00000,0.00919,0.00000,0.00092,0.00000
