# Configuration:
#	Username: nwmr
#	Timestamp: 2025-09-20 16:35:26.904896639 -04:00
#	Application: spex v0.0.111
#	References: `N132962 20 keV` revision 353 - 2025-09-20 16:32:27 -04:00
#
# Configuration Warnings:
#	There are no suitable references for [Ce M₁-O₂ and 1 others; 0.0013>.
#
# Spectrum:
#	'NIST K919' standard for 'N132962' detector['NIST K919 std.msa']
#
# Fit Warnings:
#	The k-ratio '[Ce M₃-M₅ + 3 others] = -0.0413 ± 0.0091' is more than 3σ negative.
#	The k-ratio '[Cr L₃-M₅ + 13 others] = -0.02144 ± 0.00060' is more than 3σ negative.
#	The k-ratio '[Ce M₅-N₃ + 18 others] = -0.03732 ± 0.00070' is more than 3σ negative.
#
# Quantification results::
Name,Element,Z,A,C[z],U[C[z]],N[z]],U[N[z]],A[z],U[A[z]]
'NIST K919' standard for 'N132962' detector,O,8,15.999,0.31900,0.01598,0.31601,0.01083,0.62848,0.01171
'NIST K919' standard for 'N132962' detector,Si,14,28.085,0.19711,0.00083,0.19526,0.00317,0.22122,0.00700
'NIST K919' standard for 'N132962' detector,Cr,24,51.9961,0.00720,0.00020,0.00714,0.00023,0.00437,0.00018
'NIST K919' standard for 'N132962' detector,Mn,25,54.938043,0.01951,0.00058,0.01933,0.00065,0.01119,0.00048
'NIST K919' standard for 'N132962' detector,Fe,26,55.845,0.02153,0.00060,0.02133,0.00067,0.01215,0.00051
'NIST K919' standard for 'N132962' detector,Co,27,58.933194,0.02187,0.00037,0.02166,0.00050,0.01170,0.00042
'NIST K919' standard for 'N132962' detector,Ni,28,58.6934,0.02431,0.00004,0.02409,0.00038,0.01306,0.00041
'NIST K919' standard for 'N132962' detector,Cu,29,63.54599999999999,0.02396,0.00004,0.02373,0.00038,0.01188,0.00037
'NIST K919' standard for 'N132962' detector,Ba,56,137.327,0.35102,0.00012,0.34774,0.00552,0.08057,0.00254
'NIST K919' standard for 'N132962' detector,Ce,58,140.116,0.02393,0.00035,0.02371,0.00050,0.00538,0.00019
# Notes:
#	Analytical total: 1.009 ± 0.016
#	Duane-Hunt: 20.02 keV
#	Residual written to NIST K919 std[residual].msa.
#	Plot output to 'NIST K919 std[quantify].pdf'
#
Name,Element,Z,A,C[z],U[C[z]],N[z]],U[N[z]],A[z],U[A[z]]
'NIST K919',O,8,15.999,0.31859,0.00000,0.31859,0.00000,0.62786,0.00000
'NIST K919',Si,14,28.085,0.20101,0.00000,0.20101,0.00000,0.22567,0.00000
'NIST K919',Cr,24,51.9961,0.00684,0.00000,0.00684,0.00000,0.00415,0.00000
'NIST K919',Mn,25,54.938043,0.01896,0.00000,0.01896,0.00000,0.01088,0.00000
'NIST K919',Fe,26,55.845,0.02098,0.00000,0.02098,0.00000,0.01185,0.00000
'NIST K919',Co,27,58.933194,0.02132,0.00000,0.02132,0.00000,0.01141,0.00000
'NIST K919',Ni,28,58.6934,0.02357,0.00000,0.02358,0.00000,0.01266,0.00000
'NIST K919',Cu,29,63.54599999999999,0.02397,0.00000,0.02397,0.00000,0.01189,0.00000
'NIST K919',Ba,56,137.327,0.34034,0.00000,0.34034,0.00000,0.07814,0.00000
'NIST K919',Ce,58,140.116,0.02442,0.00000,0.02442,0.00000,0.00550,0.00000
