# Configuration:
#	Username: nwmr
#	Timestamp: 2025-09-20 16:35:27.231262771 -04:00
#	Application: spex v0.0.111
#	References: `N132962 20 keV` revision 353 - 2025-09-20 16:32:27 -04:00
#
# Configuration Warnings:
#	The Duane-Hunt (19.65 keV) for KCl std differs by more than 1 % from the beam energy (20.00 keV)!!
#	The Duane-Hunt (19.63 keV) for KBr std differs by more than 1 % from the beam energy (20.00 keV)!!
#
# Spectrum:
#	'NIST K961' standard for 'N132962' detector['NIST K961 std.msa']
#
# Fit Warnings:
#	The k-ratio '[Mn L₃-M₅ + 13 others] = -0.00525 ± 0.00018' is more than 3σ negative.
#	The k-ratio '[Ti L₃-M₅ + 13 others] = -0.00447 ± 0.00028' is more than 3σ negative.
#
# Quantification results::
Name,Element,Z,A,C[z],U[C[z]],N[z]],U[N[z]],A[z],U[A[z]]
'NIST K961' standard for 'N132962' detector,O,8,15.999,0.49904,0.04633,0.47689,0.02316,0.62898,0.02167
'NIST K961' standard for 'N132962' detector,Na,11,22.98976928,0.02873,0.00005,0.02746,0.00122,0.02520,0.00147
'NIST K961' standard for 'N132962' detector,Mg,12,24.305,0.03069,0.00016,0.02933,0.00131,0.02546,0.00149
'NIST K961' standard for 'N132962' detector,Al,13,26.9815384,0.05935,0.00023,0.05672,0.00252,0.04436,0.00260
'NIST K961' standard for 'N132962' detector,Si,14,28.085,0.30886,0.00083,0.29515,0.01308,0.22176,0.01296
'NIST K961' standard for 'N132962' detector,P,15,30.973761998,0.00246,0.00005,0.00235,0.00011,0.00160,0.00010
'NIST K961' standard for 'N132962' detector,K,19,39.0983,0.02551,0.00004,0.02438,0.00108,0.01316,0.00077
'NIST K961' standard for 'N132962' detector,Ca,20,40.078,0.03899,0.00005,0.03726,0.00165,0.01962,0.00115
'NIST K961' standard for 'N132962' detector,Ti,22,47.867,0.01289,0.00002,0.01232,0.00055,0.00543,0.00032
'NIST K961' standard for 'N132962' detector,Mn,25,54.938043,0.00337,0.00002,0.00322,0.00014,0.00124,0.00007
'NIST K961' standard for 'N132962' detector,Fe,26,55.845,0.03653,0.00003,0.03491,0.00155,0.01319,0.00077
# Notes:
#	Analytical total: 1.046 ± 0.046
#	Duane-Hunt: 20.05 keV
#	Residual written to NIST K961 std[residual].msa.
#	Plot output to 'NIST K961 std[quantify].pdf'
#
Name,Element,Z,A,C[z],U[C[z]],N[z]],U[N[z]],A[z],U[A[z]]
'NIST K961',O,8,15.999,0.46984,0.00000,0.46984,0.00000,0.62163,0.00000
'NIST K961',Na,11,22.98976928,0.02967,0.00000,0.02967,0.00000,0.02732,0.00000
'NIST K961',Mg,12,24.305,0.03015,0.00000,0.03015,0.00000,0.02626,0.00000
'NIST K961',Al,13,26.9815384,0.05822,0.00000,0.05821,0.00000,0.04567,0.00000
'NIST K961',Si,14,28.085,0.29918,0.00000,0.29918,0.00000,0.22549,0.00000
'NIST K961',P,15,30.973761998,0.00218,0.00000,0.00218,0.00000,0.00149,0.00000
'NIST K961',K,19,39.0983,0.02490,0.00000,0.02490,0.00000,0.01348,0.00000
'NIST K961',Ca,20,40.078,0.03574,0.00000,0.03573,0.00000,0.01887,0.00000
'NIST K961',Ti,22,47.867,0.01199,0.00000,0.01199,0.00000,0.00530,0.00000
'NIST K961',Mn,25,54.938043,0.00316,0.00000,0.00316,0.00000,0.00122,0.00000
'NIST K961',Fe,26,55.845,0.03497,0.00000,0.03497,0.00000,0.01326,0.00000
