# Configuration:
#	Username: nwmr
#	Timestamp: 2025-09-20 16:35:27.591417205 -04:00
#	Application: spex v0.0.111
#	References: `N132962 20 keV` revision 353 - 2025-09-20 16:32:27 -04:00
#
# Configuration Warnings:
#	There are no suitable references for [Eu M₅-N₃ and 18 others; 0.9890>.
#	There are no suitable references for [Th N₆-O₄ and 31 others; 0.9532>.
#	There are no suitable references for [U N₃-N₄ and 35 others; 1.0039>.
#
# Spectrum:
#	'NIST K963' standard for 'N132962' detector['NIST K963 std.msa']
#
# Fit Warnings:
#	Removing Ni from the fit and re-fitting (threshold = 0.0σ).
#	The k-ratio '[Zr L₁-L₃] = -0.0353 ± 0.0017' is more than 3σ negative.
#	The k-ratio '[Ti L₃-M₅ + 13 others] = -0.00890 ± 0.00029' is more than 3σ negative.
#	The k-ratio '[Cr L₃-M₅ + 13 others] = -0.02212 ± 0.00033' is more than 3σ negative.
#
# Quantification results::
Name,Element,Z,A,C[z],U[C[z]],N[z]],U[N[z]],A[z],U[A[z]]
'NIST K963' standard for 'N132962' detector,O,8,15.999,0.33015,0.01764,0.32729,0.01177,0.64223,0.01231
'NIST K963' standard for 'N132962' detector,Mg,12,24.305,0.00310,0.00043,0.00307,0.00043,0.00396,0.00056
'NIST K963' standard for 'N132962' detector,Si,14,28.085,0.21179,0.00118,0.20996,0.00379,0.23470,0.00812
'NIST K963' standard for 'N132962' detector,P,15,30.973761998,0.00342,0.00005,0.00339,0.00008,0.00344,0.00013
'NIST K963' standard for 'N132962' detector,Ti,22,47.867,0.00394,0.00006,0.00390,0.00009,0.00256,0.00010
'NIST K963' standard for 'N132962' detector,Cr,24,51.9961,0.00305,0.00010,0.00302,0.00011,0.00182,0.00009
'NIST K963' standard for 'N132962' detector,Ni,28,58.6934,0.00000,0.00005,0.00000,0.00005,0.00000,0.00003
'NIST K963' standard for 'N132962' detector,Zn,30,65.38,0.03042,0.00004,0.03016,0.00053,0.01448,0.00050
'NIST K963' standard for 'N132962' detector,Ge,32,72.63,0.00451,0.00004,0.00447,0.00009,0.00193,0.00007
'NIST K963' standard for 'N132962' detector,Zr,40,91.224,0.00478,0.00007,0.00474,0.00011,0.00163,0.00006
'NIST K963' standard for 'N132962' detector,Ba,56,137.327,0.40115,0.00025,0.39768,0.00698,0.09091,0.00312
'NIST K963' standard for 'N132962' detector,Eu,63,151.964,0.00930,0.00029,0.00922,0.00032,0.00190,0.00009
'NIST K963' standard for 'N132962' detector,Th,90,232.0377,0.00202,0.00005,0.00200,0.00006,0.00027,0.00001
'NIST K963' standard for 'N132962' detector,U,92,238.02891,0.00111,0.00005,0.00110,0.00005,0.00014,0.00001
# Notes:
#	Analytical total: 1.009 ± 0.018
#	Duane-Hunt: 19.96 keV
#	Residual written to NIST K963 std[residual].msa.
#	Plot output to 'NIST K963 std[quantify].pdf'
#
Name,Element,Z,A,C[z],U[C[z]],N[z]],U[N[z]],A[z],U[A[z]]
'NIST K963',O,8,15.999,0.31925,0.00000,0.31928,0.00000,0.63035,0.00000
'NIST K963',Mg,12,24.305,0.00139,0.00000,0.00139,0.00000,0.00180,0.00000
'NIST K963',Si,14,28.085,0.21994,0.00000,0.21996,0.00000,0.24739,0.00000
'NIST K963',P,15,30.973761998,0.00358,0.00000,0.00358,0.00000,0.00365,0.00000
'NIST K963',Ti,22,47.867,0.00276,0.00000,0.00276,0.00000,0.00182,0.00000
'NIST K963',Cr,24,51.9961,0.00301,0.00000,0.00301,0.00000,0.00183,0.00000
'NIST K963',Ni,28,58.6934,0.00338,0.00000,0.00338,0.00000,0.00182,0.00000
'NIST K963',Zn,30,65.38,0.03005,0.00000,0.03005,0.00000,0.01452,0.00000
'NIST K963',Ge,32,72.63,0.00423,0.00000,0.00423,0.00000,0.00184,0.00000
'NIST K963',Zr,40,91.224,0.00526,0.00000,0.00526,0.00000,0.00182,0.00000
'NIST K963',Ba,56,137.327,0.39524,0.00000,0.39528,0.00000,0.09092,0.00000
'NIST K963',Eu,63,151.964,0.00881,0.00000,0.00881,0.00000,0.00183,0.00000
'NIST K963',Th,90,232.0377,0.00132,0.00000,0.00132,0.00000,0.00018,0.00000
'NIST K963',U,92,238.02891,0.00170,0.00000,0.00170,0.00000,0.00023,0.00000
