# Configuration:
#	Username: nwmr
#	Timestamp: 2025-09-20 16:35:27.987631534 -04:00
#	Application: spex v0.0.111
#	References: `N132962 20 keV` revision 353 - 2025-09-20 16:32:27 -04:00
#
# Configuration Warnings:
#	There are no suitable references for [Eu M₅-N₃ and 18 others; 0.9890>.
#	There are no suitable references for [Th N₆-O₄ and 31 others; 0.9532>.
#	There are no suitable references for [U N₃-N₄ and 35 others; 1.0039>.
#
# Spectrum:
#	'NIST K968' standard for 'N132962' detector['NIST K968 std.msa']
#
# Fit Warnings:
#	The k-ratio '[Pb M₃-M₅ + 1 other] = -0.0218 ± 0.0047' is more than 3σ negative.
#	The k-ratio '[Cr L₃-M₅ + 13 others] = -0.01212 ± 0.00030' is more than 3σ negative.
#	The k-ratio '[Pb M₂-M₄] = -1.630 ± 0.061' is more than 3σ negative.
#
# Quantification results::
Name,Element,Z,A,C[z],U[C[z]],N[z]],U[N[z]],A[z],U[A[z]]
'NIST K968' standard for 'N132962' detector,O,8,15.999,0.18441,0.01594,0.17426,0.01244,0.60884,0.02076
'NIST K968' standard for 'N132962' detector,Mg,12,24.305,0.01444,0.00201,0.01365,0.00188,0.03139,0.00454
'NIST K968' standard for 'N132962' detector,P,15,30.973761998,0.00210,0.00002,0.00199,0.00004,0.00358,0.00019
'NIST K968' standard for 'N132962' detector,Ti,22,47.867,0.00314,0.00015,0.00297,0.00014,0.00347,0.00024
'NIST K968' standard for 'N132962' detector,Cr,24,51.9961,0.00163,0.00002,0.00154,0.00003,0.00166,0.00009
'NIST K968' standard for 'N132962' detector,Ni,28,58.6934,0.00382,0.00006,0.00361,0.00008,0.00344,0.00019
'NIST K968' standard for 'N132962' detector,Ge,32,72.63,0.27418,0.00014,0.25909,0.00394,0.19941,0.01053
'NIST K968' standard for 'N132962' detector,Zr,40,91.224,0.00204,0.00004,0.00193,0.00005,0.00118,0.00007
'NIST K968' standard for 'N132962' detector,Ba,56,137.327,0.00476,0.00015,0.00450,0.00015,0.00183,0.00011
'NIST K968' standard for 'N132962' detector,Eu,63,151.964,0.00574,0.00004,0.00543,0.00009,0.00200,0.00011
'NIST K968' standard for 'N132962' detector,Pb,82,207.2,0.55992,0.00034,0.52911,0.00804,0.14274,0.00754
'NIST K968' standard for 'N132962' detector,Th,90,232.0377,0.00123,0.00014,0.00116,0.00013,0.00028,0.00004
'NIST K968' standard for 'N132962' detector,U,92,238.02891,0.00082,0.00010,0.00077,0.00009,0.00018,0.00002
# Notes:
#	Analytical total: 1.058 ± 0.016
#	Duane-Hunt: 20.03 keV
#	Residual written to NIST K968 std[residual].msa.
#	Plot output to 'NIST K968 std[quantify].pdf'
#
Name,Element,Z,A,C[z],U[C[z]],N[z]],U[N[z]],A[z],U[A[z]]
'NIST K968',O,8,15.999,0.16622,0.00000,0.16621,0.00000,0.61273,0.00000
'NIST K968',Mg,12,24.305,0.00078,0.00000,0.00078,0.00000,0.00190,0.00000
'NIST K968',P,15,30.973761998,0.00201,0.00000,0.00201,0.00000,0.00382,0.00000
'NIST K968',Ti,22,47.867,0.00156,0.00000,0.00156,0.00000,0.00192,0.00000
'NIST K968',Cr,24,51.9961,0.00171,0.00000,0.00171,0.00000,0.00194,0.00000
'NIST K968',Ni,28,58.6934,0.00189,0.00000,0.00189,0.00000,0.00190,0.00000
'NIST K968',Ge,32,72.63,0.26270,0.00000,0.26267,0.00000,0.21331,0.00000
'NIST K968',Zr,40,91.224,0.00296,0.00000,0.00296,0.00000,0.00191,0.00000
'NIST K968',Ba,56,137.327,0.00448,0.00000,0.00448,0.00000,0.00192,0.00000
'NIST K968',Eu,63,151.964,0.00492,0.00000,0.00492,0.00000,0.00191,0.00000
'NIST K968',Pb,82,207.2,0.54910,0.00000,0.54904,0.00000,0.15629,0.00000
'NIST K968',Th,90,232.0377,0.00084,0.00000,0.00084,0.00000,0.00021,0.00000
'NIST K968',U,92,238.02891,0.00093,0.00000,0.00093,0.00000,0.00023,0.00000
