# Configuration
#	Username: nritchie
#	Timestamp: 2025-09-15 16:33:45.035842700 -04:00
#	Application: spex v0.0.108
#	References: `N132962 20 keV` revision 365 - 2025-09-15 15:44:22 -04:00
#
# Configuration Warnings
#	The Duane-Hunt (19.65 keV) for KCl std differs by more than 1 % from the beam energy (20.00 keV)!!
#	The Duane-Hunt (19.63 keV) for KBr std differs by more than 1 % from the beam energy (20.00 keV)!!
#	There are no suitable references for [Cs M₅-N₃ and 17 others; 0.9731>.
#	There are no suitable references for [Sm M₁-M₃ and 3 others; 0.0118>.
#
# Spectrum
#	'NIST K979' standard for 'N132962' detector['NIST K979 std.msa']
#
# Fit Warnings
#	The k-ratio '[Cs M₃-M₅ + 3 others] = -0.1148 ± 0.0057' is more than 3σ negative.
#	The k-ratio '[Sr L₁-L₃] = -0.1120 ± 0.0047' is more than 3σ negative.
#	The k-ratio '[Ti L₃-M₅ + 13 others] = -0.00184 ± 0.00048' is more than 3σ negative.
#	The k-ratio '[Sm M₁-O₃ + 1 other] = -4.167 ± 0.078' is more than 3σ negative.
#
#
# Quantification results:
Name,Element,Z,A,C[z],U[C[z]],N[z]],U[N[z]],A[z],U[A[z]]
'NIST K979' standard for 'N132962' detector,O,8,15.999,0.42585,0.03763,0.40791,0.02139,0.62980,0.02067
'NIST K979' standard for 'N132962' detector,Al,13,26.9815384,0.08945,0.00162,0.08569,0.00341,0.07845,0.00456
'NIST K979' standard for 'N132962' detector,Si,14,28.085,0.21659,0.00268,0.20746,0.00777,0.18247,0.01032
'NIST K979' standard for 'N132962' detector,K,19,39.0983,0.01939,0.00003,0.01858,0.00067,0.01174,0.00065
'NIST K979' standard for 'N132962' detector,Ca,20,40.078,0.07218,0.00008,0.06914,0.00251,0.04261,0.00237
'NIST K979' standard for 'N132962' detector,Ti,22,47.867,0.01449,0.00002,0.01388,0.00050,0.00716,0.00040
'NIST K979' standard for 'N132962' detector,Sr,38,87.62,0.12133,0.00215,0.11622,0.00458,0.03276,0.00191
'NIST K979' standard for 'N132962' detector,Nb,41,92.90637,0.01278,0.00056,0.01224,0.00069,0.00325,0.00023
'NIST K979' standard for 'N132962' detector,Sb,51,121.76,0.00602,0.00007,0.00576,0.00022,0.00117,0.00007
'NIST K979' standard for 'N132962' detector,Cs,55,132.90545196,0.02221,0.00011,0.02128,0.00078,0.00395,0.00022
'NIST K979' standard for 'N132962' detector,Sm,62,150.36,0.02301,0.00007,0.02204,0.00080,0.00362,0.00020
'NIST K979' standard for 'N132962' detector,Dy,66,162.5,0.02069,0.00006,0.01982,0.00072,0.00301,0.00017
# Notes
#	Analytical total: 1.044 ± 0.038
#	Residual written to NIST K979 std[residual].msa.
#	Plot output to 'NIST K979 std[quantify].pdf'
#
Name,Element,Z,A,C[z],U[C[z]],N[z]],U[N[z]],A[z],U[A[z]]
'NIST K979',Li,3,6.94,0.01045,0.00000,0.01045,0.00000,0.03595,0.00000
'NIST K979',O,8,15.999,0.40578,0.00000,0.40570,0.00000,0.60535,0.00000
'NIST K979',Al,13,26.9815384,0.08923,0.00000,0.08921,0.00000,0.07893,0.00000
'NIST K979',Si,14,28.085,0.21017,0.00000,0.21013,0.00000,0.17861,0.00000
'NIST K979',K,19,39.0983,0.01868,0.00000,0.01867,0.00000,0.01140,0.00000
'NIST K979',Ca,20,40.078,0.06747,0.00000,0.06745,0.00000,0.04018,0.00000
'NIST K979',Ti,22,47.867,0.01349,0.00000,0.01349,0.00000,0.00673,0.00000
'NIST K979',Sr,38,87.62,0.10054,0.00000,0.10052,0.00000,0.02739,0.00000
'NIST K979',Nb,41,92.90637,0.01573,0.00000,0.01573,0.00000,0.00404,0.00000
'NIST K979',Sb,51,121.76,0.00843,0.00000,0.00843,0.00000,0.00165,0.00000
'NIST K979',Cs,55,132.90545196,0.02122,0.00000,0.02122,0.00000,0.00381,0.00000
'NIST K979',Sm,62,150.36,0.01940,0.00000,0.01940,0.00000,0.00308,0.00000
'NIST K979',Dy,66,162.5,0.01961,0.00000,0.01960,0.00000,0.00288,0.00000
