# Configuration
#	Username: nritchie
#	Timestamp: 2025-09-17 15:05:54.169434 -04:00
#	Application: spex v0.0.110
#	References: `N132962 20 keV` revision 365 - 2025-09-15 15:44:22 -04:00
#
# Configuration Warnings
#	The Duane-Hunt (19.65 keV) for KCl std differs by more than 1 % from the beam energy (20.00 keV)!!
#	The Duane-Hunt (19.63 keV) for KBr std differs by more than 1 % from the beam energy (20.00 keV)!!
#
# Spectrum
#	SPI MM1 Albite[0][all]['SPI MM1 Albite[0][4].msa']
#
# Fit Warnings
#	None
#
#
# Quantification results:
Name,Element,Z,A,C[z],U[C[z]],N[z]],U[N[z]],A[z],U[A[z]]
SPI MM1 Albite[0][all],O,8,15.999,0.47644,0.04293,0.47925,0.02249,0.60734,0.02149
SPI MM1 Albite[0][all],Na,11,22.98976928,0.08733,0.00018,0.08784,0.00380,0.07747,0.00424
SPI MM1 Albite[0][all],Al,13,26.9815384,0.10315,0.00041,0.10376,0.00450,0.07797,0.00428
SPI MM1 Albite[0][all],Si,14,28.085,0.32536,0.00095,0.32727,0.01415,0.23626,0.01294
SPI MM1 Albite[0][all],K,19,39.0983,0.00080,0.00002,0.00080,0.00004,0.00042,0.00003
SPI MM1 Albite[0][all],Ca,20,40.078,0.00107,0.00002,0.00108,0.00005,0.00055,0.00003
# Notes
#	Analytical total: 0.994 ± 0.043
#	Residual written to SPI MM1 Albite[0][4][residual].msa.
#
# Spectrum
#	SPI MM1 Albite[1][all]['SPI MM1 Albite[1][4].msa']
#
# Fit Warnings
#	None
#
#
# Quantification results:
Name,Element,Z,A,C[z],U[C[z]],N[z]],U[N[z]],A[z],U[A[z]]
SPI MM1 Albite[1][all],O,8,15.999,0.47613,0.04292,0.47907,0.02250,0.60709,0.02151
SPI MM1 Albite[1][all],Na,11,22.98976928,0.08748,0.00018,0.08802,0.00381,0.07762,0.00425
SPI MM1 Albite[1][all],Al,13,26.9815384,0.10328,0.00041,0.10392,0.00450,0.07809,0.00428
SPI MM1 Albite[1][all],Si,14,28.085,0.32554,0.00095,0.32755,0.01416,0.23646,0.01295
SPI MM1 Albite[1][all],K,19,39.0983,0.00065,0.00002,0.00065,0.00004,0.00034,0.00002
SPI MM1 Albite[1][all],Ca,20,40.078,0.00078,0.00002,0.00078,0.00004,0.00039,0.00002
# Notes
#	Analytical total: 0.994 ± 0.043
#	Residual written to SPI MM1 Albite[1][4][residual].msa.
#
