# Configuration
#   Username: Nicholas W. M. Ritchie
#   Timestamp: 2025-10-23 12:49:27
#   Application: spex version 0.0.121
#   References: `N132962 20 keV` revision 88 - 2025-10-23 11:16:18 -04:00
# Configuration warnings
#    None
# Spectrum
#   SPI MM1 Almandine[0][all]['SPI MM1 Almandine[0][4].msa']
# Fit warnings
#   The k-ratio '[Mn L₃-M₅ + 13 others] = -0.02654 ± 0.00052' is more than 3σ negative.
# Quantification results
Name,Element,Z,A,C[z],U[C[z]],N[z],U[N[z]],A[z],U[A[z]]
SPI MM1 Almandine[0][all],O,8,15.999,0.43284,0.03315,0.42147,0.01868,0.60260,0.01835
SPI MM1 Almandine[0][all],Mg,12,24.305,0.06120,0.00034,0.05959,0.00195,0.05608,0.00260
SPI MM1 Almandine[0][all],Al,13,26.9815384,0.11760,0.00048,0.11451,0.00372,0.09708,0.00450
SPI MM1 Almandine[0][all],Si,14,28.085,0.18675,0.00061,0.18184,0.00589,0.14811,0.00685
SPI MM1 Almandine[0][all],Ca,20,40.078,0.03134,0.00005,0.03052,0.00099,0.01742,0.00080
SPI MM1 Almandine[0][all],Ti,22,47.867,0.00010,0.00002,0.00009,0.00002,0.00004,0.00001
SPI MM1 Almandine[0][all],Mn,25,54.938043,0.00501,0.00004,0.00488,0.00016,0.00203,0.00009
SPI MM1 Almandine[0][all],Fe,26,55.845,0.19214,0.00012,0.18709,0.00604,0.07663,0.00354
# Notes
#   Analytical total: 1.027 ± 0.033
#   Duane-Hunt: 20.13 keV
#   Residual written to SPI MM1 Almandine[0][4][residual].msa.
#   Plot output to 'SPI MM1 Almandine[0][4][quantify].pdf'
# Spectrum
#   SPI MM1 Almandine[1][all]['SPI MM1 Almandine[1][4].msa']
# Fit warnings
#   The k-ratio '[Mn L₃-M₅ + 13 others] = -0.03066 ± 0.00052' is more than 3σ negative.
# Quantification results
Name,Element,Z,A,C[z],U[C[z]],N[z],U[N[z]],A[z],U[A[z]]
SPI MM1 Almandine[1][all],O,8,15.999,0.43215,0.03309,0.42034,0.01866,0.60196,0.01835
SPI MM1 Almandine[1][all],Mg,12,24.305,0.06059,0.00033,0.05894,0.00192,0.05556,0.00258
SPI MM1 Almandine[1][all],Al,13,26.9815384,0.11803,0.00049,0.11481,0.00372,0.09749,0.00451
SPI MM1 Almandine[1][all],Si,14,28.085,0.18629,0.00061,0.18120,0.00585,0.14782,0.00683
SPI MM1 Almandine[1][all],Ca,20,40.078,0.03143,0.00005,0.03057,0.00099,0.01748,0.00081
SPI MM1 Almandine[1][all],Ti,22,47.867,0.00006,0.00002,0.00006,0.00002,0.00003,0.00001
SPI MM1 Almandine[1][all],Mn,25,54.938043,0.00513,0.00004,0.00499,0.00016,0.00208,0.00010
SPI MM1 Almandine[1][all],Fe,26,55.845,0.19442,0.00012,0.18911,0.00609,0.07759,0.00358
# Notes
#   Analytical total: 1.028 ± 0.033
#   Duane-Hunt: 20.20 keV
#   Residual written to SPI MM1 Almandine[1][4][residual].msa.
#   Plot output to 'SPI MM1 Almandine[1][4][quantify].pdf'
# Spectrum
#   SPI MM1 Almandine[2][all]['SPI MM1 Almandine[2][4].msa']
# Fit warnings
#   The k-ratio '[Mn L₃-M₅ + 13 others] = -0.02813 ± 0.00052' is more than 3σ negative.
# Quantification results
Name,Element,Z,A,C[z],U[C[z]],N[z],U[N[z]],A[z],U[A[z]]
SPI MM1 Almandine[2][all],O,8,15.999,0.43246,0.03312,0.42118,0.01868,0.60239,0.01835
SPI MM1 Almandine[2][all],Mg,12,24.305,0.06099,0.00033,0.05939,0.00194,0.05592,0.00260
