# Configuration
#   Username: Nicholas W. M. Ritchie
#   Timestamp: 2025-10-23 12:49:27
#   Application: spex version 0.0.121
#   References: `N132962 20 keV` revision 88 - 2025-10-23 11:16:18 -04:00
# Configuration warnings
#    None
# Spectrum
#   SPI MM1 Andradite[0][all]['SPI MM1 Andradite[0][4].msa']
# Fit warnings
#   Removing Ti from the fit and re-fitting (threshold = 0.0σ).
#   The k-ratio '[Mn L₃-M₅ + 13 others] = -0.03616 ± 0.00045' is more than 3σ negative.
# Quantification results
Name,Element,Z,A,C[z],U[C[z]],N[z],U[N[z]],A[z],U[A[z]]
SPI MM1 Andradite[0][all],O,8,15.999,0.41970,0.04803,0.39642,0.02738,0.61028,0.02722
SPI MM1 Andradite[0][all],Mg,12,24.305,0.00026,0.00003,0.00025,0.00003,0.00025,0.00003
SPI MM1 Andradite[0][all],Al,13,26.9815384,0.02525,0.00012,0.02385,0.00109,0.02177,0.00152
SPI MM1 Andradite[0][all],Si,14,28.085,0.17230,0.00053,0.16274,0.00739,0.14272,0.00997
SPI MM1 Andradite[0][all],Ca,20,40.078,0.25113,0.00018,0.23720,0.01076,0.14577,0.01018
SPI MM1 Andradite[0][all],Ti,22,47.867,0.00000,0.00002,0.00000,0.00002,0.00000,0.00001
SPI MM1 Andradite[0][all],Mn,25,54.938043,0.00311,0.00004,0.00293,0.00014,0.00132,0.00009
SPI MM1 Andradite[0][all],Fe,26,55.845,0.18697,0.00013,0.17660,0.00801,0.07789,0.00544
# Notes
#   Analytical total: 1.059 ± 0.048
#   Duane-Hunt: 20.20 keV
#   Residual written to SPI MM1 Andradite[0][4][residual].msa.
#   Plot output to 'SPI MM1 Andradite[0][4][quantify].pdf'
# Spectrum
#   SPI MM1 Andradite[1][all]['SPI MM1 Andradite[1][4].msa']
# Fit warnings
#   The k-ratio '[Mn L₃-M₅ + 13 others] = -0.01657 ± 0.00040' is more than 3σ negative.
# Quantification results
Name,Element,Z,A,C[z],U[C[z]],N[z],U[N[z]],A[z],U[A[z]]
SPI MM1 Andradite[1][all],O,8,15.999,0.44059,0.05209,0.43178,0.02901,0.64619,0.02703
SPI MM1 Andradite[1][all],Mg,12,24.305,0.00010,0.00003,0.00010,0.00003,0.00010,0.00003
SPI MM1 Andradite[1][all],Al,13,26.9815384,0.02082,0.00009,0.02041,0.00105,0.01811,0.00139
SPI MM1 Andradite[1][all],Si,14,28.085,0.12729,0.00039,0.12475,0.00638,0.10635,0.00813
SPI MM1 Andradite[1][all],Ca,20,40.078,0.28955,0.00018,0.28376,0.01449,0.16953,0.01295
SPI MM1 Andradite[1][all],Ti,22,47.867,0.00030,0.00003,0.00030,0.00003,0.00015,0.00002
SPI MM1 Andradite[1][all],Mn,25,54.938043,0.00269,0.00004,0.00263,0.00014,0.00115,0.00009
SPI MM1 Andradite[1][all],Fe,26,55.845,0.13906,0.00012,0.13628,0.00696,0.05843,0.00446
# Notes
#   Analytical total: 1.020 ± 0.052
#   Duane-Hunt: 20.20 keV
#   Residual written to SPI MM1 Andradite[1][4][residual].msa.
#   Plot output to 'SPI MM1 Andradite[1][4][quantify].pdf'
# Spectrum
#   SPI MM1 Andradite[2][all]['SPI MM1 Andradite[2][4].msa']
# Fit warnings
#   The k-ratio '[Mn L₃-M₅ + 13 others] = -0.02941 ± 0.00045' is more than 3σ negative.
# Quantification results
Name,Element,Z,A,C[z],U[C[z]],N[z],U[N[z]],A[z],U[A[z]]
SPI MM1 Andradite[2][all],O,8,15.999,0.42603,0.04887,0.40015,0.02754,0.61417,0.02719
SPI MM1 Andradite[2][all],Mg,12,24.305,0.00025,0.00003,0.00024,0.00003,0.00024,0.00003
SPI MM1 Andradite[2][all],Al,13,26.9815384,0.02486,0.00011,0.02335,0.00108,0.02125,0.00150
SPI MM1 Andradite[2][all],Si,14,28.085,0.17179,0.00053,0.16136,0.00742,0.14108,0.00995
SPI MM1 Andradite[2][all],Ca,20,40.078,0.25108,0.00018,0.23583,0.01083,0.14449,0.01018
SPI MM1 Andradite[2][all],Ti,22,47.867,0.00001,0.00003,0.00001,0.00002,0.00001,0.00001
SPI MM1 Andradite[2][all],Mn,25,54.938043,0.00308,0.00004,0.00289,0.00014,0.00129,0.00009
SPI MM1 Andradite[2][all],Fe,26,55.845,0.18758,0.00013,0.17618,0.00809,0.07747,0.00546
# Notes
#   Analytical total: 1.065 ± 0.049
#   Duane-Hunt: 20.20 keV
#   Residual written to SPI MM1 Andradite[2][4][residual].msa.
#   Plot output to 'SPI MM1 Andradite[2][4][quantify].pdf'
# Spectrum
#   SPI MM1 Andradite[3][all]['SPI MM1 Andradite[3][4].msa']
# Fit warnings
#   Removing Ti from the fit and re-fitting (threshold = 0.0σ).
#   The k-ratio '[Mn L₃-M₅ + 13 others] = -0.03296 ± 0.00045' is more than 3σ negative.
# Quantification results
Name,Element,Z,A,C[z],U[C[z]],N[z],U[N[z]],A[z],U[A[z]]
SPI MM1 Andradite[3][all],O,8,15.999,0.42321,0.04833,0.39957,0.02740,0.61151,0.02713
SPI MM1 Andradite[3][all],Mg,12,24.305,0.00015,0.00003,0.00014,0.00003,0.00014,0.00003
SPI MM1 Andradite[3][all],Al,13,26.9815384,0.02999,0.00013,0.02832,0.00130,0.02570,0.00180
SPI MM1 Andradite[3][all],Si,14,28.085,0.17318,0.00053,0.16351,0.00747,0.14255,0.00996
SPI MM1 Andradite[3][all],Ca,20,40.078,0.25164,0.00018,0.23758,0.01084,0.14515,0.01014
SPI MM1 Andradite[3][all],Ti,22,47.867,0.00000,0.00002,0.00000,0.00002,0.00000,0.00001
SPI MM1 Andradite[3][all],Mn,25,54.938043,0.00328,0.00004,0.00309,0.00015,0.00138,0.00010
SPI MM1 Andradite[3][all],Fe,26,55.845,0.17770,0.00013,0.16778,0.00766,0.07356,0.00514
# Notes
#   Analytical total: 1.059 ± 0.048
#   Duane-Hunt: 20.19 keV
#   Residual written to SPI MM1 Andradite[3][4][residual].msa.
#   Plot output to 'SPI MM1 Andradite[3][4][quantify].pdf'
# Spectrum
#   SPI MM1 Andradite[4][all]['SPI MM1 Andradite[4][4].msa']
# Fit warnings
#   Removing Ti from the fit and re-fitting (threshold = 0.0σ).
#   The k-ratio '[Mn L₃-M₅ + 13 others] = -0.03270 ± 0.00045' is more than 3σ negative.
# Quantification results
Name,Element,Z,A,C[z],U[C[z]],N[z],U[N[z]],A[z],U[A[z]]
SPI MM1 Andradite[4][all],O,8,15.999,0.43501,0.05054,0.41122,0.02813,0.62415,0.02726
SPI MM1 Andradite[4][all],Mg,12,24.305,0.00026,0.00003,0.00025,0.00003,0.00024,0.00003
SPI MM1 Andradite[4][all],Al,13,26.9815384,0.02691,0.00012,0.02544,0.00122,0.02289,0.00166
SPI MM1 Andradite[4][all],Si,14,28.085,0.15959,0.00049,0.15087,0.00722,0.13044,0.00947
SPI MM1 Andradite[4][all],Ca,20,40.078,0.26595,0.00019,0.25140,0.01201,0.15232,0.01105
SPI MM1 Andradite[4][all],Ti,22,47.867,0.00000,0.00002,0.00000,0.00002,0.00000,0.00001
SPI MM1 Andradite[4][all],Mn,25,54.938043,0.00305,0.00004,0.00289,0.00014,0.00128,0.00009
SPI MM1 Andradite[4][all],Fe,26,55.845,0.16708,0.00013,0.15794,0.00755,0.06868,0.00498
# Notes
#   Analytical total: 1.058 ± 0.051
#   Duane-Hunt: 20.17 keV
#   Residual written to SPI MM1 Andradite[4][4][residual].msa.
#   Plot output to 'SPI MM1 Andradite[4][4][quantify].pdf'
# Spectrum
#   SPI MM1 Andradite[5][all]['SPI MM1 Andradite[5][4].msa']
# Fit warnings
#   Removing Ti from the fit and re-fitting (threshold = 0.0σ).
#   The k-ratio '[Mn L₃-M₅ + 13 others] = -0.03466 ± 0.00045' is more than 3σ negative.
# Quantification results
Name,Element,Z,A,C[z],U[C[z]],N[z],U[N[z]],A[z],U[A[z]]
SPI MM1 Andradite[5][all],O,8,15.999,0.42142,0.04821,0.39780,0.02740,0.61096,0.02719
SPI MM1 Andradite[5][all],Mg,12,24.305,0.00025,0.00003,0.00024,0.00003,0.00024,0.00003
SPI MM1 Andradite[5][all],Al,13,26.9815384,0.02688,0.00012,0.02537,0.00116,0.02311,0.00162
SPI MM1 Andradite[5][all],Si,14,28.085,0.17262,0.00053,0.16294,0.00743,0.14257,0.00997
SPI MM1 Andradite[5][all],Ca,20,40.078,0.25150,0.00018,0.23740,0.01080,0.14555,0.01017
