# Configuration
#   Username: Nicholas W. M. Ritchie
#   Timestamp: 2025-10-23 12:49:28
#   Application: spex version 0.0.121
#   References: `N132962 20 keV` revision 88 - 2025-10-23 11:16:18 -04:00
# Configuration warnings
#    None
# Spectrum
#   SPI MM1 Anhydrite[0][all]['SPI MM1 Anhydrite[0][4].msa']
# Fit warnings
#    None
# Quantification results
Name,Element,Z,A,C[z],U[C[z]],N[z],U[N[z]],A[z],U[A[z]]
SPI MM1 Anhydrite[0][all],O,8,15.999,0.49806,0.04344,0.46821,0.02172,0.66747,0.01936
SPI MM1 Anhydrite[0][all],S,16,32.06,0.24629,0.00116,0.23152,0.00949,0.16471,0.00961
SPI MM1 Anhydrite[0][all],Ca,20,40.078,0.30886,0.00032,0.29035,0.01186,0.16524,0.00962
SPI MM1 Anhydrite[0][all],Sr,38,87.62,0.01055,0.00045,0.00992,0.00059,0.00258,0.00019
# Notes
#   Analytical total: 1.064 ± 0.043
#   Duane-Hunt: 20.19 keV
#   Residual written to SPI MM1 Anhydrite[0][4][residual].msa.
#   Plot output to 'SPI MM1 Anhydrite[0][4][quantify].pdf'
# Spectrum
#   SPI MM1 Anhydrite[1][all]['SPI MM1 Anhydrite[1][4].msa']
# Fit warnings
#   The k-ratio '[S L₁-M₃ + 1 other] = -0.082 ± 0.022' is more than 3σ negative.
# Quantification results
Name,Element,Z,A,C[z],U[C[z]],N[z],U[N[z]],A[z],U[A[z]]
SPI MM1 Anhydrite[1][all],O,8,15.999,0.49630,0.04326,0.46935,0.02171,0.66775,0.01934
SPI MM1 Anhydrite[1][all],S,16,32.06,0.24516,0.00082,0.23185,0.00950,0.16461,0.00959
SPI MM1 Anhydrite[1][all],Ca,20,40.078,0.30889,0.00032,0.29211,0.01195,0.16590,0.00966
SPI MM1 Anhydrite[1][all],Sr,38,87.62,0.00708,0.00046,0.00669,0.00051,0.00174,0.00015
# Notes
#   Analytical total: 1.057 ± 0.043
#   Duane-Hunt: 20.20 keV
#   Residual written to SPI MM1 Anhydrite[1][4][residual].msa.
#   Plot output to 'SPI MM1 Anhydrite[1][4][quantify].pdf'
# Spectrum
#   SPI MM1 Anhydrite[2][all]['SPI MM1 Anhydrite[2][4].msa']
# Fit warnings
#    None
# Quantification results
Name,Element,Z,A,C[z],U[C[z]],N[z],U[N[z]],A[z],U[A[z]]
SPI MM1 Anhydrite[2][all],O,8,15.999,0.49815,0.04347,0.46943,0.02174,0.66822,0.01935
SPI MM1 Anhydrite[2][all],S,16,32.06,0.24512,0.00098,0.23098,0.00949,0.16408,0.00958
SPI MM1 Anhydrite[2][all],Ca,20,40.078,0.30917,0.00032,0.29135,0.01194,0.16556,0.00966
SPI MM1 Anhydrite[2][all],Sr,38,87.62,0.00874,0.00045,0.00823,0.00054,0.00214,0.00017
# Notes
#   Analytical total: 1.061 ± 0.043
#   Duane-Hunt: 20.19 keV
#   Residual written to SPI MM1 Anhydrite[2][4][residual].msa.
#   Plot output to 'SPI MM1 Anhydrite[2][4][quantify].pdf'
# Spectrum
#   SPI MM1 Anhydrite[3][all]['SPI MM1 Anhydrite[3][4].msa']
# Fit warnings
#    None
# Quantification results
Name,Element,Z,A,C[z],U[C[z]],N[z],U[N[z]],A[z],U[A[z]]
SPI MM1 Anhydrite[3][all],O,8,15.999,0.49882,0.04357,0.46996,0.02176,0.66850,0.01936
SPI MM1 Anhydrite[3][all],S,16,32.06,0.24548,0.00091,0.23127,0.00952,0.16417,0.00960
SPI MM1 Anhydrite[3][all],Ca,20,40.078,0.30912,0.00032,0.29124,0.01196,0.16538,0.00966
SPI MM1 Anhydrite[3][all],Sr,38,87.62,0.00799,0.00045,0.00753,0.00052,0.00196,0.00016
# Notes
#   Analytical total: 1.061 ± 0.044
#   Duane-Hunt: 20.20 keV
#   Residual written to SPI MM1 Anhydrite[3][4][residual].msa.
#   Plot output to 'SPI MM1 Anhydrite[3][4][quantify].pdf'
# Spectrum
#   SPI MM1 Anhydrite[4][all]['SPI MM1 Anhydrite[4][4].msa']
# Fit warnings
#    None
# Quantification results
Name,Element,Z,A,C[z],U[C[z]],N[z],U[N[z]],A[z],U[A[z]]
SPI MM1 Anhydrite[4][all],O,8,15.999,0.49806,0.04349,0.46888,0.02175,0.66770,0.01938
SPI MM1 Anhydrite[4][all],S,16,32.06,0.24605,0.00099,0.23163,0.00951,0.16461,0.00961
SPI MM1 Anhydrite[4][all],Ca,20,40.078,0.30933,0.00032,0.29121,0.01193,0.16554,0.00965
SPI MM1 Anhydrite[4][all],Sr,38,87.62,0.00880,0.00045,0.00828,0.00054,0.00215,0.00017
# Notes
#   Analytical total: 1.062 ± 0.044
#   Duane-Hunt: 20.18 keV
#   Residual written to SPI MM1 Anhydrite[4][4][residual].msa.
#   Plot output to 'SPI MM1 Anhydrite[4][4][quantify].pdf'
# Spectrum
#   SPI MM1 Anhydrite[5][all]['SPI MM1 Anhydrite[5][4].msa']
# Fit warnings
#    None
# Quantification results
Name,Element,Z,A,C[z],U[C[z]],N[z],U[N[z]],A[z],U[A[z]]
SPI MM1 Anhydrite[5][all],O,8,15.999,0.50056,0.04379,0.47140,0.02180,0.66955,0.01936
SPI MM1 Anhydrite[5][all],S,16,32.06,0.24525,0.00081,0.23096,0.00954,0.16371,0.00960
SPI MM1 Anhydrite[5][all],Ca,20,40.078,0.30908,0.00032,0.29108,0.01201,0.16504,0.00967
SPI MM1 Anhydrite[5][all],Sr,38,87.62,0.00696,0.00045,0.00656,0.00050,0.00170,0.00015
# Notes
#   Analytical total: 1.062 ± 0.044
#   Duane-Hunt: 20.20 keV
#   Residual written to SPI MM1 Anhydrite[5][4][residual].msa.
#   Plot output to 'SPI MM1 Anhydrite[5][4][quantify].pdf'
# Spectrum
#   SPI MM1 Anhydrite[6][all]['SPI MM1 Anhydrite[6][4].msa']
# Fit warnings
#    None
# Quantification results
Name,Element,Z,A,C[z],U[C[z]],N[z],U[N[z]],A[z],U[A[z]]
SPI MM1 Anhydrite[6][all],O,8,15.999,0.50023,0.04378,0.47103,0.02181,0.66929,0.01938
SPI MM1 Anhydrite[6][all],S,16,32.06,0.24503,0.00082,0.23072,0.00953,0.16360,0.00960
SPI MM1 Anhydrite[6][all],Ca,20,40.078,0.30963,0.00032,0.29155,0.01202,0.16538,0.00969
SPI MM1 Anhydrite[6][all],Sr,38,87.62,0.00711,0.00045,0.00669,0.00051,0.00174,0.00015
# Notes
#   Analytical total: 1.062 ± 0.044
#   Duane-Hunt: 20.20 keV
#   Residual written to SPI MM1 Anhydrite[6][4][residual].msa.
#   Plot output to 'SPI MM1 Anhydrite[6][4][quantify].pdf'
# Spectrum
#   SPI MM1 Anhydrite[7][all]['SPI MM1 Anhydrite[7][4].msa']
# Fit warnings
#    None
# Quantification results
Name,Element,Z,A,C[z],U[C[z]],N[z],U[N[z]],A[z],U[A[z]]
SPI MM1 Anhydrite[7][all],O,8,15.999,0.49742,0.04336,0.46945,0.02172,0.66811,0.01934
SPI MM1 Anhydrite[7][all],S,16,32.06,0.24518,0.00093,0.23139,0.00949,0.16433,0.00959
SPI MM1 Anhydrite[7][all],Ca,20,40.078,0.30872,0.00032,0.29136,0.01193,0.16553,0.00964
SPI MM1 Anhydrite[7][all],Sr,38,87.62,0.00827,0.00045,0.00780,0.00053,0.00203,0.00016
# Notes
#   Analytical total: 1.060 ± 0.043
#   Duane-Hunt: 20.19 keV
#   Residual written to SPI MM1 Anhydrite[7][4][residual].msa.
#   Plot output to 'SPI MM1 Anhydrite[7][4][quantify].pdf'
# Result Comparison
Name,O,S,Ca,Sr,Σ
