# Configuration
#   Username: Nicholas W. M. Ritchie
#   Timestamp: 2025-10-23 12:49:28
#   Application: spex version 0.0.121
#   References: `N132962 20 keV` revision 88 - 2025-10-23 11:16:18 -04:00
# Configuration warnings
#    None
# Spectrum
#   SPI MM1 Barite[0][all]['SPI MM1 Barite[0][4].msa']
# Fit warnings
#    None
# Quantification results
Name,Element,Z,A,C[z],U[C[z]],N[z],U[N[z]],A[z],U[A[z]]
SPI MM1 Barite[0][all],O,8,15.999,0.25757,0.02064,0.21492,0.01352,0.61447,0.01899
SPI MM1 Barite[0][all],S,16,32.06,0.13591,0.00069,0.11341,0.00202,0.16181,0.00800
SPI MM1 Barite[0][all],Ba,56,137.327,0.80495,0.00046,0.67167,0.01158,0.22372,0.01102
# Notes
#   Analytical total: 1.198 ± 0.021
#   Duane-Hunt: 20.06 keV
#   Residual written to SPI MM1 Barite[0][4][residual].msa.
#   Plot output to 'SPI MM1 Barite[0][4][quantify].pdf'
# Spectrum
#   SPI MM1 Barite[1][all]['SPI MM1 Barite[1][4].msa']
# Fit warnings
#    None
# Quantification results
Name,Element,Z,A,C[z],U[C[z]],N[z],U[N[z]],A[z],U[A[z]]
SPI MM1 Barite[1][all],O,8,15.999,0.25804,0.02069,0.21525,0.01354,0.61509,0.01899
SPI MM1 Barite[1][all],S,16,32.06,0.13562,0.00069,0.11313,0.00202,0.16132,0.00798
SPI MM1 Barite[1][all],Ba,56,137.327,0.80515,0.00046,0.67162,0.01160,0.22359,0.01103
# Notes
#   Analytical total: 1.199 ± 0.021
#   Duane-Hunt: 20.01 keV
#   Residual written to SPI MM1 Barite[1][4][residual].msa.
#   Plot output to 'SPI MM1 Barite[1][4][quantify].pdf'
# Spectrum
#   SPI MM1 Barite[2][all]['SPI MM1 Barite[2][4].msa']
# Fit warnings
#    None
# Quantification results
Name,Element,Z,A,C[z],U[C[z]],N[z],U[N[z]],A[z],U[A[z]]
SPI MM1 Barite[2][all],O,8,15.999,0.25609,0.02050,0.21409,0.01347,0.61338,0.01899
SPI MM1 Barite[2][all],S,16,32.06,0.13565,0.00069,0.11340,0.00201,0.16214,0.00799
SPI MM1 Barite[2][all],Ba,56,137.327,0.80448,0.00046,0.67252,0.01153,0.22448,0.01103
# Notes
#   Analytical total: 1.196 ± 0.021
#   Duane-Hunt: 20.18 keV
#   Residual written to SPI MM1 Barite[2][4][residual].msa.
#   Plot output to 'SPI MM1 Barite[2][4][quantify].pdf'
# Spectrum
#   SPI MM1 Barite[3][all]['SPI MM1 Barite[3][4].msa']
# Fit warnings
#    None
# Quantification results
Name,Element,Z,A,C[z],U[C[z]],N[z],U[N[z]],A[z],U[A[z]]
SPI MM1 Barite[3][all],O,8,15.999,0.25696,0.02061,0.21440,0.01351,0.61381,0.01902
SPI MM1 Barite[3][all],S,16,32.06,0.13587,0.00069,0.11336,0.00202,0.16197,0.00800
SPI MM1 Barite[3][all],Ba,56,137.327,0.80569,0.00046,0.67224,0.01156,0.22422,0.01104
# Notes
#   Analytical total: 1.199 ± 0.021
#   Duane-Hunt: 20.19 keV
