# Configuration
#   Username: Nicholas W. M. Ritchie
#   Timestamp: 2025-10-23 12:49:28
#   Application: spex version 0.0.121
#   References: `N132962 20 keV` revision 88 - 2025-10-23 11:16:18 -04:00
# Configuration warnings
#    None
# Spectrum
#   SPI MM1 Benitoite[0][all]['SPI MM1 Benitoite[0][4].msa']
# Fit warnings
#    None
# Quantification results
Name,Element,Z,A,C[z],U[C[z]],N[z],U[N[z]],A[z],U[A[z]]
SPI MM1 Benitoite[0][all],O,8,15.999,0.33910,0.05230,0.30124,0.03247,0.61802,0.03642
SPI MM1 Benitoite[0][all],Na,11,22.98976928,0.00020,0.00005,0.00018,0.00005,0.00025,0.00007
SPI MM1 Benitoite[0][all],Si,14,28.085,0.20469,0.00111,0.18184,0.00849,0.21252,0.02028
SPI MM1 Benitoite[0][all],Ti,22,47.867,0.11518,0.00015,0.10232,0.00476,0.07016,0.00669
SPI MM1 Benitoite[0][all],Ba,56,137.327,0.46649,0.00117,0.41442,0.01927,0.09905,0.00944
# Notes
#   Analytical total: 1.126 ± 0.052
#   Duane-Hunt: 20.20 keV
#   Residual written to SPI MM1 Benitoite[0][4][residual].msa.
#   Plot output to 'SPI MM1 Benitoite[0][4][quantify].pdf'
# Spectrum
#   SPI MM1 Benitoite[1][all]['SPI MM1 Benitoite[1][4].msa']
# Fit warnings
#    None
# Quantification results
Name,Element,Z,A,C[z],U[C[z]],N[z],U[N[z]],A[z],U[A[z]]
SPI MM1 Benitoite[1][all],O,8,15.999,0.33838,0.05174,0.30021,0.03213,0.61732,0.03613
SPI MM1 Benitoite[1][all],Na,11,22.98976928,0.00015,0.00005,0.00013,0.00005,0.00019,0.00007
SPI MM1 Benitoite[1][all],Si,14,28.085,0.20529,0.00112,0.18213,0.00840,0.21335,0.02016
SPI MM1 Benitoite[1][all],Ti,22,47.867,0.11369,0.00015,0.10086,0.00463,0.06932,0.00654
SPI MM1 Benitoite[1][all],Ba,56,137.327,0.46965,0.00117,0.41666,0.01914,0.09982,0.00943
# Notes
#   Analytical total: 1.127 ± 0.052
#   Duane-Hunt: 19.97 keV
#   Residual written to SPI MM1 Benitoite[1][4][residual].msa.
#   Plot output to 'SPI MM1 Benitoite[1][4][quantify].pdf'
# Spectrum
#   SPI MM1 Benitoite[2][all]['SPI MM1 Benitoite[2][4].msa']
# Fit warnings
#    None
# Quantification results
Name,Element,Z,A,C[z],U[C[z]],N[z],U[N[z]],A[z],U[A[z]]
SPI MM1 Benitoite[2][all],O,8,15.999,0.33939,0.05226,0.30118,0.03241,0.61770,0.03637
SPI MM1 Benitoite[2][all],Na,11,22.98976928,0.00025,0.00005,0.00022,0.00005,0.00031,0.00007
SPI MM1 Benitoite[2][all],Si,14,28.085,0.20556,0.00112,0.18242,0.00850,0.21313,0.02029
SPI MM1 Benitoite[2][all],Ti,22,47.867,0.11487,0.00015,0.10194,0.00473,0.06988,0.00665
SPI MM1 Benitoite[2][all],Ba,56,137.327,0.46678,0.00117,0.41423,0.01923,0.09898,0.00942
# Notes
#   Analytical total: 1.127 ± 0.052
#   Duane-Hunt: 20.18 keV
#   Residual written to SPI MM1 Benitoite[2][4][residual].msa.
#   Plot output to 'SPI MM1 Benitoite[2][4][quantify].pdf'
# Spectrum
#   SPI MM1 Benitoite[3][all]['SPI MM1 Benitoite[3][4].msa']
# Fit warnings
#    None
# Quantification results
Name,Element,Z,A,C[z],U[C[z]],N[z],U[N[z]],A[z],U[A[z]]
SPI MM1 Benitoite[3][all],O,8,15.999,0.33728,0.05163,0.30063,0.03219,0.61753,0.03616
SPI MM1 Benitoite[3][all],Na,11,22.98976928,0.00013,0.00005,0.00012,0.00005,0.00017,0.00007
SPI MM1 Benitoite[3][all],Si,14,28.085,0.20425,0.00111,0.18205,0.00842,0.21303,0.02016
SPI MM1 Benitoite[3][all],Ti,22,47.867,0.11412,0.00015,0.10172,0.00468,0.06984,0.00660
SPI MM1 Benitoite[3][all],Ba,56,137.327,0.46614,0.00117,0.41548,0.01914,0.09943,0.00940
# Notes
#   Analytical total: 1.122 ± 0.052
#   Duane-Hunt: 20.18 keV
#   Residual written to SPI MM1 Benitoite[3][4][residual].msa.
#   Plot output to 'SPI MM1 Benitoite[3][4][quantify].pdf'
# Spectrum
#   SPI MM1 Benitoite[4][all]['SPI MM1 Benitoite[4][4].msa']
# Fit warnings
#    None
# Quantification results
Name,Element,Z,A,C[z],U[C[z]],N[z],U[N[z]],A[z],U[A[z]]
SPI MM1 Benitoite[4][all],O,8,15.999,0.33850,0.05190,0.30107,0.03227,0.61751,0.03622
SPI MM1 Benitoite[4][all],Na,11,22.98976928,0.00049,0.00005,0.00044,0.00005,0.00062,0.00009
SPI MM1 Benitoite[4][all],Si,14,28.085,0.20513,0.00111,0.18245,0.00846,0.21318,0.02020
SPI MM1 Benitoite[4][all],Ti,22,47.867,0.11426,0.00015,0.10163,0.00470,0.06967,0.00660
SPI MM1 Benitoite[4][all],Ba,56,137.327,0.46594,0.00117,0.41442,0.01915,0.09903,0.00938
# Notes
#   Analytical total: 1.124 ± 0.052
#   Duane-Hunt: 20.20 keV
#   Residual written to SPI MM1 Benitoite[4][4][residual].msa.
#   Plot output to 'SPI MM1 Benitoite[4][4][quantify].pdf'
# Spectrum
#   SPI MM1 Benitoite[5][all]['SPI MM1 Benitoite[5][4].msa']
# Fit warnings
#    None
# Quantification results
Name,Element,Z,A,C[z],U[C[z]],N[z],U[N[z]],A[z],U[A[z]]
SPI MM1 Benitoite[5][all],O,8,15.999,0.33882,0.05208,0.30172,0.03239,0.61818,0.03629
SPI MM1 Benitoite[5][all],Na,11,22.98976928,0.00052,0.00005,0.00047,0.00005,0.00067,0.00009
SPI MM1 Benitoite[5][all],Si,14,28.085,0.20442,0.00111,0.18204,0.00848,0.21247,0.02021
SPI MM1 Benitoite[5][all],Ti,22,47.867,0.11470,0.00015,0.10214,0.00474,0.06995,0.00665
SPI MM1 Benitoite[5][all],Ba,56,137.327,0.46451,0.00117,0.41364,0.01920,0.09874,0.00939
# Notes
#   Analytical total: 1.123 ± 0.052
#   Duane-Hunt: 20.19 keV
#   Residual written to SPI MM1 Benitoite[5][4][residual].msa.
#   Plot output to 'SPI MM1 Benitoite[5][4][quantify].pdf'
# Spectrum
#   SPI MM1 Benitoite[6][all]['SPI MM1 Benitoite[6][4].msa']
# Fit warnings
#    None
# Quantification results
Name,Element,Z,A,C[z],U[C[z]],N[z],U[N[z]],A[z],U[A[z]]
SPI MM1 Benitoite[6][all],O,8,15.999,0.33775,0.05168,0.30071,0.03218,0.61748,0.03615
SPI MM1 Benitoite[6][all],Na,11,22.98976928,0.00035,0.00005,0.00031,0.00005,0.00044,0.00008
