# Configuration
#   Username: Nicholas W. M. Ritchie
#   Timestamp: 2025-10-23 12:49:29
#   Application: spex version 0.0.121
#   References: `N132962 20 keV` revision 88 - 2025-10-23 11:16:18 -04:00
# Configuration warnings
#    None
# Spectrum
#   SPI MM1 Bustamite[0][all]['SPI MM1 Bustamite[0][4].msa']
# Fit warnings
#    None
# Quantification results
Name,Element,Z,A,C[z],U[C[z]],N[z],U[N[z]],A[z],U[A[z]]
SPI MM1 Bustamite[0][all],O,8,15.999,0.40078,0.02650,0.38649,0.01568,0.60302,0.01583
SPI MM1 Bustamite[0][all],Mg,12,24.305,0.00168,0.00003,0.00162,0.00005,0.00167,0.00007
SPI MM1 Bustamite[0][all],Si,14,28.085,0.22544,0.00064,0.21740,0.00558,0.19323,0.00772
SPI MM1 Bustamite[0][all],Ca,20,40.078,0.14449,0.00013,0.13933,0.00356,0.08678,0.00346
SPI MM1 Bustamite[0][all],Mn,25,54.938043,0.19733,0.00013,0.19030,0.00487,0.08647,0.00345
SPI MM1 Bustamite[0][all],Fe,26,55.845,0.06475,0.00008,0.06244,0.00160,0.02791,0.00111
SPI MM1 Bustamite[0][all],Zn,30,65.38,0.00250,0.00006,0.00241,0.00008,0.00092,0.00004
# Notes
#   Analytical total: 1.037 ± 0.027
#   Duane-Hunt: 20.20 keV
#   Residual written to SPI MM1 Bustamite[0][4][residual].msa.
#   Plot output to 'SPI MM1 Bustamite[0][4][quantify].pdf'
# Spectrum
#   SPI MM1 Bustamite[1][all]['SPI MM1 Bustamite[1][4].msa']
# Fit warnings
#    None
# Quantification results
Name,Element,Z,A,C[z],U[C[z]],N[z],U[N[z]],A[z],U[A[z]]
SPI MM1 Bustamite[1][all],O,8,15.999,0.40239,0.02668,0.38710,0.01573,0.60363,0.01587
SPI MM1 Bustamite[1][all],Mg,12,24.305,0.00143,0.00003,0.00138,0.00005,0.00141,0.00007
SPI MM1 Bustamite[1][all],Si,14,28.085,0.22600,0.00065,0.21741,0.00560,0.19313,0.00774
SPI MM1 Bustamite[1][all],Ca,20,40.078,0.14494,0.00013,0.13943,0.00358,0.08680,0.00348
SPI MM1 Bustamite[1][all],Mn,25,54.938043,0.19732,0.00013,0.18982,0.00487,0.08620,0.00345
SPI MM1 Bustamite[1][all],Fe,26,55.845,0.06509,0.00008,0.06262,0.00161,0.02797,0.00112
SPI MM1 Bustamite[1][all],Zn,30,65.38,0.00233,0.00005,0.00224,0.00008,0.00086,0.00004
# Notes
#   Analytical total: 1.040 ± 0.027
#   Duane-Hunt: 20.20 keV
#   Residual written to SPI MM1 Bustamite[1][4][residual].msa.
#   Plot output to 'SPI MM1 Bustamite[1][4][quantify].pdf'
# Spectrum
#   SPI MM1 Bustamite[2][all]['SPI MM1 Bustamite[2][4].msa']
# Fit warnings
#    None
# Quantification results
Name,Element,Z,A,C[z],U[C[z]],N[z],U[N[z]],A[z],U[A[z]]
SPI MM1 Bustamite[2][all],O,8,15.999,0.40438,0.02684,0.38820,0.01577,0.60470,0.01587
SPI MM1 Bustamite[2][all],Mg,12,24.305,0.00160,0.00003,0.00154,0.00005,0.00158,0.00007
SPI MM1 Bustamite[2][all],Si,14,28.085,0.22603,0.00065,0.21699,0.00561,0.19255,0.00774
SPI MM1 Bustamite[2][all],Ca,20,40.078,0.14490,0.00013,0.13911,0.00359,0.08650,0.00347
SPI MM1 Bustamite[2][all],Mn,25,54.938043,0.19723,0.00013,0.18934,0.00488,0.08589,0.00345
SPI MM1 Bustamite[2][all],Fe,26,55.845,0.06519,0.00008,0.06258,0.00161,0.02793,0.00112
SPI MM1 Bustamite[2][all],Zn,30,65.38,0.00233,0.00006,0.00224,0.00008,0.00085,0.00004
# Notes
#   Analytical total: 1.042 ± 0.027
#   Duane-Hunt: 20.20 keV
#   Residual written to SPI MM1 Bustamite[2][4][residual].msa.
#   Plot output to 'SPI MM1 Bustamite[2][4][quantify].pdf'
# Spectrum
#   SPI MM1 Bustamite[3][all]['SPI MM1 Bustamite[3][4].msa']
# Fit warnings
#    None
# Quantification results
Name,Element,Z,A,C[z],U[C[z]],N[z],U[N[z]],A[z],U[A[z]]
SPI MM1 Bustamite[3][all],O,8,15.999,0.40260,0.02669,0.38731,0.01573,0.60385,0.01586
SPI MM1 Bustamite[3][all],Mg,12,24.305,0.00162,0.00003,0.00156,0.00005,0.00160,0.00007
SPI MM1 Bustamite[3][all],Si,14,28.085,0.22569,0.00065,0.21712,0.00560,0.19283,0.00773
SPI MM1 Bustamite[3][all],Ca,20,40.078,0.14493,0.00013,0.13943,0.00358,0.08678,0.00347
SPI MM1 Bustamite[3][all],Mn,25,54.938043,0.19719,0.00013,0.18970,0.00487,0.08613,0.00345
SPI MM1 Bustamite[3][all],Fe,26,55.845,0.06484,0.00008,0.06238,0.00160,0.02786,0.00112
SPI MM1 Bustamite[3][all],Zn,30,65.38,0.00260,0.00006,0.00250,0.00008,0.00095,0.00004
# Notes
#   Analytical total: 1.039 ± 0.027
#   Duane-Hunt: 20.20 keV
#   Residual written to SPI MM1 Bustamite[3][4][residual].msa.
#   Plot output to 'SPI MM1 Bustamite[3][4][quantify].pdf'
# Spectrum
#   SPI MM1 Bustamite[4][all]['SPI MM1 Bustamite[4][4].msa']
# Fit warnings
#    None
# Quantification results
Name,Element,Z,A,C[z],U[C[z]],N[z],U[N[z]],A[z],U[A[z]]
SPI MM1 Bustamite[4][all],O,8,15.999,0.39935,0.02638,0.38554,0.01565,0.60216,0.01583
SPI MM1 Bustamite[4][all],Mg,12,24.305,0.00160,0.00003,0.00154,0.00005,0.00158,0.00007
SPI MM1 Bustamite[4][all],Si,14,28.085,0.22533,0.00064,0.21754,0.00556,0.19355,0.00771
SPI MM1 Bustamite[4][all],Ca,20,40.078,0.14446,0.00013,0.13946,0.00355,0.08695,0.00346
SPI MM1 Bustamite[4][all],Mn,25,54.938043,0.19734,0.00013,0.19051,0.00485,0.08665,0.00345
SPI MM1 Bustamite[4][all],Fe,26,55.845,0.06514,0.00008,0.06288,0.00160,0.02814,0.00112
SPI MM1 Bustamite[4][all],Zn,30,65.38,0.00261,0.00006,0.00252,0.00008,0.00096,0.00004
# Notes
#   Analytical total: 1.036 ± 0.026
#   Duane-Hunt: 20.10 keV
#   Residual written to SPI MM1 Bustamite[4][4][residual].msa.
#   Plot output to 'SPI MM1 Bustamite[4][4][quantify].pdf'
# Spectrum
#   SPI MM1 Bustamite[5][all]['SPI MM1 Bustamite[5][4].msa']
# Fit warnings
#    None
# Quantification results
Name,Element,Z,A,C[z],U[C[z]],N[z],U[N[z]],A[z],U[A[z]]
SPI MM1 Bustamite[5][all],O,8,15.999,0.40513,0.02687,0.38886,0.01577,0.60525,0.01585
SPI MM1 Bustamite[5][all],Mg,12,24.305,0.00162,0.00003,0.00155,0.00005,0.00159,0.00007
SPI MM1 Bustamite[5][all],Si,14,28.085,0.22637,0.00065,0.21728,0.00563,0.19266,0.00775
SPI MM1 Bustamite[5][all],Ca,20,40.078,0.14449,0.00013,0.13869,0.00358,0.08617,0.00346
SPI MM1 Bustamite[5][all],Mn,25,54.938043,0.19715,0.00013,0.18923,0.00488,0.08577,0.00344
SPI MM1 Bustamite[5][all],Fe,26,55.845,0.06467,0.00008,0.06207,0.00160,0.02768,0.00111
SPI MM1 Bustamite[5][all],Zn,30,65.38,0.00241,0.00005,0.00231,0.00008,0.00088,0.00004
# Notes
#   Analytical total: 1.042 ± 0.027
#   Duane-Hunt: 20.20 keV
#   Residual written to SPI MM1 Bustamite[5][4][residual].msa.
#   Plot output to 'SPI MM1 Bustamite[5][4][quantify].pdf'
# Spectrum
#   SPI MM1 Bustamite[6][all]['SPI MM1 Bustamite[6][4].msa']
# Fit warnings
#    None
# Quantification results
Name,Element,Z,A,C[z],U[C[z]],N[z],U[N[z]],A[z],U[A[z]]
SPI MM1 Bustamite[6][all],O,8,15.999,0.40426,0.02683,0.38832,0.01576,0.60483,0.01586
SPI MM1 Bustamite[6][all],Mg,12,24.305,0.00141,0.00003,0.00135,0.00005,0.00139,0.00006
SPI MM1 Bustamite[6][all],Si,14,28.085,0.22609,0.00065,0.21718,0.00562,0.19270,0.00775
SPI MM1 Bustamite[6][all],Ca,20,40.078,0.14489,0.00013,0.13918,0.00359,0.08654,0.00347
SPI MM1 Bustamite[6][all],Mn,25,54.938043,0.19672,0.00013,0.18897,0.00487,0.08571,0.00344
SPI MM1 Bustamite[6][all],Fe,26,55.845,0.06501,0.00008,0.06245,0.00161,0.02786,0.00112
SPI MM1 Bustamite[6][all],Zn,30,65.38,0.00266,0.00005,0.00256,0.00008,0.00098,0.00004
# Notes
#   Analytical total: 1.041 ± 0.027
#   Duane-Hunt: 20.19 keV
#   Residual written to SPI MM1 Bustamite[6][4][residual].msa.
#   Plot output to 'SPI MM1 Bustamite[6][4][quantify].pdf'
# Spectrum
#   SPI MM1 Bustamite[7][all]['SPI MM1 Bustamite[7][4].msa']
# Fit warnings
#    None
# Quantification results
Name,Element,Z,A,C[z],U[C[z]],N[z],U[N[z]],A[z],U[A[z]]
SPI MM1 Bustamite[7][all],O,8,15.999,0.40278,0.02668,0.38756,0.01572,0.60402,0.01585
SPI MM1 Bustamite[7][all],Mg,12,24.305,0.00156,0.00003,0.00150,0.00005,0.00154,0.00007
SPI MM1 Bustamite[7][all],Si,14,28.085,0.22597,0.00065,0.21743,0.00560,0.19305,0.00774
SPI MM1 Bustamite[7][all],Ca,20,40.078,0.14455,0.00013,0.13909,0.00357,0.08654,0.00346
SPI MM1 Bustamite[7][all],Mn,25,54.938043,0.19700,0.00013,0.18956,0.00487,0.08604,0.00344
SPI MM1 Bustamite[7][all],Fe,26,55.845,0.06513,0.00008,0.06267,0.00161,0.02798,0.00112
SPI MM1 Bustamite[7][all],Zn,30,65.38,0.00227,0.00005,0.00219,0.00008,0.00083,0.00004
# Notes
#   Analytical total: 1.039 ± 0.027
#   Duane-Hunt: 20.16 keV
#   Residual written to SPI MM1 Bustamite[7][4][residual].msa.
#   Plot output to 'SPI MM1 Bustamite[7][4][quantify].pdf'
# Result Comparison
Name,O,Mg,Si,Ca,Mn,Fe,Zn,Σ
SPI MM1 Bustamite[0][all],0.401 ± 0.026,0.001681 ± 0.000034,0.22544 ± 0.00064,0.14449 ± 0.00013,0.19733 ± 0.00013,0.064754 ± 0.000081,0.002504 ± 0.000055,1.037 ± 0.027
SPI MM1 Bustamite[1][all],0.402 ± 0.027,0.001432 ± 0.000033,0.22600 ± 0.00065,0.14494 ± 0.00013,0.19732 ± 0.00013,0.065090 ± 0.000081,0.002330 ± 0.000055,1.040 ± 0.027
SPI MM1 Bustamite[2][all],0.404 ± 0.027,0.001603 ± 0.000034,0.22603 ± 0.00065,0.14490 ± 0.00013,0.19723 ± 0.00013,0.065189 ± 0.000081,0.002331 ± 0.000055,1.042 ± 0.027
