# Configuration
#   Username: Nicholas W. M. Ritchie
#   Timestamp: 2025-10-23 12:49:29
#   Application: spex version 0.0.121
#   References: `N132962 20 keV` revision 88 - 2025-10-23 11:16:18 -04:00
# Configuration warnings
#    None
# Spectrum
#   SPI MM1 Calcite[0][all]['SPI MM1 Calcite[0][4].msa']
# Fit warnings
#   Removing Sr from the fit and re-fitting (threshold = 0.0σ).
# Quantification results
Name,Element,Z,A,C[z],U[C[z]],N[z],U[N[z]],A[z],U[A[z]]
SPI MM1 Calcite[0][all],C,6,12.011,0.13333,0.03545,0.12667,0.03003,0.21033,0.04590
SPI MM1 Calcite[0][all],O,8,15.999,0.49907,0.05015,0.47417,0.02971,0.59105,0.04102
SPI MM1 Calcite[0][all],Ca,20,40.078,0.42012,0.00019,0.39915,0.02329,0.19862,0.01620
SPI MM1 Calcite[0][all],Sr,38,87.62,0.00000,0.00046,0.00000,0.00044,0.00000,0.00010
# Notes
#   Analytical total: 1.053 ± 0.061
#   Duane-Hunt: 20.20 keV
#   Residual written to SPI MM1 Calcite[0][4][residual].msa.
#   Plot output to 'SPI MM1 Calcite[0][4][quantify].pdf'
# Spectrum
#   SPI MM1 Calcite[1][all]['SPI MM1 Calcite[1][4].msa']
# Fit warnings
#   Removing Sr from the fit and re-fitting (threshold = 0.0σ).
# Quantification results
Name,Element,Z,A,C[z],U[C[z]],N[z],U[N[z]],A[z],U[A[z]]
SPI MM1 Calcite[1][all],C,6,12.011,0.13164,0.03504,0.12507,0.02974,0.20792,0.04556
SPI MM1 Calcite[1][all],O,8,15.999,0.49997,0.05032,0.47501,0.02967,0.59284,0.04083
SPI MM1 Calcite[1][all],Ca,20,40.078,0.42092,0.00019,0.39991,0.02330,0.19924,0.01622
SPI MM1 Calcite[1][all],Sr,38,87.62,0.00000,0.00046,0.00000,0.00043,0.00000,0.00010
# Notes
#   Analytical total: 1.053 ± 0.061
#   Duane-Hunt: 20.20 keV
#   Residual written to SPI MM1 Calcite[1][4][residual].msa.
#   Plot output to 'SPI MM1 Calcite[1][4][quantify].pdf'
# Spectrum
#   SPI MM1 Calcite[2][all]['SPI MM1 Calcite[2][4].msa']
# Fit warnings
#   Removing Sr from the fit and re-fitting (threshold = 0.0σ).
# Quantification results
