# Configuration
#   Username: Nicholas W. M. Ritchie
#   Timestamp: 2025-10-23 12:49:29
#   Application: spex version 0.0.121
#   References: `N132962 20 keV` revision 88 - 2025-10-23 11:16:18 -04:00
# Configuration warnings
#    None
# Spectrum
#   SPI MM1dup Chlorite[0][all]['SPI MM1 Chlorite[0][4].msa']
# Fit warnings
#    None
# Quantification results
Name,Element,Z,A,C[z],U[C[z]],N[z],U[N[z]],A[z],U[A[z]]
SPI MM1dup Chlorite[0][all],O,8,15.999,0.49364,0.03759,0.50730,0.01904,0.63699,0.01762
SPI MM1dup Chlorite[0][all],Mg,12,24.305,0.19942,0.00102,0.20494,0.00796,0.16939,0.00825
SPI MM1dup Chlorite[0][all],Al,13,26.9815384,0.09425,0.00044,0.09686,0.00377,0.07212,0.00351
SPI MM1dup Chlorite[0][all],Si,14,28.085,0.14369,0.00051,0.14767,0.00572,0.10562,0.00513
SPI MM1dup Chlorite[0][all],Cr,24,51.9961,0.01356,0.00004,0.01393,0.00054,0.00538,0.00026
SPI MM1dup Chlorite[0][all],Fe,26,55.845,0.02611,0.00005,0.02683,0.00104,0.00965,0.00047
SPI MM1dup Chlorite[0][all],Ni,28,58.6934,0.00240,0.00004,0.00246,0.00010,0.00084,0.00004
# Notes
#   Analytical total: 0.973 ± 0.038
#   Duane-Hunt: 20.18 keV
#   Residual written to SPI MM1 Chlorite[0][4][residual].msa.
#   Plot output to 'SPI MM1 Chlorite[0][4][quantify].pdf'
# Spectrum
#   SPI MM1dup Chlorite[1][all]['SPI MM1 Chlorite[1][4].msa']
# Fit warnings
#    None
# Quantification results
Name,Element,Z,A,C[z],U[C[z]],N[z],U[N[z]],A[z],U[A[z]]
SPI MM1dup Chlorite[1][all],O,8,15.999,0.49324,0.03756,0.50668,0.01905,0.63647,0.01763
SPI MM1dup Chlorite[1][all],Mg,12,24.305,0.19970,0.00102,0.20514,0.00796,0.16963,0.00825
SPI MM1dup Chlorite[1][all],Al,13,26.9815384,0.09428,0.00044,0.09685,0.00376,0.07214,0.00351
SPI MM1dup Chlorite[1][all],Si,14,28.085,0.14387,0.00051,0.14780,0.00572,0.10576,0.00514
SPI MM1dup Chlorite[1][all],Cr,24,51.9961,0.01380,0.00004,0.01418,0.00055,0.00548,0.00027
SPI MM1dup Chlorite[1][all],Fe,26,55.845,0.02629,0.00005,0.02701,0.00104,0.00972,0.00047
SPI MM1dup Chlorite[1][all],Ni,28,58.6934,0.00228,0.00004,0.00234,0.00010,0.00080,0.00004
# Notes
#   Analytical total: 0.973 ± 0.038
#   Duane-Hunt: 20.20 keV
#   Residual written to SPI MM1 Chlorite[1][4][residual].msa.
#   Plot output to 'SPI MM1 Chlorite[1][4][quantify].pdf'
# Spectrum
#   SPI MM1dup Chlorite[2][all]['SPI MM1 Chlorite[2][4].msa']
# Fit warnings
#    None
# Quantification results
Name,Element,Z,A,C[z],U[C[z]],N[z],U[N[z]],A[z],U[A[z]]
SPI MM1dup Chlorite[2][all],O,8,15.999,0.49304,0.03751,0.50722,0.01903,0.63696,0.01760
SPI MM1dup Chlorite[2][all],Mg,12,24.305,0.19860,0.00102,0.20432,0.00793,0.16889,0.00822
SPI MM1dup Chlorite[2][all],Al,13,26.9815384,0.09452,0.00044,0.09723,0.00378,0.07240,0.00352
SPI MM1dup Chlorite[2][all],Si,14,28.085,0.14381,0.00051,0.14794,0.00573,0.10584,0.00514
SPI MM1dup Chlorite[2][all],Cr,24,51.9961,0.01353,0.00004,0.01392,0.00054,0.00538,0.00026
SPI MM1dup Chlorite[2][all],Fe,26,55.845,0.02634,0.00005,0.02710,0.00105,0.00975,0.00047
SPI MM1dup Chlorite[2][all],Ni,28,58.6934,0.00221,0.00004,0.00227,0.00010,0.00078,0.00004
# Notes
#   Analytical total: 0.972 ± 0.038
#   Duane-Hunt: 20.20 keV
#   Residual written to SPI MM1 Chlorite[2][4][residual].msa.
#   Plot output to 'SPI MM1 Chlorite[2][4][quantify].pdf'
# Spectrum
#   SPI MM1dup Chlorite[3][all]['SPI MM1 Chlorite[3][4].msa']
# Fit warnings
#    None
# Quantification results
Name,Element,Z,A,C[z],U[C[z]],N[z],U[N[z]],A[z],U[A[z]]
SPI MM1dup Chlorite[3][all],O,8,15.999,0.49408,0.03760,0.50718,0.01903,0.63684,0.01761
SPI MM1dup Chlorite[3][all],Mg,12,24.305,0.19937,0.00102,0.20466,0.00795,0.16916,0.00823
SPI MM1dup Chlorite[3][all],Al,13,26.9815384,0.09472,0.00044,0.09723,0.00378,0.07239,0.00352
SPI MM1dup Chlorite[3][all],Si,14,28.085,0.14411,0.00051,0.14793,0.00573,0.10581,0.00514
