# Configuration
#   Username: Nicholas W. M. Ritchie
#   Timestamp: 2025-10-23 12:49:30
#   Application: spex version 0.0.121
#   References: `N132962 20 keV` revision 88 - 2025-10-23 11:16:18 -04:00
# Configuration warnings
#    None
# Spectrum
#   SPI MM1dup Crocoite[0][all]['SPI MM1 Crocoite[0][4].msa']
# Fit warnings
#   Removing Si from the fit and re-fitting (threshold = 0.0σ).
#   The k-ratio '[Pb M₃-M₅ + 1 other] = -0.1446 ± 0.0079' is more than 3σ negative.
# Quantification results
Name,Element,Z,A,C[z],U[C[z]],N[z],U[N[z]],A[z],U[A[z]]
SPI MM1dup Crocoite[0][all],O,8,15.999,0.21602,0.02136,0.21299,0.01657,0.68812,0.02122
SPI MM1dup Crocoite[0][all],Si,14,28.085,0.00000,0.00002,0.00000,0.00002,0.00000,0.00004
SPI MM1dup Crocoite[0][all],Cr,24,51.9961,0.15738,0.00028,0.15517,0.00328,0.15426,0.01050
SPI MM1dup Crocoite[0][all],Pb,82,207.2,0.64085,0.00097,0.63184,0.01331,0.15763,0.01073
# Notes
#   Analytical total: 1.014 ± 0.021
#   Duane-Hunt: 19.91 keV
#   Residual written to SPI MM1 Crocoite[0][4][residual].msa.
#   Plot output to 'SPI MM1 Crocoite[0][4][quantify].pdf'
# Spectrum
#   SPI MM1dup Crocoite[1][all]['SPI MM1 Crocoite[1][4].msa']
# Fit warnings
#   Removing Si from the fit and re-fitting (threshold = 0.0σ).
#   The k-ratio '[Pb M₃-M₅ + 1 other] = -0.1592 ± 0.0079' is more than 3σ negative.
# Quantification results
Name,Element,Z,A,C[z],U[C[z]],N[z],U[N[z]],A[z],U[A[z]]
SPI MM1dup Crocoite[1][all],O,8,15.999,0.21712,0.02136,0.21489,0.01660,0.69014,0.02104
SPI MM1dup Crocoite[1][all],Si,14,28.085,0.00000,0.00002,0.00000,0.00002,0.00000,0.00004
SPI MM1dup Crocoite[1][all],Cr,24,51.9961,0.15721,0.00028,0.15560,0.00330,0.15376,0.01044
SPI MM1dup Crocoite[1][all],Pb,82,207.2,0.63601,0.00097,0.62950,0.01332,0.15610,0.01060
# Notes
#   Analytical total: 1.010 ± 0.021
#   Duane-Hunt: 20.04 keV
#   Residual written to SPI MM1 Crocoite[1][4][residual].msa.
#   Plot output to 'SPI MM1 Crocoite[1][4][quantify].pdf'
# Spectrum
#   SPI MM1dup Crocoite[2][all]['SPI MM1 Crocoite[2][4].msa']
# Fit warnings
#   Removing Si from the fit and re-fitting (threshold = 0.0σ).
#   The k-ratio '[Pb M₃-M₅ + 1 other] = -0.1418 ± 0.0079' is more than 3σ negative.
# Quantification results
Name,Element,Z,A,C[z],U[C[z]],N[z],U[N[z]],A[z],U[A[z]]
SPI MM1dup Crocoite[2][all],O,8,15.999,0.21471,0.02106,0.21324,0.01646,0.68812,0.02105
SPI MM1dup Crocoite[2][all],Si,14,28.085,0.00000,0.00002,0.00000,0.00002,0.00000,0.00004
SPI MM1dup Crocoite[2][all],Cr,24,51.9961,0.15683,0.00028,0.15575,0.00327,0.15465,0.01044
SPI MM1dup Crocoite[2][all],Pb,82,207.2,0.63535,0.00096,0.63101,0.01320,0.15723,0.01061
# Notes
#   Analytical total: 1.007 ± 0.021
#   Duane-Hunt: 20.01 keV
#   Residual written to SPI MM1 Crocoite[2][4][residual].msa.
#   Plot output to 'SPI MM1 Crocoite[2][4][quantify].pdf'
# Spectrum
#   SPI MM1dup Crocoite[3][all]['SPI MM1 Crocoite[3][4].msa']
# Fit warnings
#   Removing Si from the fit and re-fitting (threshold = 0.0σ).
#   The k-ratio '[Pb M₃-M₅ + 1 other] = -0.1605 ± 0.0079' is more than 3σ negative.
#   The k-ratio '[Pb M₁-O₂ + 1 other] = -0.61 ± 0.15' is more than 3σ negative.
#   The k-ratio '[Pb L₃-M₃] = -0.52 ± 0.15' is more than 3σ negative.
# Quantification results
Name,Element,Z,A,C[z],U[C[z]],N[z],U[N[z]],A[z],U[A[z]]
SPI MM1dup Crocoite[3][all],O,8,15.999,0.21748,0.02149,0.21449,0.01665,0.69008,0.02113
SPI MM1dup Crocoite[3][all],Si,14,28.085,0.00000,0.00002,0.00000,0.00002,0.00000,0.00004
SPI MM1dup Crocoite[3][all],Cr,24,51.9961,0.15695,0.00028,0.15480,0.00329,0.15324,0.01045
SPI MM1dup Crocoite[3][all],Pb,82,207.2,0.63951,0.00097,0.63071,0.01337,0.15668,0.01068
# Notes
#   Analytical total: 1.014 ± 0.022
#   Duane-Hunt: 20.06 keV
#   Residual written to SPI MM1 Crocoite[3][4][residual].msa.
#   Plot output to 'SPI MM1 Crocoite[3][4][quantify].pdf'
# Spectrum
#   SPI MM1dup Crocoite[4][all]['SPI MM1 Crocoite[4][4].msa']
# Fit warnings
#   Removing Si from the fit and re-fitting (threshold = 0.0σ).
#   The k-ratio '[Pb M₃-M₅ + 1 other] = -0.1308 ± 0.0079' is more than 3σ negative.
# Quantification results
Name,Element,Z,A,C[z],U[C[z]],N[z],U[N[z]],A[z],U[A[z]]
SPI MM1dup Crocoite[4][all],O,8,15.999,0.21424,0.02116,0.21157,0.01648,0.68663,0.02126
