# Configuration
#   Username: Nicholas W. M. Ritchie
#   Timestamp: 2025-10-23 12:49:30
#   Application: spex version 0.0.121
#   References: `N132962 20 keV` revision 88 - 2025-10-23 11:16:18 -04:00
# Configuration warnings
#    None
# Spectrum
#   SPI MM1dup Cryolite[0][all]['SPI MM1 Cryolite[0][4].msa']
# Fit warnings
#    None
# Quantification results
Name,Element,Z,A,C[z],U[C[z]],N[z],U[N[z]],A[z],U[A[z]]
SPI MM1dup Cryolite[0][all],F,9,18.998403163,0.49325,0.01011,0.51416,0.00514,0.57192,0.00504
SPI MM1dup Cryolite[0][all],Na,11,22.98976928,0.33548,0.00043,0.34970,0.00371,0.32145,0.00379
SPI MM1dup Cryolite[0][all],Al,13,26.9815384,0.13060,0.00072,0.13614,0.00157,0.10663,0.00136
# Notes
#   Analytical total: 0.959 ± 0.010
#   Duane-Hunt: 20.20 keV
#   Residual written to SPI MM1 Cryolite[0][4][residual].msa.
#   Plot output to 'SPI MM1 Cryolite[0][4][quantify].pdf'
# Spectrum
#   SPI MM1dup Cryolite[1][all]['SPI MM1 Cryolite[1][4].msa']
# Fit warnings
#    None
# Quantification results
Name,Element,Z,A,C[z],U[C[z]],N[z],U[N[z]],A[z],U[A[z]]
SPI MM1dup Cryolite[1][all],F,9,18.998403163,0.49342,0.01018,0.51229,0.00517,0.57000,0.00507
SPI MM1dup Cryolite[1][all],Na,11,22.98976928,0.33926,0.00044,0.35223,0.00374,0.32387,0.00382
SPI MM1dup Cryolite[1][all],Al,13,26.9815384,0.13048,0.00072,0.13547,0.00157,0.10614,0.00135
# Notes
#   Analytical total: 0.963 ± 0.010
#   Duane-Hunt: 20.18 keV
#   Residual written to SPI MM1 Cryolite[1][4][residual].msa.
#   Plot output to 'SPI MM1 Cryolite[1][4][quantify].pdf'
# Spectrum
#   SPI MM1dup Cryolite[2][all]['SPI MM1 Cryolite[2][4].msa']
# Fit warnings
#    None
# Quantification results
Name,Element,Z,A,C[z],U[C[z]],N[z],U[N[z]],A[z],U[A[z]]
SPI MM1dup Cryolite[2][all],F,9,18.998403163,0.48483,0.00997,0.51007,0.00516,0.56793,0.00506
SPI MM1dup Cryolite[2][all],Na,11,22.98976928,0.33488,0.00043,0.35231,0.00372,0.32417,0.00380
