# Configuration
#   Username: Nicholas W. M. Ritchie
#   Timestamp: 2025-10-23 12:49:30
#   Application: spex version 0.0.121
#   References: `N132962 20 keV` revision 88 - 2025-10-23 11:16:18 -04:00
# Configuration warnings
#    None
# Spectrum
#   SPI MM1dup Diopside[0][all]['SPI MM1 Diopside[0][4].msa']
# Fit warnings
#    None
# Quantification results
Name,Element,Z,A,C[z],U[C[z]],N[z],U[N[z]],A[z],U[A[z]]
SPI MM1dup Diopside[0][all],O,8,15.999,0.46416,0.05097,0.44616,0.02714,0.60453,0.02626
SPI MM1dup Diopside[0][all],Na,11,22.98976928,0.00267,0.00004,0.00256,0.00013,0.00242,0.00017
SPI MM1dup Diopside[0][all],Mg,12,24.305,0.10892,0.00056,0.10469,0.00515,0.09338,0.00621
SPI MM1dup Diopside[0][all],Al,13,26.9815384,0.00293,0.00003,0.00282,0.00014,0.00226,0.00015
SPI MM1dup Diopside[0][all],Si,14,28.085,0.26297,0.00076,0.25277,0.01240,0.19511,0.01296
SPI MM1dup Diopside[0][all],Ca,20,40.078,0.19180,0.00018,0.18436,0.00904,0.09972,0.00662
SPI MM1dup Diopside[0][all],Fe,26,55.845,0.00692,0.00004,0.00665,0.00033,0.00258,0.00017
# Notes
#   Analytical total: 1.040 ± 0.051
#   Duane-Hunt: 20.20 keV
#   Residual written to SPI MM1 Diopside[0][4][residual].msa.
#   Plot output to 'SPI MM1 Diopside[0][4][quantify].pdf'
# Spectrum
#   SPI MM1dup Diopside[1][all]['SPI MM1 Diopside[1][4].msa']
# Fit warnings
#    None
# Quantification results
Name,Element,Z,A,C[z],U[C[z]],N[z],U[N[z]],A[z],U[A[z]]
SPI MM1dup Diopside[1][all],O,8,15.999,0.46284,0.05076,0.44591,0.02710,0.60428,0.02623
SPI MM1dup Diopside[1][all],Na,11,22.98976928,0.00294,0.00004,0.00283,0.00014,0.00267,0.00018
SPI MM1dup Diopside[1][all],Mg,12,24.305,0.10859,0.00056,0.10461,0.00514,0.09332,0.00620
SPI MM1dup Diopside[1][all],Al,13,26.9815384,0.00304,0.00003,0.00292,0.00015,0.00235,0.00016
SPI MM1dup Diopside[1][all],Si,14,28.085,0.26230,0.00075,0.25270,0.01237,0.19509,0.01294
