# Configuration
#   Username: Nicholas W. M. Ritchie
#   Timestamp: 2025-10-23 12:49:30
#   Application: spex version 0.0.121
#   References: `N132962 20 keV` revision 88 - 2025-10-23 11:16:18 -04:00
# Configuration warnings
#    None
# Spectrum
#   SPI MM1dup Dolomite[0][all]['SPI MM1 Dolomite[0][4].msa']
# Fit warnings
#    None
# Quantification results
Name,Element,Z,A,C[z],U[C[z]],N[z],U[N[z]],A[z],U[A[z]]
SPI MM1dup Dolomite[0][all],C,6,12.011,0.14509,0.03676,0.13800,0.03069,0.21132,0.04344
SPI MM1dup Dolomite[0][all],O,8,15.999,0.54336,0.04414,0.51681,0.02717,0.59411,0.03736
SPI MM1dup Dolomite[0][all],Mg,12,24.305,0.12824,0.00073,0.12197,0.00669,0.09230,0.00667
SPI MM1dup Dolomite[0][all],Ca,20,40.078,0.23340,0.00014,0.22200,0.01213,0.10188,0.00734
SPI MM1dup Dolomite[0][all],Fe,26,55.845,0.00128,0.00003,0.00122,0.00007,0.00040,0.00003
# Notes
#   Analytical total: 1.051 ± 0.057
#   Duane-Hunt: 20.20 keV
#   Residual written to SPI MM1 Dolomite[0][4][residual].msa.
#   Plot output to 'SPI MM1 Dolomite[0][4][quantify].pdf'
# Spectrum
#   SPI MM1dup Dolomite[1][all]['SPI MM1 Dolomite[1][4].msa']
# Fit warnings
#    None
# Quantification results
Name,Element,Z,A,C[z],U[C[z]],N[z],U[N[z]],A[z],U[A[z]]
SPI MM1dup Dolomite[1][all],C,6,12.011,0.14605,0.03695,0.13915,0.03086,0.21294,0.04362
SPI MM1dup Dolomite[1][all],O,8,15.999,0.54147,0.04386,0.51589,0.02719,0.59270,0.03745
SPI MM1dup Dolomite[1][all],Mg,12,24.305,0.12810,0.00072,0.12205,0.00670,0.09230,0.00668
SPI MM1dup Dolomite[1][all],Ca,20,40.078,0.23256,0.00014,0.22157,0.01211,0.10162,0.00733
SPI MM1dup Dolomite[1][all],Fe,26,55.845,0.00141,0.00003,0.00135,0.00008,0.00044,0.00003
# Notes
#   Analytical total: 1.050 ± 0.057
#   Duane-Hunt: 20.19 keV
#   Residual written to SPI MM1 Dolomite[1][4][residual].msa.
#   Plot output to 'SPI MM1 Dolomite[1][4][quantify].pdf'
# Spectrum
#   SPI MM1dup Dolomite[2][all]['SPI MM1 Dolomite[2][4].msa']
# Fit warnings
#    None
# Quantification results
Name,Element,Z,A,C[z],U[C[z]],N[z],U[N[z]],A[z],U[A[z]]
SPI MM1dup Dolomite[2][all],C,6,12.011,0.14316,0.03627,0.13669,0.03043,0.20947,0.04314
SPI MM1dup Dolomite[2][all],O,8,15.999,0.54112,0.04368,0.51669,0.02696,0.59442,0.03707
SPI MM1dup Dolomite[2][all],Mg,12,24.305,0.13041,0.00073,0.12453,0.00678,0.09430,0.00676
SPI MM1dup Dolomite[2][all],Ca,20,40.078,0.23102,0.00013,0.22059,0.01196,0.10131,0.00725
SPI MM1dup Dolomite[2][all],Fe,26,55.845,0.00157,0.00003,0.00150,0.00009,0.00049,0.00004
# Notes
#   Analytical total: 1.047 ± 0.057
#   Duane-Hunt: 20.20 keV
#   Residual written to SPI MM1 Dolomite[2][4][residual].msa.
#   Plot output to 'SPI MM1 Dolomite[2][4][quantify].pdf'
# Spectrum
#   SPI MM1dup Dolomite[3][all]['SPI MM1 Dolomite[3][4].msa']
# Fit warnings
#    None
# Quantification results
Name,Element,Z,A,C[z],U[C[z]],N[z],U[N[z]],A[z],U[A[z]]
SPI MM1dup Dolomite[3][all],C,6,12.011,0.14349,0.03625,0.13758,0.03052,0.21085,0.04323
SPI MM1dup Dolomite[3][all],O,8,15.999,0.53781,0.04332,0.51568,0.02695,0.59329,0.03711
SPI MM1dup Dolomite[3][all],Mg,12,24.305,0.12876,0.00072,0.12346,0.00671,0.09350,0.00671
