# Configuration
#   Username: Nicholas W. M. Ritchie
#   Timestamp: 2025-10-23 12:49:31
#   Application: spex version 0.0.121
#   References: `N132962 20 keV` revision 88 - 2025-10-23 11:16:18 -04:00
# Configuration warnings
#   There are no suitable references for [Ce M₁-O₂ and 1 others; 0.0013>.
# Spectrum
#   SPI MM1 Fluorapatite[0][all]['SPI MM1 Fluorapatite[0][4].msa']
# Fit warnings
#   The k-ratio '[La M₃-M₅ + 4 others] = -0.05672 ± 0.00073' is more than 3σ negative.
#   The k-ratio '[Sr L₁-L₃ + 1 other] = -0.759 ± 0.031' is more than 3σ negative.
# Quantification results
Name,Element,Z,A,C[z],U[C[z]],N[z],U[N[z]],A[z],U[A[z]]
SPI MM1 Fluorapatite[0][all],O,8,15.999,0.41513,0.04115,0.38622,0.02351,0.58045,0.02418
SPI MM1 Fluorapatite[0][all],F,9,18.998403163,0.03784,0.00210,0.03521,0.00232,0.04456,0.00349
SPI MM1 Fluorapatite[0][all],Si,14,28.085,0.00148,0.00003,0.00138,0.00006,0.00118,0.00007
SPI MM1 Fluorapatite[0][all],P,15,30.973761998,0.19157,0.00069,0.17823,0.00685,0.13836,0.00798
SPI MM1 Fluorapatite[0][all],S,16,32.06,0.00327,0.00005,0.00305,0.00012,0.00228,0.00014
SPI MM1 Fluorapatite[0][all],Ca,20,40.078,0.41254,0.00034,0.38381,0.01472,0.23027,0.01326
SPI MM1 Fluorapatite[0][all],Sr,38,87.62,0.00643,0.00046,0.00599,0.00048,0.00164,0.00015
SPI MM1 Fluorapatite[0][all],Y,39,88.905838,0.00213,0.00055,0.00198,0.00052,0.00054,0.00014
SPI MM1 Fluorapatite[0][all],La,57,138.90547,0.00111,0.00007,0.00103,0.00008,0.00018,0.00002
SPI MM1 Fluorapatite[0][all],Ce,58,140.116,0.00334,0.00008,0.00311,0.00014,0.00053,0.00003
# Notes
#   Analytical total: 1.075 ± 0.041
#   Duane-Hunt: 20.20 keV
#   Residual written to SPI MM1 Fluorapatite[0][4][residual].msa.
#   Plot output to 'SPI MM1 Fluorapatite[0][4][quantify].pdf'
# Spectrum
#   SPI MM1 Fluorapatite[1][all]['SPI MM1 Fluorapatite[1][4].msa']
# Fit warnings
#   The k-ratio '[La M₃-M₅ + 4 others] = -0.05573 ± 0.00073' is more than 3σ negative.
#   The k-ratio '[Sr L₁-L₃ + 1 other] = -0.740 ± 0.031' is more than 3σ negative.
#   The k-ratio '[La M₁-O₃ + 1 other] = -0.90 ± 0.19' is more than 3σ negative.
# Quantification results
Name,Element,Z,A,C[z],U[C[z]],N[z],U[N[z]],A[z],U[A[z]]
SPI MM1 Fluorapatite[1][all],O,8,15.999,0.41800,0.04173,0.38728,0.02370,0.58088,0.02435
SPI MM1 Fluorapatite[1][all],F,9,18.998403163,0.03902,0.00218,0.03616,0.00240,0.04567,0.00360
SPI MM1 Fluorapatite[1][all],Si,14,28.085,0.00140,0.00003,0.00130,0.00006,0.00111,0.00007
SPI MM1 Fluorapatite[1][all],P,15,30.973761998,0.19242,0.00057,0.17827,0.00692,0.13812,0.00802
SPI MM1 Fluorapatite[1][all],S,16,32.06,0.00313,0.00005,0.00290,0.00012,0.00217,0.00013
SPI MM1 Fluorapatite[1][all],Ca,20,40.078,0.41408,0.00034,0.38364,0.01486,0.22971,0.01333
SPI MM1 Fluorapatite[1][all],Sr,38,87.62,0.00460,0.00046,0.00427,0.00046,0.00117,0.00014
SPI MM1 Fluorapatite[1][all],Y,39,88.905838,0.00128,0.00056,0.00119,0.00052,0.00032,0.00014
SPI MM1 Fluorapatite[1][all],La,57,138.90547,0.00175,0.00007,0.00163,0.00009,0.00028,0.00002
SPI MM1 Fluorapatite[1][all],Ce,58,140.116,0.00364,0.00008,0.00337,0.00015,0.00058,0.00004
# Notes
#   Analytical total: 1.079 ± 0.042
#   Duane-Hunt: 20.20 keV
#   Residual written to SPI MM1 Fluorapatite[1][4][residual].msa.
#   Plot output to 'SPI MM1 Fluorapatite[1][4][quantify].pdf'
# Spectrum
#   SPI MM1 Fluorapatite[2][all]['SPI MM1 Fluorapatite[2][4].msa']
# Fit warnings
#   The k-ratio '[La M₃-M₅ + 4 others] = -0.05701 ± 0.00073' is more than 3σ negative.
#   The k-ratio '[Sr L₁-L₃ + 1 other] = -0.741 ± 0.031' is more than 3σ negative.
#   The k-ratio '[La M₁-O₃ + 1 other] = -0.61 ± 0.19' is more than 3σ negative.
# Quantification results
Name,Element,Z,A,C[z],U[C[z]],N[z],U[N[z]],A[z],U[A[z]]
SPI MM1 Fluorapatite[2][all],O,8,15.999,0.41751,0.04158,0.38864,0.02368,0.58232,0.02427
SPI MM1 Fluorapatite[2][all],F,9,18.998403163,0.03720,0.00207,0.03462,0.00230,0.04369,0.00344
SPI MM1 Fluorapatite[2][all],Si,14,28.085,0.00138,0.00003,0.00128,0.00006,0.00109,0.00007
SPI MM1 Fluorapatite[2][all],P,15,30.973761998,0.19213,0.00059,0.17884,0.00695,0.13841,0.00804
SPI MM1 Fluorapatite[2][all],S,16,32.06,0.00313,0.00005,0.00292,0.00012,0.00218,0.00013
SPI MM1 Fluorapatite[2][all],Ca,20,40.078,0.41377,0.00034,0.38516,0.01493,0.23038,0.01337
SPI MM1 Fluorapatite[2][all],Sr,38,87.62,0.00488,0.00046,0.00454,0.00046,0.00124,0.00014
SPI MM1 Fluorapatite[2][all],Y,39,88.905838,0.00000,0.00039,0.00000,0.00036,0.00000,0.00010
SPI MM1 Fluorapatite[2][all],La,57,138.90547,0.00118,0.00007,0.00110,0.00008,0.00019,0.00002
SPI MM1 Fluorapatite[2][all],Ce,58,140.116,0.00310,0.00008,0.00289,0.00013,0.00049,0.00003
# Notes
#   Analytical total: 1.074 ± 0.042
#   Duane-Hunt: 20.20 keV
#   Residual written to SPI MM1 Fluorapatite[2][4][residual].msa.
#   Plot output to 'SPI MM1 Fluorapatite[2][4][quantify].pdf'
# Spectrum
