# Configuration
#   Username: Nicholas W. M. Ritchie
#   Timestamp: 2025-10-23 12:49:31
#   Application: spex version 0.0.121
#   References: `N132962 20 keV` revision 88 - 2025-10-23 11:16:18 -04:00
# Configuration warnings
#   Unable to read the spectrum file 'SPI MM1 Jadeite[0][4].msa': IO error:
#   No such file or directory (os error 2)
# Spectrum
#   SPI MM1dup Jadeite[1][all]['SPI MM1 Jadeite[1][4].msa']
# Fit warnings
#    None
# Quantification results
Name,Element,Z,A,C[z],U[C[z]],N[z],U[N[z]],A[z],U[A[z]]
SPI MM1dup Jadeite[1][all],O,8,15.999,0.46461,0.03831,0.46657,0.02053,0.59273,0.01991
SPI MM1dup Jadeite[1][all],Na,11,22.98976928,0.11221,0.00073,0.11268,0.00439,0.09962,0.00490
SPI MM1dup Jadeite[1][all],Mg,12,24.305,0.00145,0.00003,0.00145,0.00006,0.00121,0.00007
SPI MM1dup Jadeite[1][all],Al,13,26.9815384,0.13076,0.00051,0.13131,0.00507,0.09892,0.00485
SPI MM1dup Jadeite[1][all],Si,14,28.085,0.28343,0.00089,0.28462,0.01097,0.20598,0.01008
SPI MM1dup Jadeite[1][all],Ca,20,40.078,0.00215,0.00002,0.00216,0.00009,0.00110,0.00005
SPI MM1dup Jadeite[1][all],Fe,26,55.845,0.00119,0.00003,0.00120,0.00005,0.00044,0.00002
# Notes
#   Analytical total: 0.996 ± 0.038
#   Duane-Hunt: 20.17 keV
#   Residual written to SPI MM1 Jadeite[1][4][residual].msa.
#   Plot output to 'SPI MM1 Jadeite[1][4][quantify].pdf'
# Spectrum
#   SPI MM1dup Jadeite[2][all]['SPI MM1 Jadeite[2][4].msa']
# Fit warnings
#    None
# Quantification results
Name,Element,Z,A,C[z],U[C[z]],N[z],U[N[z]],A[z],U[A[z]]
SPI MM1dup Jadeite[2][all],O,8,15.999,0.46417,0.03821,0.46632,0.02049,0.59226,0.01989
SPI MM1dup Jadeite[2][all],Na,11,22.98976928,0.11277,0.00073,0.11329,0.00440,0.10013,0.00492
SPI MM1dup Jadeite[2][all],Mg,12,24.305,0.00070,0.00003,0.00071,0.00004,0.00059,0.00004
SPI MM1dup Jadeite[2][all],Al,13,26.9815384,0.13223,0.00052,0.13284,0.00512,0.10004,0.00489
SPI MM1dup Jadeite[2][all],Si,14,28.085,0.28332,0.00089,0.28462,0.01095,0.20593,0.01005
SPI MM1dup Jadeite[2][all],Ca,20,40.078,0.00159,0.00002,0.00160,0.00007,0.00081,0.00004
SPI MM1dup Jadeite[2][all],Fe,26,55.845,0.00062,0.00003,0.00063,0.00004,0.00023,0.00002
# Notes
#   Analytical total: 0.995 ± 0.038
#   Duane-Hunt: 20.20 keV
#   Residual written to SPI MM1 Jadeite[2][4][residual].msa.
#   Plot output to 'SPI MM1 Jadeite[2][4][quantify].pdf'
# Spectrum
#   SPI MM1dup Jadeite[3][all]['SPI MM1 Jadeite[3][4].msa']
# Fit warnings
#    None
# Quantification results
Name,Element,Z,A,C[z],U[C[z]],N[z],U[N[z]],A[z],U[A[z]]
SPI MM1dup Jadeite[3][all],O,8,15.999,0.46317,0.03811,0.46642,0.02048,0.59236,0.01988
SPI MM1dup Jadeite[3][all],Na,11,22.98976928,0.11270,0.00073,0.11349,0.00441,0.10030,0.00492
SPI MM1dup Jadeite[3][all],Mg,12,24.305,0.00014,0.00003,0.00014,0.00003,0.00011,0.00002
SPI MM1dup Jadeite[3][all],Al,13,26.9815384,0.13241,0.00052,0.13334,0.00514,0.10042,0.00491
SPI MM1dup Jadeite[3][all],Si,14,28.085,0.28279,0.00089,0.28478,0.01095,0.20603,0.01006
SPI MM1dup Jadeite[3][all],Ca,20,40.078,0.00079,0.00002,0.00080,0.00004,0.00040,0.00002
