# Configuration
#   Username: Nicholas W. M. Ritchie
#   Timestamp: 2025-10-23 12:49:31
#   Application: spex version 0.0.121
#   References: `N132962 20 keV` revision 88 - 2025-10-23 11:16:18 -04:00
# Configuration warnings
#   The Duane-Hunt (19.65 keV) for KCl std differs by more than 1 % from the beam energy (20.00 keV)!!
#   The Duane-Hunt (19.63 keV) for KBr std differs by more than 1 % from the beam energy (20.00 keV)!!
#   There are no suitable references for [K L₃-M₁ and 8 others; 0.8241>.
# Spectrum
#   SPI MM1dup Kaersutite[0][all]['SPI MM1 Kaersutite[0][4].msa']
# Fit warnings
#   Removing F from the fit and re-fitting (threshold = 0.0σ).
#   The k-ratio '[Mn L₃-M₅ + 13 others] = -0.01544 ± 0.00042' is more than 3σ negative.
# Quantification results
Name,Element,Z,A,C[z],U[C[z]],N[z],U[N[z]],A[z],U[A[z]]
SPI MM1dup Kaersutite[0][all],O,8,15.999,0.45076,0.04378,0.43864,0.02392,0.60931,0.02312
SPI MM1dup Kaersutite[0][all],F,9,18.998403163,0.00000,0.00004,0.00000,0.00003,0.00000,0.00004
SPI MM1dup Kaersutite[0][all],Na,11,22.98976928,0.01862,0.00019,0.01812,0.00079,0.01751,0.00105
SPI MM1dup Kaersutite[0][all],Mg,12,24.305,0.07841,0.00038,0.07631,0.00327,0.06977,0.00414
SPI MM1dup Kaersutite[0][all],Al,13,26.9815384,0.06865,0.00026,0.06680,0.00286,0.05503,0.00326
SPI MM1dup Kaersutite[0][all],Si,14,28.085,0.18882,0.00054,0.18374,0.00784,0.14540,0.00861
SPI MM1dup Kaersutite[0][all],K,19,39.0983,0.00864,0.00003,0.00841,0.00036,0.00478,0.00028
SPI MM1dup Kaersutite[0][all],Ca,20,40.078,0.08735,0.00009,0.08500,0.00362,0.04713,0.00279
SPI MM1dup Kaersutite[0][all],Ti,22,47.867,0.03278,0.00005,0.03190,0.00136,0.01481,0.00088
SPI MM1dup Kaersutite[0][all],Mn,25,54.938043,0.00137,0.00003,0.00133,0.00006,0.00054,0.00003
SPI MM1dup Kaersutite[0][all],Fe,26,55.845,0.09223,0.00008,0.08975,0.00382,0.03572,0.00211
# Notes
#   Analytical total: 1.028 ± 0.044
#   Duane-Hunt: 20.20 keV
#   Residual written to SPI MM1 Kaersutite[0][4][residual].msa.
#   Plot output to 'SPI MM1 Kaersutite[0][4][quantify].pdf'
# Spectrum
#   SPI MM1dup Kaersutite[1][all]['SPI MM1 Kaersutite[1][4].msa']
# Fit warnings
#   Removing F from the fit and re-fitting (threshold = 0.0σ).
#   The k-ratio '[Mn L₃-M₅ + 13 others] = -0.01311 ± 0.00042' is more than 3σ negative.
# Quantification results
Name,Element,Z,A,C[z],U[C[z]],N[z],U[N[z]],A[z],U[A[z]]
SPI MM1dup Kaersutite[1][all],O,8,15.999,0.45194,0.04386,0.43968,0.02391,0.61026,0.02309
SPI MM1dup Kaersutite[1][all],F,9,18.998403163,0.00000,0.00004,0.00000,0.00003,0.00000,0.00004
SPI MM1dup Kaersutite[1][all],Na,11,22.98976928,0.01876,0.00019,0.01825,0.00080,0.01763,0.00106
SPI MM1dup Kaersutite[1][all],Mg,12,24.305,0.07798,0.00038,0.07586,0.00326,0.06931,0.00412
SPI MM1dup Kaersutite[1][all],Al,13,26.9815384,0.06889,0.00027,0.06702,0.00287,0.05516,0.00327
SPI MM1dup Kaersutite[1][all],Si,14,28.085,0.18855,0.00054,0.18343,0.00784,0.14504,0.00860
SPI MM1dup Kaersutite[1][all],K,19,39.0983,0.00879,0.00003,0.00855,0.00037,0.00486,0.00029
SPI MM1dup Kaersutite[1][all],Ca,20,40.078,0.08698,0.00009,0.08462,0.00361,0.04689,0.00278
SPI MM1dup Kaersutite[1][all],Ti,22,47.867,0.03274,0.00005,0.03185,0.00136,0.01478,0.00088
